ID_REF	GSM61941	GSM61943	GSM61952	GSM61954	GSM61956	GSM61958	GSM61960
TI4932_1S000001_1	457	511	622	505	327	625	548
TI4932_1S000001_2	430	512	545	407	271	626	480
TI4932_1S000002_1	38	38	38	48	43	35	38
TI4932_1S000002_2	36	37	35	41	44	33	35
TI4932_1S000003_1	43	40	38	44	55	40	37
TI4932_1S000003_2	48	37	36	43	55	41	38
TI4932_1S000004_1	62	57	54	54	51	61	56
TI4932_1S000004_2	66	63	50	65	59	62	61
TI4932_1S000005_1	56	61	64	66	65	56	50
TI4932_1S000005_2	55	53	58	66	51	52	41
TI4932_1S000006_1	41	45	37	41	46	41	40
TI4932_1S000006_2	51	43	36	46	55	43	41
TI4932_1S000007_1	38	28	38	38	34	49	39
TI4932_1S000007_2	47	28	33	37	37	57	38
TI4932_1S000008_1	684	511	587	608	610	614	618
TI4932_1S000008_2	574	492	570	560	489	596	566
TI4932_1S000009_1	675	159	155	140	115	159	197
TI4932_1S000009_2	735	173	177	108	133	182	246
TI4932_1S000010_1	9561	256	497	423	467	2088	7269
TI4932_1S000010_2	6690	220	414	316	377	1716	6199
TI4932_1S000011_1	11037	1308	1863	2783	3354	3058	5311
TI4932_1S000011_2	12334	1465	1974	3148	3015	2922	6357
TI4932_1S000012_1	54	289	95	87	81	75	51
TI4932_1S000012_2	56	295	89	114	70	74	45
TI4932_1S000013_1	290	352	329	373	288	333	340
TI4932_1S000013_2	258	320	238	400	201	270	268
TI4932_1S000014_1	478	260	186	111	112	312	337
TI4932_1S000014_2	546	265	201	102	120	327	380
TI4932_1S000015_1	306	183	116	119	109	201	307
TI4932_1S000015_2	264	172	120	116	98	193	319
TI4932_1S000016_1	2922	191	213	187	158	246	259
TI4932_1S000016_2	2809	187	181	169	106	210	197
TI4932_1S000017_1	707	823	1143	801	280	637	629
TI4932_1S000017_2	717	933	1070	746	307	615	544
TI4932_1S000018_1	329	182	155	105	122	244	322
TI4932_1S000018_2	365	204	182	170	110	274	362
TI4932_1S000019_1	2552	905	1285	1331	790	1290	1807
TI4932_1S000019_2	2797	1015	1492	1411	800	1398	1948
TI4932_1S000020_1	229	97	90	79	87	135	160
TI4932_1S000020_2	243	119	92	85	94	156	169
TI4932_1S000021_1	82	105	83	68	77	82	84
TI4932_1S000021_2	83	106	81	73	80	81	80
TI4932_1S000022_1	821	431	433	374	248	493	461
TI4932_1S000022_2	884	409	402	299	213	472	407
TI4932_1S000023_1	1337	763	672	561	403	838	733
TI4932_1S000023_2	1358	848	698	664	404	861	781
TI4932_1S000024_1	1276	4488	7311	5421	4820	3130	2053
TI4932_1S000024_2	1139	4011	6913	5371	5071	2980	1857
TI4932_1S000025_1	584	534	537	466	507	492	540
TI4932_1S000025_2	526	462	410	431	394	503	470
TI4932_1S000026_1	850	1314	1604	1501	1760	1109	954
TI4932_1S000026_2	986	1393	1868	1520	1849	1334	1173
TI4932_1S000027_1	381	346	327	313	251	370	423
TI4932_1S000027_2	426	418	358	367	268	411	443
TI4932_1S000028_1	788	526	689	404	603	811	968
TI4932_1S000028_2	785	465	657	428	587	837	913
TI4932_1S000029_1	1454	398	335	371	243	495	650
TI4932_1S000029_2	1604	400	444	303	304	523	699
TI4932_1S000030_1	5867	20220	16188	16921	19067	19700	23917
TI4932_1S000030_2	6449	19951	18299	18555	20094	20302	25427
TI4932_1S000031_1	33	34	32	37	52	30	33
TI4932_1S000031_2	32	31	30	38	37	28	30
TI4932_1S000032_1	65	94	82	78	63	84	75
TI4932_1S000032_2	87	94	104	90	85	100	84
TI4932_1S000033_1	279	1252	926	1190	668	618	501
TI4932_1S000033_2	327	1343	972	1103	744	568	480
TI4932_1S000034_1	1265	3259	3033	2885	2636	2576	2284
TI4932_1S000034_2	1263	2884	2921	2839	2665	2414	1928
TI4932_1S000035_1	27	43	28	32	44	31	29
TI4932_1S000035_2	28	42	29	33	31	32	30
TI4932_1S000036_1	2709	500	510	457	584	862	1876
TI4932_1S000036_2	2799	481	507	424	609	787	1865
TI4932_1S000037_1	194	631	307	256	118	260	262
TI4932_1S000037_2	230	681	384	300	115	296	296
TI4932_1S000038_1	149	121	88	81	90	157	163
TI4932_1S000038_2	138	104	99	77	90	148	132
TI4932_1S000039_1	243	115	124	92	92	175	316
TI4932_1S000039_2	184	120	122	137	113	159	276
TI4932_1S000040_1	2201	953	1223	1155	634	1451	1561
TI4932_1S000040_2	1903	1055	1319	1290	755	1412	1532
TI4932_1S000041_1	364	562	661	688	508	994	658
TI4932_1S000041_2	325	550	609	517	423	745	578
TI4932_1S000042_1	772	302	313	309	257	426	846
TI4932_1S000042_2	654	286	313	333	271	427	927
TI4932_1S000043_1	151	134	86	89	89	115	150
TI4932_1S000043_2	135	147	75	89	76	101	173
TI4932_1S000044_1	275	386	562	397	226	494	386
TI4932_1S000044_2	274	408	477	421	246	507	418
TI4932_1S000045_1	46	141	79	73	82	63	49
TI4932_1S000045_2	38	163	62	70	59	54	41
TI4932_1S000046_1	59	73	71	58	81	72	72
TI4932_1S000046_2	47	58	58	55	55	69	60
TI4932_1S000047_1	1008	2392	2975	2903	3019	2935	2224
TI4932_1S000047_2	858	2292	2957	2890	3515	2969	2244
TI4932_1S000048_1	781	665	835	738	562	678	609
TI4932_1S000048_2	808	741	896	810	482	719	633
TI4932_1S000049_1	1328	527	601	309	498	789	687
TI4932_1S000049_2	1325	628	612	307	414	799	649
TI4932_1S000050_1	340	273	227	201	124	229	262
TI4932_1S000050_2	293	259	241	205	158	231	273
TI4932_1S000051_1	107	225	156	157	103	201	134
TI4932_1S000051_2	92	286	193	163	113	205	145
TI4932_1S000052_1	42	44	37	43	49	39	42
TI4932_1S000052_2	39	41	36	52	41	39	38
TI4932_1S000053_1	1428	389	558	483	513	862	1095
TI4932_1S000053_2	1427	337	615	445	314	816	1049
