ID_REF	GSM61941	GSM61943	GSM61952	GSM61954	GSM61956	GSM61958	GSM61960
TI4932_1S000054_1	238	127	169	197	84	181	439
TI4932_1S000054_2	205	89	126	147	87	171	416
TI4932_1S000055_1	4825	2922	2883	3191	2882	3035	3109
TI4932_1S000055_2	4529	2989	2962	3150	3178	2737	3354
TI4932_1S000056_1	93	68	60	63	59	70	84
TI4932_1S000056_2	80	73	65	73	66	74	105
TI4932_1S000057_1	913	666	626	349	232	737	742
TI4932_1S000057_2	978	640	580	349	323	709	710
TI4932_1S000058_1	187	185	151	131	122	187	239
TI4932_1S000058_2	201	209	141	180	130	211	243
TI4932_1S000059_1	1025	9552	9487	10660	9979	8457	5612
TI4932_1S000059_2	1063	9662	9207	12240	9273	7762	5119
TI4932_1S000060_1	56	58	50	55	50	57	56
TI4932_1S000060_2	49	64	54	48	40	54	57
TI4932_1S000061_1	95	99	94	95	76	92	117
TI4932_1S000061_2	113	112	90	100	81	105	136
TI4932_1S000062_1	313	309	265	260	199	305	295
TI4932_1S000062_2	248	300	237	230	172	269	254
TI4932_1S000063_1	4651	1081	1299	1277	1159	1822	2798
TI4932_1S000063_2	4039	1025	1227	1420	1111	1799	2664
TI4932_1S000064_1	742	2422	2534	2548	1700	2249	1851
TI4932_1S000064_2	912	2275	2237	2661	1572	2097	1904
TI4932_1S000065_1	26340	14978	14456	16731	14752	19034	23239
TI4932_1S000065_2	26005	14525	13501	13770	14218	18645	22730
TI4932_1S000066_1	5004	16628	14359	18115	14167	11121	9891
TI4932_1S000066_2	4661	15118	12106	12611	12136	10115	9001
TI4932_1S000067_1	913	315	459	413	453	536	588
TI4932_1S000067_2	939	269	351	439	329	480	703
TI4932_1S000068_1	200	114	107	119	94	161	191
TI4932_1S000068_2	230	143	141	132	110	212	280
TI4932_1S000069_1	257	551	425	388	287	364	364
TI4932_1S000069_2	270	583	340	341	209	355	346
TI4932_1S000070_1	1690	3728	4737	3824	3092	4027	3620
TI4932_1S000070_2	1545	3615	4360	3990	3023	3966	3612
TI4932_1S000071_1	176	125	117	112	80	146	156
TI4932_1S000071_2	199	161	136	144	96	181	222
TI4932_1S000072_1	219	509	443	427	179	403	387
TI4932_1S000072_2	240	547	453	488	382	437	389
TI4932_1S000073_1	57	160	133	135	86	113	78
TI4932_1S000073_2	51	155	129	126	94	130	71
TI4932_1S000074_1	5505	1576	10205	7873	6817	3394	6220
TI4932_1S000074_2	5276	1492	8071	7469	6733	2723	5425
TI4932_1S000075_1	6228	941	8296	5975	5727	1717	4445
TI4932_1S000075_2	5593	1025	8449	6223	6783	1556	4527
TI4932_1S000076_1	354	398	326	413	165	350	358
TI4932_1S000076_2	385	399	339	383	200	336	369
TI4932_1S000077_1	410	1195	3891	5653	2490	2246	1064
TI4932_1S000077_2	352	1045	3435	5225	2260	1986	1010
TI4932_1S000078_1	55	151	68	79	66	105	82
TI4932_1S000078_2	75	164	87	73	63	111	102
TI4932_1S000079_1	526	226	263	197	116	284	390
TI4932_1S000079_2	595	251	241	204	117	277	441
TI4932_1S000080_1	456	411	405	402	344	503	544
TI4932_1S000080_2	367	345	321	326	291	462	486
TI4932_1S000081_1	109	78	99	82	86	131	128
TI4932_1S000081_2	112	83	88	86	83	142	160
TI4932_1S000082_1	3210	1513	2024	1644	1454	2102	2795
TI4932_1S000082_2	2918	1443	1800	1467	959	1902	2799
TI4932_1S000083_1	235	580	350	429	175	309	309
TI4932_1S000083_2	197	519	385	352	129	287	271
TI4932_1S000084_1	39	41	45	47	37	41	39
TI4932_1S000084_2	43	42	42	53	44	39	38
TI4932_1S000085_1	87	87	84	85	84	87	83
TI4932_1S000085_2	102	119	111	114	86	132	101
TI4932_1S000086_1	150	327	271	218	118	211	222
TI4932_1S000086_2	171	300	259	184	149	196	196
TI4932_1S000087_1	1030	201	186	197	165	188	197
TI4932_1S000087_2	794	224	182	247	200	220	233
TI4932_1S000088_1	35	35	35	40	41	33	35
TI4932_1S000088_2	34	31	31	38	41	30	31
TI4932_1S000089_1	398	238	354	209	219	423	461
TI4932_1S000089_2	375	323	363	258	304	452	471
TI4932_1S000090_1	963	630	695	701	583	768	823
TI4932_1S000090_2	946	651	710	778	637	774	751
TI4932_1S000091_1	37	39	39	51	43	36	39
TI4932_1S000091_2	32	40	38	51	42	38	40
TI4932_1S000092_1	129	129	116	132	148	149	123
TI4932_1S000092_2	183	171	164	169	169	232	164
TI4932_1S000093_1	230	247	247	255	215	386	220
TI4932_1S000093_2	191	205	186	187	188	333	189
TI4932_1S000094_1	183	176	240	197	176	150	150
TI4932_1S000094_2	194	140	186	187	164	150	136
TI4932_1S000095_1	162	11225	1533	2504	11144	985	1274
TI4932_1S000095_2	192	9019	1644	2996	9731	1008	1400
TI4932_1S000096_1	1592	20345	8332	11384	17181	6088	7927
TI4932_1S000096_2	1665	20932	8275	10965	19149	5964	8320
TI4932_1S000097_1	2355	1619	1300	904	1266	3866	1959
TI4932_1S000097_2	2619	1921	1489	1050	1730	4337	2103
TI4932_1S000098_1	526	436	307	221	309	1028	539
TI4932_1S000098_2	458	425	230	168	285	929	386
TI4932_1S000099_1	247	249	264	285	222	518	303
TI4932_1S000099_2	295	297	365	351	298	570	361
TI4932_1S000100_1	723	729	725	792	604	729	678
TI4932_1S000100_2	612	680	653	792	546	661	607
TI4932_1S000101_1	118	212	113	93	88	165	184
TI4932_1S000101_2	99	204	103	88	92	185	158
TI4932_1S000102_1	80	78	89	83	74	86	79
TI4932_1S000102_2	92	96	104	94	76	96	110
TI4932_1S000103_1	539	338	352	225	153	404	502
TI4932_1S000103_2	461	333	322	221	156	396	514
TI4932_1S000104_1	338	306	226	260	227	254	262
TI4932_1S000104_2	249	243	211	204	240	217	226
TI4932_1S000105_1	193	179	105	141	106	143	168
TI4932_1S000105_2	200	158	127	130	111	133	168
TI4932_1S000106_1	2983	1709	1801	2047	2349	2196	2240
TI4932_1S000106_2	3565	1857	1977	2001	2198	2319	2556
TI4932_1S000107_1	612	229	246	147	119	355	420
TI4932_1S000107_2	624	232	210	149	128	418	434
TI4932_1S000108_1	31	38	41	40	38	38	32
TI4932_1S000108_2	30	36	42	34	37	36	30
TI4932_1S000109_1	1061	660	1257	1067	1140	1067	1055
TI4932_1S000109_2	1147	621	1476	1107	1142	1111	1105
TI4932_1S000110_1	78	62	79	81	78	75	80
TI4932_1S000110_2	83	62	85	84	87	77	111
TI4932_1S000111_1	30704	8267	9339	10624	16174	14632	18565
TI4932_1S000111_2	32125	8170	9463	9356	14059	15820	20439
TI4932_1S000112_1	231	328	257	240	106	305	304
TI4932_1S000112_2	238	302	226	237	97	293	301
TI4932_1S000113_1	34	33	36	37	39	33	34
TI4932_1S000113_2	29	33	31	37	47	31	32
TI4932_1S000114_1	426	176	193	179	150	241	348
TI4932_1S000114_2	443	208	175	169	124	263	373
TI4932_1S000115_1	203	256	167	166	111	203	255
TI4932_1S000115_2	187	270	166	138	90	221	255
TI4932_1S000116_1	1649	19596	16612	18834	17072	18097	13479
TI4932_1S000116_2	1847	19564	16587	19416	16961	16712	15233
TI4932_1S000117_1	245	239	202	272	193	291	448
TI4932_1S000117_2	222	185	181	238	194	271	330
TI4932_1S000118_1	1310	1530	1399	1392	1069	1410	1392
TI4932_1S000118_2	1345	1597	1551	1571	855	1525	1596
TI4932_1S000119_1	307	246	167	124	88	215	303
TI4932_1S000119_2	286	258	170	141	93	219	297
TI4932_1S000120_1	595	395	382	356	183	402	471
TI4932_1S000120_2	522	368	369	320	151	369	384
TI4932_1S000121_1	186	88	74	81	92	117	129
TI4932_1S000121_2	243	95	91	83	89	114	162
TI4932_1S000122_1	2159	14458	16356	13844	13232	14098	9612
TI4932_1S000122_2	2030	13817	14715	14363	13747	14363	8347
TI4932_1S000123_1	182	165	103	102	83	169	220
TI4932_1S000123_2	161	145	86	87	86	172	211
TI4932_1S000124_1	70	137	115	104	111	151	138
TI4932_1S000124_2	68	140	123	104	96	172	160
TI4932_1S000125_1	266	196	174	125	112	168	253
TI4932_1S000125_2	232	163	145	120	95	151	217
TI4932_1S000126_1	185	381	413	607	444	367	336
TI4932_1S000126_2	164	412	418	588	414	377	329
TI4932_1S000127_1	159	664	529	413	231	405	299
TI4932_1S000127_2	158	721	544	368	304	456	270
TI4932_1S000128_1	237	159	138	133	100	179	282
TI4932_1S000128_2	216	161	151	142	129	189	252
TI4932_1S000129_1	729	694	711	629	608	999	759
TI4932_1S000129_2	969	790	921	779	574	1042	850
TI4932_1S000130_1	1045	1096	507	404	337	714	1175
TI4932_1S000130_2	1135	1260	499	560	463	864	1101
TI4932_1S000131_1	753	4139	5838	5317	3808	3904	2327
TI4932_1S000131_2	727	4486	5489	5072	3907	4069	2624
TI4932_1S000132_1	5555	360	299	327	247	332	474
TI4932_1S000132_2	4400	351	276	283	200	334	427
TI4932_1S000133_1	34	34	32	37	32	35	34
TI4932_1S000133_2	40	38	35	35	36	39	38
TI4932_1S000134_1	2741	21986	19763	19765	19171	20891	14701
TI4932_1S000134_2	3321	17831	18844	18521	18288	19405	12829
TI4932_1S000135_1	29	29	26	32	34	35	29
TI4932_1S000135_2	31	28	29	34	36	37	31
TI4932_1S000136_1	202	519	343	431	189	435	276
TI4932_1S000136_2	234	516	312	348	175	415	272
TI4932_1S000137_1	102	645	267	232	146	364	256
TI4932_1S000137_2	100	564	240	195	128	350	242
TI4932_1S000138_1	683	1076	852	834	567	640	522
TI4932_1S000138_2	609	945	741	634	500	617	497
TI4932_1S000139_1	172	168	167	175	122	140	188
TI4932_1S000139_2	153	171	153	159	91	138	187
TI4932_1S000140_1	1080	145	145	96	124	272	455
TI4932_1S000140_2	1027	163	141	129	103	261	463
TI4932_1S000141_1	12602	3325	1973	2524	3179	5001	6978
TI4932_1S000141_2	13511	3095	2044	2181	3516	4855	7184
TI4932_1S000142_1	60	72	73	72	72	101	79
TI4932_1S000142_2	56	72	58	65	65	78	65
TI4932_1S000143_1	170	383	300	389	181	186	194
TI4932_1S000143_2	164	423	362	361	150	181	240
TI4932_1S000144_1	120	78	67	66	68	74	78
TI4932_1S000144_2	108	80	68	75	56	66	73
TI4932_1S000145_1	711	314	235	158	123	371	391
TI4932_1S000145_2	672	294	249	124	119	312	351
TI4932_1S000146_1	221	91	75	85	85	99	157
TI4932_1S000146_2	177	76	68	60	49	76	114
TI4932_1S000147_1	1623	1440	1386	1165	882	1493	1440
TI4932_1S000147_2	1198	1370	1148	1046	856	1234	1188
TI4932_1S000148_1	358	724	464	499	172	388	407
TI4932_1S000148_2	371	789	470	532	173	386	386
TI4932_1S000149_1	1283	983	761	674	611	1470	1614
TI4932_1S000149_2	1164	932	612	631	621	1291	1343
TI4932_1S000150_1	179	245	196	172	138	196	207
TI4932_1S000150_2	226	282	220	235	163	229	211
TI4932_1S000151_1	103	346	160	123	89	90	95
TI4932_1S000151_2	88	413	167	131	89	81	80
TI4932_1S000152_1	49	67	58	58	59	84	59
TI4932_1S000152_2	69	79	68	71	64	116	67
TI4932_1S000153_1	362	488	266	230	190	357	369
TI4932_1S000153_2	352	515	239	231	200	383	395
TI4932_1S000154_1	1460	889	965	908	839	1838	1841
TI4932_1S000154_2	1201	698	785	702	557	1525	1342
TI4932_1S000155_1	1117	126	169	98	103	150	269
TI4932_1S000155_2	1200	143	234	117	114	144	288
TI4932_1S000156_1	1812	652	1180	919	904	1341	1252
TI4932_1S000156_2	1616	704	1243	858	989	1332	1157
TI4932_1S000157_1	44	91	62	60	64	63	60
TI4932_1S000157_2	50	102	65	65	65	63	65
TI4932_1S000158_1	10338	1581	1775	1833	3003	3438	4967
TI4932_1S000158_2	10624	1726	1672	1950	3337	3847	5288
TI4932_1S000159_1	37	40	40	44	52	41	38
TI4932_1S000159_2	34	34	38	46	56	38	33
TI4932_1S000160_1	3063	187	123	116	110	117	336
TI4932_1S000160_2	2761	182	111	103	88	134	322
TI4932_1S000161_1	315	776	1415	1350	646	776	524
TI4932_1S000161_2	392	823	1437	1477	580	726	565
TI4932_1S000162_1	1262	2617	1579	1597	1577	1577	1422
TI4932_1S000162_2	1055	2473	1416	1512	1229	1466	1423
TI4932_1S000163_1	1614	1610	2572	2315	1509	2110	2434
TI4932_1S000163_2	1700	1725	2564	2626	1496	2036	2437
TI4932_1S000164_1	2126	451	527	572	510	954	1380
TI4932_1S000164_2	2101	430	466	487	561	980	1270
TI4932_1S000165_1	59	1486	1078	972	575	422	134
TI4932_1S000165_2	54	1381	936	1120	569	393	101
TI4932_1S000166_1	820	444	359	294	245	546	706
TI4932_1S000166_2	856	488	373	324	222	530	694
TI4932_1S000167_1	141	85	73	76	67	107	155
TI4932_1S000167_2	135	95	78	72	52	101	157
TI4932_1S000168_1	208	726	354	318	118	464	288
TI4932_1S000168_2	175	672	347	290	104	431	300
TI4932_1S000169_1	73	196	190	145	107	109	72
TI4932_1S000169_2	66	256	299	235	103	137	99
TI4932_1S000170_1	92	92	85	92	83	112	92
TI4932_1S000170_2	105	77	87	80	80	104	87
TI4932_1S000171_1	702	542	228	175	162	362	577
TI4932_1S000171_2	784	531	207	144	167	355	605
TI4932_1S000172_1	623	669	898	753	620	1051	847
TI4932_1S000172_2	555	817	851	758	573	1139	847
TI4932_1S000173_1	39	96	59	61	80	77	52
TI4932_1S000173_2	52	124	74	75	76	107	66
TI4932_1S000174_1	30254	11616	13937	13125	17963	20149	23556
TI4932_1S000174_2	29500	11046	13425	11800	17041	20113	25200
TI4932_1S000175_1	2967	884	528	660	900	985	2542
TI4932_1S000175_2	3294	882	450	524	904	919	2382
TI4932_1S000176_1	137	100	70	92	90	84	128
TI4932_1S000176_2	148	80	51	70	79	66	105
TI4932_1S000177_1	48	457	93	96	74	83	37
TI4932_1S000177_2	48	498	126	110	83	76	39
TI4932_1S000178_1	1711	18407	15833	16711	18347	15807	9949
TI4932_1S000178_2	2090	20086	16495	18753	21185	16495	10971
TI4932_1S000179_1	805	1304	861	858	584	1026	909
TI4932_1S000179_2	868	1141	789	651	489	936	904
TI4932_1S000180_1	67	67	52	57	59	62	68
TI4932_1S000180_2	63	72	56	62	60	71	76
TI4932_1S000181_1	44	81	61	73	53	62	57
TI4932_1S000181_2	50	85	68	66	69	68	68
TI4932_1S000182_1	250	300	323	317	208	303	323
TI4932_1S000182_2	223	255	246	269	191	247	259
TI4932_1S000183_1	829	590	466	489	274	602	625
TI4932_1S000183_2	949	560	464	374	313	648	570
TI4932_1S000184_1	136	160	71	77	73	122	111
TI4932_1S000184_2	143	169	82	75	67	113	104
TI4932_1S000185_1	933	598	660	610	366	406	475
TI4932_1S000185_2	1005	641	712	677	244	392	559
TI4932_1S000186_1	66	54	52	52	54	59	68
TI4932_1S000186_2	70	58	63	63	57	63	77
TI4932_1S000187_1	97	388	273	262	112	100	110
TI4932_1S000187_2	85	406	288	249	115	89	90
TI4932_1S000188_1	1391	910	1170	941	894	1154	1228
TI4932_1S000188_2	1455	992	1149	1020	884	1282	1148
TI4932_1S000189_1	394	214	295	209	142	163	250
TI4932_1S000189_2	383	201	226	219	129	147	241
TI4932_1S000190_1	20243	477	948	831	1504	3174	7489
TI4932_1S000190_2	20201	463	747	686	1238	2623	7261
TI4932_1S000191_1	208	220	127	110	116	180	171
TI4932_1S000191_2	193	256	160	183	118	207	182
TI4932_1S000192_1	67	52	52	62	54	55	60
TI4932_1S000192_2	67	61	54	63	63	65	63
TI4932_1S000193_1	1404	954	935	1007	986	1128	1123
TI4932_1S000193_2	1293	770	922	638	1046	952	1021
TI4932_1S000194_1	76	131	77	84	76	83	75
TI4932_1S000194_2	100	144	103	115	78	111	102
TI4932_1S000195_1	81	290	318	300	125	306	194
TI4932_1S000195_2	79	269	304	278	124	245	175
TI4932_1S000196_1	66	68	66	76	56	71	61
TI4932_1S000196_2	78	102	77	89	66	85	70
TI4932_1S000197_1	93	93	115	113	83	94	79
TI4932_1S000197_2	92	95	92	90	83	92	81
TI4932_1S000198_1	1802	1615	2011	1810	1803	1840	1733
TI4932_1S000198_2	1716	1488	2025	1714	1479	1947	1750
TI4932_1S000199_1	533	800	399	314	287	462	481
TI4932_1S000199_2	465	852	442	365	337	492	513
TI4932_1S000200_1	130	137	149	90	67	140	132
TI4932_1S000200_2	128	138	134	103	69	138	168
TI4932_1S000201_1	8754	3569	11661	8465	8041	8597	9495
TI4932_1S000201_2	7867	3798	10049	7333	7026	8241	8771
TI4932_1S000202_1	2223	742	4278	3041	3741	1850	2212
TI4932_1S000202_2	1980	617	4083	3004	3356	1675	1982
TI4932_1S000203_1	408	837	651	602	302	529	306
TI4932_1S000203_2	420	774	711	711	287	537	349
TI4932_1S000204_1	6992	13229	8076	8304	8438	10460	9526
TI4932_1S000204_2	6973	12411	8859	8458	8389	10771	8716
TI4932_1S000205_1	1276	7051	3957	2936	4374	3826	4828
TI4932_1S000205_2	1325	5997	3608	2582	3639	3617	4092
TI4932_1S000206_1	2320	2273	1619	1368	2029	3021	2301
TI4932_1S000206_2	2465	2401	1552	1703	2393	2950	2229
TI4932_1S000207_1	1191	351	229	184	263	520	1093
TI4932_1S000207_2	1287	394	214	238	251	554	1225
TI4932_1S000208_1	64	227	92	92	88	94	85
TI4932_1S000208_2	57	230	95	84	79	95	100
TI4932_1S000209_1	1113	458	687	585	309	1268	1166
TI4932_1S000209_2	1456	539	725	539	440	1400	1418
TI4932_1S000210_1	471	601	729	438	221	830	558
TI4932_1S000210_2	497	571	667	465	351	783	567
TI4932_1S000211_1	549	555	553	414	311	556	548
TI4932_1S000211_2	443	444	491	351	361	506	463
TI4932_1S000212_1	1927	438	488	525	256	682	906
TI4932_1S000212_2	1781	386	525	381	300	659	979
TI4932_1S000213_1	63	124	100	101	80	102	113
TI4932_1S000213_2	48	96	79	84	44	79	75
TI4932_1S000214_1	341	281	307	259	214	316	275
TI4932_1S000214_2	274	315	274	200	222	328	274
TI4932_1S000215_1	5770	14538	10495	9893	9782	11032	9796
TI4932_1S000215_2	4733	11799	8043	9455	7860	8915	8265
TI4932_1S000216_1	10417	17890	11701	12410	13516	12441	12254
TI4932_1S000216_2	11082	17787	13262	12959	12751	14163	13487
TI4932_1S000217_1	7275	9920	10663	9920	10029	10576	10073
TI4932_1S000217_2	7500	11030	11030	9615	10701	11711	11876
TI4932_1S000218_1	4855	2616	6177	4669	4514	4593	4852
TI4932_1S000218_2	4809	2648	5918	4592	4547	3916	4881
TI4932_1S000219_1	10077	1774	11875	7424	7113	3314	8032
TI4932_1S000219_2	8940	1508	9748	5994	6113	3355	6193
TI4932_1S000220_1	774	457	411	441	320	632	661
TI4932_1S000220_2	886	568	446	484	323	673	707
TI4932_1S000221_1	749	1030	669	696	318	615	844
TI4932_1S000221_2	704	942	521	598	285	587	767
TI4932_1S000222_1	961	931	920	768	494	1280	1160
TI4932_1S000222_2	1025	1024	989	780	819	1309	1499
TI4932_1S000223_1	1333	1268	557	422	559	863	848
TI4932_1S000223_2	1336	941	489	386	598	723	763
TI4932_1S000224_1	433	546	604	549	544	562	446
TI4932_1S000224_2	435	636	722	657	478	620	438
TI4932_1S000225_1	174	84	76	94	47	100	94
TI4932_1S000225_2	159	81	78	88	61	94	123
TI4932_1S000226_1	36	35	33	41	44	33	34
TI4932_1S000226_2	34	31	27	39	49	29	32
TI4932_1S000227_1	221	112	121	133	93	159	201
TI4932_1S000227_2	151	79	80	92	90	143	155
TI4932_1S000228_1	167	277	324	273	329	372	249
TI4932_1S000228_2	147	300	352	330	329	434	306
TI4932_1S000229_1	223	227	173	152	106	203	225
TI4932_1S000229_2	269	266	215	177	100	230	262
TI4932_1S000230_1	485	714	1281	1061	388	702	659
TI4932_1S000230_2	629	834	1449	1277	451	801	673
TI4932_1S000231_1	728	288	227	211	134	406	569
TI4932_1S000231_2	689	313	250	217	178	456	644
TI4932_1S000232_1	5018	9196	7324	7217	7064	4786	5336
TI4932_1S000232_2	4756	8444	6421	6042	6404	4216	5157
TI4932_1S000233_1	1630	539	612	550	379	668	1300
TI4932_1S000233_2	1924	572	600	502	389	687	1216
TI4932_1S000234_1	121	156	117	84	67	221	146
TI4932_1S000234_2	109	144	94	64	92	205	122
TI4932_1S000235_1	575	1024	1111	986	987	1231	795
TI4932_1S000235_2	593	962	1022	887	774	1097	760
TI4932_1S000236_1	68	142	110	85	84	82	79
TI4932_1S000236_2	70	161	114	108	96	91	91
TI4932_1S000237_1	6785	18218	19558	17834	18202	19108	15685
TI4932_1S000237_2	6027	18098	19458	17726	19155	18202	16357
TI4932_1S000238_1	224	55	54	65	57	67	154
TI4932_1S000238_2	191	49	45	53	39	53	146
TI4932_1S000239_1	204	927	478	490	226	294	200
TI4932_1S000239_2	265	1221	564	722	266	339	265
TI4932_1S000240_1	3312	1740	1494	1378	1343	1700	2061
TI4932_1S000240_2	3605	1822	1578	1515	1578	1872	2327
TI4932_1S000241_1	3653	2203	2099	2318	2260	2333	2531
TI4932_1S000241_2	3567	2192	2104	2124	2236	2234	2234
TI4932_1S000242_1	1227	211	274	239	147	516	777
TI4932_1S000242_2	1321	236	302	210	161	569	968
TI4932_1S000243_1	517	604	681	558	316	973	756
TI4932_1S000243_2	448	578	649	578	418	770	663
TI4932_1S000244_1	13731	4458	3445	4419	4859	5092	7106
TI4932_1S000244_2	12576	4467	3630	3739	4811	5340	8137
TI4932_1S000245_1	46	59	65	67	55	63	62
TI4932_1S000245_2	61	64	70	75	66	62	66
TI4932_1S000246_1	208	414	514	434	214	618	451
TI4932_1S000246_2	268	512	611	475	160	714	571
TI4932_1S000247_1	185	623	560	421	268	405	278
TI4932_1S000247_2	204	562	593	464	305	402	267
TI4932_1S000248_1	557	158	197	157	114	216	280
TI4932_1S000248_2	575	183	174	235	112	203	253
TI4932_1S000249_1	127	60	59	55	73	75	144
TI4932_1S000249_2	144	56	59	58	65	86	126
TI4932_1S000250_1	61	31	31	32	36	33	33
TI4932_1S000250_2	63	36	34	39	41	38	37
TI4932_1S000251_1	1055	475	349	279	296	624	1065
