ID_REF	GSM51901	GSM51902	GSM51903	GSM51904	GSM51905	GSM51906	GSM51907	GSM51908	GSM51909
10000_at	50.6	71.9	71.9	76.8	86.3	31.4	44	37.5	36.4
10001_at	491.6	459.7	444.3	620.7	525.1	687.5	559.4	692.2	716.4
10002_i_at	3307.7	2897.4	3526.5	3211.1	3632.1	3110.6	2908.5	2422.3	2399.9
10003_f_at	8462.5	8013.5	8951.1	9338.2	9775.9	8402.2	6530.3	7861.9	6735.1
10004_at	19.9	3.8	23.3	10.8	6.3	33.3	24.4	2.2	23.3
10005_at	449.3	451.1	653.9	622.8	386.2	561.2	402.3	452.2	615.1
10006_at	366.1	224.6	224.2	167.2	193.4	229.4	357.6	242	334
10007_at	998.9	1065	953.2	1109.6	745.7	862.5	844	707.5	843.3
10008_at	16.7	29.3	10.1	10	60.8	14.7	31.5	21.6	31.5
10009_at	117	116.9	151.7	93.7	508.4	301.2	197.8	243.2	294.8
10010_at	1931	1636.3	2088.2	2123.3	1779.5	1476.5	1450.2	1449.6	1950.7
10011_at	6.6	13.5	15.8	2.7	1.7	24	22.6	19.4	9.4
10012_at	138.8	143.3	62.2	194.6	141.5	358.5	147	421.8	343.9
10013_at	73.7	60.1	67	108.7	105	89.2	68.9	86	90.4
10014_at	592.1	509.5	689.7	588.8	604.3	957.3	890.5	898	791.1
10015_at	2796.5	2319.8	2615.9	2687.9	3412.2	2476.2	2857.6	2593.5	2507.1
10016_at	1025.9	769.9	1054	958.9	783.8	715.6	612.3	663.4	624.3
10017_at	11	8.2	4.4	10.4	13.6	24.6	21	43.9	43.6
10018_at	3088.3	3238.2	2467.4	2518.5	1946.6	1087.5	920.9	1043.4	875.5
10019_at	2538.8	1911.3	2476	2171.5	1898.1	2550	2417.5	2274.6	1738.3
10020_at	477.5	336	385.1	370.9	341.3	560.4	530.2	571.6	548.6
10021_at	57	73.3	86.1	98.9	53.4	133.9	80.8	157.1	101.9
10022_at	1.6	2.3	3.4	2.3	4.3	2.9	1.5	2	2
10023_at	1.6	5.1	4.4	11	2.8	22.5	3.6	3.5	4.6
10024_at	369.4	341.6	287.8	315.1	288.3	548.1	471.4	637.5	590.1
10025_at	92.2	77.7	90.3	74.5	86.1	166.3	117.5	186.2	140.5
10026_at	2.1	3.9	14.1	5.3	20.9	12.6	17.1	8.1	5.1
10027_at	24.6	5.5	9.2	34	34.2	64.8	59	85.4	45.1
10028_at	175.7	104.9	120.8	152.4	93.8	194.5	315.2	190.8	276
10029_at	126.5	58.4	88.8	116.5	68.3	84.9	76.1	115.7	162.5
10030_at	50	145.5	79.7	71	68.5	48.5	110.5	98.3	52.6
10031_at	702.5	821.3	779.3	1009.7	831	1028.2	1101.4	1029.9	1139.2
10032_at	129	103.2	199.7	108.9	167.4	152.1	124.9	143.5	146.8
10033_at	120.5	119.2	164.1	153.3	104.8	210.2	188.9	222.1	255.7
10034_at	1850.4	1466.7	1703.5	1415.7	1156.8	1630	1588	2231.9	2137.7
10035_at	395.7	245.7	459.3	281.4	250.5	515.5	497.3	583.7	646
10036_at	104	101	106.7	172.5	52.8	124.1	146.3	141.8	146.9
10037_at	109.5	101.2	133.7	26.7	143.5	40.3	87.8	80.3	7.6
10038_i_at	275.4	293.9	258.5	258	345.2	181.1	234	220.9	166.8
10039_s_at	29.5	46.7	35.4	27.2	23.6	38.5	56.2	41	3.9
10040_at	41	59.5	49.6	58.5	42.8	5.8	27.6	33.9	31.9
10041_at	21.3	18.5	53.3	17.6	52.3	37.4	19	24.5	48.3
10042_at	11.2	43.5	24.2	1.7	35.8	30.3	27.6	53.8	50.5
10043_at	46.7	32.5	8.6	14.9	34.3	39.9	45.1	68.9	47.4
10044_at	585.5	402.8	555.5	629.5	418.8	285.3	332.6	392.5	384.5
10045_at	5638.6	5704.1	5401.6	5690.2	5794.8	8240.1	7454.8	9778.9	7765
10046_at	71.6	52.4	89.8	27.2	60.9	86.2	52.5	77.7	100.1
10047_f_at	11204.2	11608.7	12289.2	13739.1	13449.7	12293.5	10979.7	11623.9	11015.5
10048_at	111.2	93.7	82.5	91	115.8	269.9	225.2	227.3	200.6
10049_at	74.2	80.4	87.8	106.8	54.8	96.2	133.2	110.9	84.2
10050_at	408.3	500.8	417	498.9	317.9	559.8	420.7	524.8	408.3
10051_at	1034.9	958.4	701.4	735.9	828.5	802	1010	804.8	645.8
10052_at	403.9	355.4	383.9	332.9	292.8	531.2	637.8	567.7	433.1
10053_at	7233.5	6013.2	6063.5	6325.2	6708	4289.5	5047	4270	4061.4
10054_at	1895.6	1567.3	1644.5	1373.7	1385.7	1663.8	1735.6	1455	2019
10055_at	159.3	133.2	162.6	177.6	172.3	191.8	200.7	162.5	163.2
10056_at	123.8	151.7	133.8	141.2	110.9	338.1	259.8	317.7	296.2
10057_at	33.3	6.7	40.7	81.7	5.2	35.5	18.9	37.8	5.9
10058_at	157.7	196	168.6	263.7	147.8	322.7	309.2	335.7	343.1
10059_at	1545.3	1868.5	988.8	2094.4	1300.5	3632.5	2838.7	3275.4	3331
10060_at	114.1	155.4	165.3	201.1	120.6	330.3	243.3	287.7	223.2
10061_at	7455.1	8409.4	10921.1	10180.4	10510	7567.3	6624.2	7004	4551.8
10062_at	306.1	274.8	279.5	222.3	290.8	346.9	312.1	329.5	366.2
10063_i_at	63.7	102.5	0.3	65.5	114.8	64.7	64.4	61.7	55.8
10064_s_at	219.1	194.1	165.4	157	133	206.1	219.3	243.1	161.5
10065_at	63.6	43.3	70.6	68.2	58.8	46.5	74.8	76.6	77.8
10066_s_at	429.8	326.7	336.1	385.1	344.4	358.3	411.5	419.9	383.3
10067_at	66.9	77.9	74.8	99.8	108	139.6	71.5	91.3	138.9
10068_i_at	8622.9	9037.3	9281.8	8393.9	10160.4	9571	8892.1	7432.9	7639
10069_f_at	4193.5	4212.9	3938.5	3725.9	4113.3	3871.5	3988.9	3286.1	3372.1
10070_at	27.7	15.1	39.5	48.3	1.8	60.5	54.3	64.1	31.3
10071_at	26.7	36.7	87.6	40.9	47.5	47.1	56.6	80	98.4
10072_at	27.3	42.1	46.1	52.1	69.6	80.2	42.8	61.9	41.2
10073_at	243.9	193.6	264.8	281.7	235.6	280.8	263.7	388.2	245.9
10074_at	15.4	1.8	28.7	6.7	7.6	1.5	13.5	17.1	5.6
10075_at	190.9	182.6	217	158.3	129.3	269.4	226.5	216.2	242.1
10076_at	72.2	52.6	61.4	70.3	41.9	130	108.8	138.3	148.8
10077_at	200.6	175.4	206.6	172.7	165.7	190.8	218.4	208	275.7
10078_at	97	55.3	147	87.6	118.2	159.5	145.6	153.7	157.8
10079_at	6.4	30.2	5.6	41	25.3	36.5	1.9	10.1	14.6
