ID_REF	GSM153627	GSM153628	GSM153631	GSM153632	GSM153633	GSM153634	GSM153629	GSM153630
10000_at	10.7	18	8.7	26.9	10	24.9	11.9	23.7
10001_at	379.2	877.8	456.2	1200.2	591.6	632.7	212.5	1026
10002_i_at	1676.3	370.5	902.2	880.5	913.5	842.5	1536.3	904.3
10003_f_at	5239.5	646.9	1967.1	1272.6	1994.6	1319.3	4711.3	2118
10004_at	0.8	11.9	0.5	0.9	0.8	3.8	2.9	3.3
10005_at	339.6	255.9	173.5	351.5	290.8	246.9	354.9	560.9
10006_at	86.8	100.3	72	135.2	194.4	107.1	79.3	184.8
10007_at	440.7	256.2	858.6	489.5	1866.6	400.6	466.2	1195.3
10008_at	3.3	9.2	327.3	25.4	699.9	6.2	12.8	26.5
10009_at	176	1.9	32.6	13.3	15.3	2.9	43.1	3.9
10010_at	3910.2	2763.2	2304.6	2474.6	1729.4	1238.1	3200.3	2825.3
10011_at	20	24.1	1.1	29	5.8	31.8	19.8	19.8
10012_at	169.5	203.7	74.8	263.9	28.9	145.8	58.5	293.6
10013_at	132	116	128.1	157.2	186.7	79.7	117.7	191.8
10014_at	326.1	491.5	478.1	1464.6	1137.5	2025.2	261.3	2394.4
10015_at	738.4	230.2	982.7	1076.3	903.8	570.1	471.3	754
10016_at	1166.4	372.4	522.8	531.9	732.5	278.4	1062.3	670.4
10017_at	5.2	6.2	25.8	2.2	15.2	1.1	1.3	20.9
10018_at	3783.1	412.7	1914.9	308.9	3212.1	516.4	3742.8	1747.2
10019_at	7363.5	4216.5	2152.3	5589.3	2948	3797.4	7062.4	8765.3
10020_at	206.7	115.2	90.9	118.8	153.2	107.5	225.1	389.3
10021_at	50.7	64	32.8	84.4	62.1	30.5	58.5	92.6
10022_at	1.2	539.6	5.6	3628	9.7	5589.2	1.1	141.4
10023_at	40.9	805.2	22.9	4664	14.8	5843.5	26.1	91.6
10024_at	326.1	259.3	276.5	337.7	383.3	185.4	305.5	387.3
10025_at	49.4	106.2	58	100.5	120.3	79.3	66.2	173.4
10026_at	4	63.2	8.4	146.9	9.7	121.1	2	79.3
10027_at	235.4	1605.2	447.9	2908.6	1097.8	3093.1	194.6	1644.7
10028_at	44.3	9.7	3.7	41.6	9.2	66.4	43.3	134.2
10029_at	116	198.2	87.9	1181.4	193.7	975	102	234.4
10030_at	57.6	174.2	67.6	236.8	86.7	80.6	76.3	404.1
10031_at	716.5	156.8	194.1	281.7	231.5	706.9	574	357.7
10032_at	50.7	130.1	43.3	275.7	87.4	250.9	46.2	297.1
10033_at	115.2	107.6	226	253.5	302.9	243.1	105.1	265.2
10034_at	552	206.8	187.8	442.1	411.1	447.8	615.2	595.1
10035_at	235.7	69.6	121.6	135.9	160	77.7	262.3	169
10036_at	77.6	146.5	74.9	217.4	105.1	154.1	99.3	326.2
10037_at	131	56.1	149.3	76.3	106	48	68	88.4
10038_i_at	1402.7	2678.2	1693.1	3412.7	1245.7	885.7	1013.4	4650.1
10039_s_at	172.5	660.6	323.2	634.8	252.4	132.2	127	918.1
10040_at	307.3	694.9	547	997.5	331	184.7	247.8	1346.2
10041_at	19	6.8	25	15.4	31.1	2.6	5.3	22.3
10042_at	42	10.1	17.9	37.4	27.5	35.4	48.8	52.2
10043_at	356.9	1557.8	2055.2	1334.5	4237.8	593.4	565.9	1768
