ID_REF	GSM266726	GSM266728	GSM266729	GSM266723	GSM266724	GSM266725
2832_s_at	42.1	42.4	35.5	33	25.4	24.6
2833_s_at	47.8	41	62.6	26.2	29.3	20.2
2834_at	22.7	3.9	13.4	17.1	8.3	6.3
2835_at	90.7	96.8	95.7	192.6	175.9	183.2
2836_g_at	296	367.7	471.4	853.5	736.8	1217.5
2837_s_at	166.8	264.8	306.3	584.3	478.5	736.8
2838_s_at	146.1	195.9	258.9	400.7	378.7	510.5
2839_s_at	463.2	617.5	758.2	1262.1	1237	1458.2
2840_s_at	1235.1	1905.1	2000	2538.3	2363.8	2869.8
2841_s_at	1525.9	1792.1	1941.5	2499.4	2490.2	2492.8
2842_at	5.8	12.1	20.6	1.9	10.6	1.5
2843_at	6.8	8.3	12.1	10.2	4.7	7.2
2844_at	5.5	8.8	17.2	8.4	10.3	0.4
2845_g_at	46.3	69.4	89	74.8	77.7	86.8
2846_s_at	67.5	83	114.9	74.6	79.6	72.2
2847_s_at	168.8	287.4	288.7	235	251.6	319.6
2848_s_at	314.9	410.2	452.4	389.8	445.6	418.8
2849_at	9.1	19.8	22.2	18.8	15.8	14.4
2850_g_at	73.8	82.9	111.1	61.8	74	80.1
2851_s_at	29.4	28.3	32.6	24.7	45.1	43.1
2852_s_at	26.1	44.1	60.9	29.4	47.9	40.1
2853_s_at	33.3	19.7	20.7	13.3	7.6	17.7
2854_s_at	75.8	103.4	98.9	120.4	64.5	71.7
2855_s_at	245.2	255.3	170.9	170.7	109.6	113.5
2856_at	76.5	82.7	76.1	58	54	42.1
2857_at	198.4	253.3	202.4	161.2	145.5	109
2858_at	29.6	27.2	19.9	10.6	14.5	20.8
2859_at	1.2	1.4	22.2	2.1	0.7	4.6
2860_g_at	14.3	9.9	7.9	8.9	8	17.9
2861_s_at	11.9	10.6	18.6	15.2	6.8	7.3
2862_s_at	59.9	49.2	68.5	41.3	38.1	53.3
2863_s_at	84.7	61.1	89.6	75.9	76.5	62
2864_at	54.7	46.1	69.1	30.3	23.4	30.3
2865_g_at	17	15.3	17.7	13.1	10.1	2.4
2866_s_at	14.4	15.6	27.3	18.8	25.2	25.7
2867_s_at	23.2	22.3	26.9	36.5	30.7	22.5
2868_s_at	16.6	19.8	25.4	22.1	22.7	29.8
2869_s_at	45	44	112.9	38.4	53.7	50.4
2870_s_at	122.1	121	217.5	139.9	117.8	110.9
2871_s_at	407.1	407.9	472.3	389.2	459.6	244.5
2872_at	15.6	11.9	35.9	22.8	13.5	7.6
2873_at	0.9	3.1	11.2	20	13.9	2.6
2874_g_at	5.7	7.4	4.5	3	18.8	5.5
2875_at	1.7	2.9	2.4	1.5	2	0.9
2876_at	0.5	2	1.7	0.7	0.6	2.8
2877_at	0.4	1	6.4	1.5	0.9	3
2878_at	0.4	6.9	4.1	2.9	3.7	0.4
2879_at	3.7	8.8	14.7	5.7	4	2.4
2880_at	6.4	9	15.1	0.9	7.2	4.9
2881_at	9.6	13.8	18.8	13.1	10.2	6.7
2882_at	20.1	25	29.6	7.5	8.7	16.5
2883_at	53.1	42.2	52.8	28.9	49.4	19.6
2884_g_at	124.5	118.3	161.4	70.8	95	74.9
2885_s_at	231.2	294.7	407.2	97.7	101.1	88
2886_s_at	167.5	175	214.5	116.1	125.7	133.7
2887_s_at	392.1	447.4	456	112.6	162.8	120.6
2888_at	38.7	43.8	45.1	38	23.8	33.6
2889_at	29.5	23.3	37.5	15	24.3	37.2
2890_at	3.7	2.5	4.8	5.7	11	4.8
2891_at	11.5	11.8	0.9	4.9	5	11.7
2892_at	2	0.4	2	8.6	2.2	3.1
2893_at	0.7	1.1	0.6	10.4	1.7	6.2
2894_at	1.8	2.2	14.2	9.9	0.9	9.5
2895_at	12	0.2	0.5	1.4	1.2	3.1
2896_at	0.8	0.4	1.8	1.4	0.8	4.6
2897_at	0.4	1.2	8.9	8.2	11.8	0.6
2898_at	1	0.5	1.3	0.9	0.8	0.7
2899_at	12.6	11.8	22.7	6.7	2.2	1.4
2900_at	17.3	10.8	18.5	1.6	0.5	1.7
2901_at	6.1	3.3	11.3	0.5	2.4	0.7
