ID_REF	GSM35168	GSM35169	GSM35170	GSM35171	GSM35172	GSM35173	GSM35174	GSM35175	GSM35176	GSM35177	GSM35178	GSM35179	GSM35180	GSM35181	GSM35182
OR0393	2.3924	0.0243783	1.71176	0.77284	0.840133	2.04028	1	1.40312	1.41257	0.719326	4.33204	0.61164	0.642604	0.723611	1.23576
OR0405	0.464314	0.813786	1.45597	1.04722	0.81526	3.48458	1	1.36659	0.953893	0.494744	10.9086	1.07476	0.389184	0.528213	1.45062
OR0192	0.01	0.522851	2.07506	0.575833	0.437953	2.38142	1.31125	1.10773	0.800382	1.26147	3.88788	1.02678	0.185019	0.426043	1
OR0066	3.23684	0.842682	2.81626	1.06142	0.294362	9.00309	0.574455	1	1.13467	0.981203	4.42755	1.50229	0.309371	0.263097	0.473549
OR0073A	0.01	0.496084	0.658473	1.52917	2.53965	2.9914	1.94946	1.40136	0.719052	0.770413	6.23923	0.01	1	0.305776	1.02281
OR0138	1	0.291224	0.343367	0.532526	0.942102	1.48881	1.25674	1.0496	1.41087	1.0241	6.13545	0.639693	0.754704	0.46269	2.78336
OR1187A	1.0056	0.785747	0.01	1.09381	1.84498	0.850818	1.36058	1.60189	1.18854	0.629315	2.64397	0.882019	0.426824	0.893249	1
OR1188	0.153491	0.540644	0.432925	0.873578	1.62901	3.11543	2.02116	0.844985	1.2663	1.95451	17.7803	1.06524	0.503705	0.624317	1
OR1049	0.01	0.383727	2.5359	1.223	0.669849	0.719665	1.4438	0.01	2.38292	1.12174	3.09138	0.230599	0.430422	1	1.47639
OR1124	0.0758724	0.01	3.35443	1	1.25818	2.37807	1.46207	0.881779	0.709407	1.02737	5.7646	0.552887	0.560219	0.640504	1.00474
OR0639	2.87059	0.628127	5.00799	0.44863	0.845302	2.65931	1	0.883964	1.89314	1.25351	8.22229	0.869824	0.216134	0.302473	1.55183
OR0374	1.26313	0.375102	1.93148	0.594574	0.544605	2.058	0.999702	1	0.501191	1.01943	3.95827	1.02377	0.257123	0.263117	1.84776
OR0613B	0.01	0.186001	1.50883	0.681554	1.46896	1.66788	1.25623	1.018	0.928011	1.4546	2.55361	1	0.248375	0.391412	0.833689
OR0670A	0.997877	0.690105	1.23796	1.09003	0.371283	5.19148	0.777349	1.38652	1	0.819025	5.21594	1.27389	0.166018	0.244112	1.84522
OR0007	1	0.342564	0.722558	0.726988	1.69183	1.7624	1.94866	1.07765	0.648876	1.20909	1.87345	0.509978	0.238701	0.300078	1.39721
OR1190	0.01	0.921269	1.71564	1.00894	2.77804	1.32177	2.88233	0.992178	0.712976	1.6811	4.78552	1	0.628637	0.525485	0.42369
OR1191	0.01	0.514583	0.301951	0.947597	1.02359	1.08666	1.41713	1.07369	0.822206	1.02401	1.1234	1	0.612184	0.47963	1.75938
OR0511A	1.47802	0.325026	1.49402	0.625661	0.322884	1.61551	1.03821	1.09355	0.990582	1	3.78472	1.06875	0.157067	0.229576	0.729532
OR0380	0.405965	0.46133	1.5664	0.758818	0.500868	1	1.04437	1.64487	1.2995	0.94943	2.40033	1.22051	0.273459	0.226812	1.75942
OR0377	0.488148	0.350325	1.12113	0.738078	0.959826	2.72012	1.67976	2.45696	1.18899	1.30072	4.10776	1	0.203253	0.369274	0.679023
OR0206A	0.239789	1.16307	1	0.930343	2.78348	0.283791	3.38305	2.11629	1.29058	1.91068	2.12669	0.731038	0.452618	0.662487	0.61616
OR0566	1.26273	0.628493	2.02406	0.536291	0.657684	2.11678	0.764686	1.24669	0.591793	1.26949	1.83366	1.80051	0.167028	0.319384	1
OR0237	0.462282	0.794131	1.37722	0.838543	1.5332	1	2.12498	1.11222	0.868706	1.60982	1.31541	1.552	0.249515	0.443469	0.411937
OR0781B	1.30759	0.309423	1.77445	0.409913	0.409125	6.53508	0.610917	0.705051	1.29723	1	3.89702	1.93087	0.205178	0.319605	3.25454
OR1192	0.473304	0.575928	1.34799	0.903681	0.612587	6.09205	1.09281	0.87559	1.04127	1	8.52173	1.88794	0.469555	0.526246	1.85571
OR1193	0.01	0.723617	1.38194	0.652295	1	3.929	1.24451	0.747326	0.716884	1.28712	10.4621	1.29149	0.317345	0.421814	1.00754
OR1055	0.01	0.163313	1.93732	0.403429	1.84255	0.018596	2.53041	2.43847	1	1.69082	2.82693	0.86225	0.396903	0.563307	1.91702
OR0540A	0.01	0.60407	1.25263	0.473007	2.64039	1.61707	2.95573	2.09275	0.759932	1.84083	2.94685	1	0.161937	0.363555	0.959815
OR0603	0.01	0.204321	1.20217	0.449668	2.05373	1.19923	1.67238	1.8299	1.01731	1	3.15807	0.337661	0.381973	0.288014	0.402443
OR0262A	1.12843	0.247921	2.00281	0.692523	1.67045	1.18566	1.31265	1	1.13531	0.937866	3.58824	0.908249	0.221046	0.270363	0.530137
OR0610	0.547382	0.42986	0.01	1.47205	2.21484	1.81392	3.50724	1	1.10389	2.18596	1.76928	0.448266	0.245812	0.414483	0.42381
OR0171B	0.660122	0.543944	1.73608	0.972652	1	0.872051	1.27206	1.68497	1.05976	0.947131	1.2263	1.30381	0.275023	0.284794	1.87493
OR0355	0.506346	0.421024	1.02827	0.482977	1.138	3.86253	0.820762	0.564055	1.02877	1	6.45614	1.58381	0.206806	0.329159	2.02993
OR1194	0.01	1	0.976923	0.941452	1.85075	1.22218	3.42993	1.40065	1.33615	1.76868	3.61232	0.841325	0.492296	0.886047	0.408798
OR1195	0.01	1.14597	1.32873	0.974126	1.80621	0.129171	1.60958	0.944179	0.551282	1.21642	2.37057	1.05735	0.259681	1	0.151425
OR0201	1.01976	0.569668	2.06689	1.40814	0.608259	0.938694	1.56522	2.28037	1	0.856333	1.60553	1.33315	0.231429	0.456218	0.622504
OR0283	0.01	0.459318	0.945513	0.832072	1.15578	1.40167	2.12591	1.16311	1	2.7106	2.14166	1.26183	0.0981354	0.145349	0.364807
OR0187	1.24711	0.468881	2.00638	0.36519	0.36168	3.79909	0.550954	1.30399	0.389092	0.83649	4.8144	1.62776	0.711393	1	1.03443
OR0164	0.01	1.30537	1	0.60754	1.49022	1.09864	1.62911	1.29118	0.785149	2.04821	2.05825	0.823438	0.418348	0.330463	0.430884
OR0278	1.13449	0.373847	2.45773	0.726156	0.487794	2.88186	0.614193	1	1.02843	0.813873	2.63725	1.42491	0.276688	0.338053	1.22472
OR0326B	0.337662	0.611923	2.64835	0.715798	1.04235	2.68261	1.48279	0.845227	1	1.63043	3.52072	0.930149	0.397028	0.474419	1.68486
OR0637	6.37863	0.344598	4.45811	0.898134	0.616729	2.30483	1	1.93099	0.78886	0.736809	3.65001	2.26593	0.30437	0.575258	2.54793
