ID_REF	GSM43898	GSM43904	GSM43899	GSM43903	GSM43901	GSM43905	GSM43906	GSM43908	GSM43900	GSM43902	GSM43907	GSM43909
10000_at	15.3302	28.7216	13.1094	23.1035	17.8426	14.6087	12.9124	14.726	14.9456	17.3102	1.40916	4.3242
10001_at	800.302	990.864	1061.46	762.56	799.02	848.579	857.447	1138.53	914.429	1004.67	926.828	935.158
10002_i_at	4122.01	4890.79	5432.95	3991.58	4035.01	3964.75	3388.84	4739.34	4835.26	4671.1	5234.13	4966.97
10003_f_at	7526.21	8511.61	8644.68	7412.06	7390.92	7382.94	6844.85	8656.53	8499.04	9127.52	7942.94	8685.47
10004_at	4.14394	10.9382	 	1.82436	2.06502	7.38121	4.52255	 	5.50851	 	5.76085	 
10005_at	515.63	678.954	819.828	618.696	543.14	464.189	551.701	745.24	700.494	789.447	639.583	783.077
10006_at	284.077	354.549	338.62	231.421	232.986	224.602	213.299	299.123	267.48	288.861	262.623	338.193
10007_at	833.147	1448.9	1814.82	1329.32	998.018	987.17	1201.07	1136.69	1563.19	1811.29	1364.94	1792.85
10008_at	11.3465	2.71612	19.2455	20.7084	28.8972	36.6983	13.0967	22.7122	42.7902	25.1087	8.42326	34.7997
10009_at	22.2441	 	29.1526	37.4866	 	10.8113	17.3744	51.2295	26.5454	39.6785	20.4853	35.6609
10010_at	1853.36	2273.97	2315.01	1658.72	2356	2202.01	2270.87	2903.68	2885.21	2752.33	2825.79	2475.61
10011_at	33.6178	61.8138	27.5307	27.4185	44.4642	48.1028	35.7772	19.9399	38.3108	39.1044	458.06	23.948
10012_at	321.037	610.755	647.034	567.189	511.928	595.657	431.286	628.911	785.261	711.382	1043.2	520.325
10013_at	90.2469	107.657	188.974	147.102	126.999	113.146	123.747	175.102	169.9	268.965	158.468	240.028
10014_at	297.124	368.81	728.883	471.465	348.445	397.964	331.56	363.909	686.469	576.761	605.872	558.039
10015_at	4751.63	5317.23	5621.78	4742.45	4394.33	4202.56	3931.57	4690.5	4807.12	3954.05	4428.64	3941.9
10016_at	1598.09	1865.57	2167.16	1723.9	1669.14	1526.17	1777.83	2093.19	2099.33	2304.21	1969.76	2140.85
10017_at	 	 	 	 	 	 	 	 	 	 	 	 
10018_at	5047.05	5498.61	7456.24	6179.15	4844.1	4575.1	4548.85	5579.05	6785.09	6309.77	6216.75	6598.31
10019_at	4026.41	4634.93	5277.36	4135.74	4206.87	4268.42	4479.11	5162.46	5279.91	4388.52	4481.81	4666.46
10020_at	424.073	554.041	791.876	569.219	371.545	383.973	462.061	649.38	503.542	490.497	523.343	624.364
10021_at	64.7059	87.7043	128.484	83.7649	86.3898	71.1516	80.8514	132.059	140.765	144.085	82.2003	166.224
10022_at	 	 	 	 	 	 	 	 	 	 	 	 
10023_at	 	 	 	 	 	 	 	 	 	 	 	 
10024_at	646.516	779.34	1043.55	740.676	621.527	602.626	663.51	788.035	860.743	982.147	735.762	958.923
10025_at	129.698	194.55	364.132	159.555	136.255	123.488	134.89	201.429	224.198	306.185	231.458	319.641
10026_at	0.500733	60.0601	56.5312	50.4803	21.5656	12.1786	 	27.3903	91.1399	49.0712	40.6276	53.1547
10027_at	17.6476	28.3165	 	42.1564	44.4867	34.1618	48.2176	58.7841	117.017	69.1697	90.3872	88.8266
10028_at	74.0373	76.4966	177.174	130.853	67.9783	68.0398	73.376	90.7901	138.959	137.143	113.878	165.887
10029_at	322.959	515.683	742.533	475.327	412.505	388.569	402.84	565.054	693.383	743.568	631.749	752.147
10030_at	15.4249	9.51995	45.8188	35.4572	17.0489	8.42436	30.8164	6.89987	16.5233	44.5721	 	41.8733
10031_at	388.875	479.725	510.76	470.801	450.291	341.916	362.086	500.356	504.411	577.631	419.788	498.795
10032_at	172.308	213.646	348.682	233.64	166.189	156.421	173.662	213.447	292.447	268.966	233.044	307.979
10033_at	260.153	333.753	371.867	306.396	285.641	282.417	258.034	357.691	359.811	434.545	364.354	391.218
10034_at	1116.09	1271.97	1232.77	1074.55	901.99	870.347	840.479	1163.62	970.914	1061.59	899.411	1149.74
10035_at	468.185	500.313	576.658	433.447	419.051	347.017	400.369	442.463	458.787	415.396	381.054	438.26
10036_at	131.841	193.042	272.353	181.315	153.851	172.356	108.443	260.569	177.752	208.326	159.95	203.231
10037_at	279.005	587.242	324.665	292.985	367.927	395.937	205.322	436.604	400.336	229.779	377.665	239.43
10038_i_at	346.012	528.71	533.747	403.462	425.639	412.806	405.22	516.371	552.048	584.151	593.504	548.019
10039_s_at	30.8804	48.1683	80.4444	34.0757	54.0344	51.122	59.6581	51.4812	77.1323	50.1711	91.8674	57.2549
10040_at	20.1915	42.8322	77.7976	57.8287	50.7715	46.2584	59.7048	74.2002	80.3648	106.913	84.5588	94.0919
10041_at	94.023	131.776	83.8548	70.0073	59.6278	84.1593	59.1597	67.4484	129.696	74.9717	100.891	77.008
10042_at	46.2232	66.6317	98.2648	79.2355	64.0364	57.3483	71.1254	77.8105	86.0978	106.329	86.8985	94.4591
10043_at	18.1044	0.771327	66.2324	32.6619	52.6875	48.2495	24.3733	75.3063	14.9519	47.0756	63.1787	38.9445
10044_at	557.089	768.82	806.65	612.947	545.044	590.537	593.589	780.492	779.49	754.463	768.723	681.845
10045_at	3954.56	4765.42	5570.1	4308.63	2669.28	2704.38	2391.93	3271.22	3363.88	2593.28	3448.88	2740.45
10046_at	76.6619	111.575	158.137	106.836	79.8508	82.7174	68.1238	100.23	124.416	128.93	120.735	134.689
10047_f_at	9668.42	10726.9	11301	9446.32	9115.25	9301.41	8977.23	11313.8	10658.3	11311.3	10923.6	11188.7
10048_at	90.0467	87.9237	124.613	96.1458	74.759	82.5585	82.4548	109.862	106.063	117.658	102.214	121.919
10049_at	88.791	99.8786	146.293	103.775	76.1025	69.9465	84.5573	131.124	102.626	116.928	84.304	114.528
10050_at	405.163	555.532	882.674	624.974	443.742	435.907	453.823	704.758	794.934	802.812	833.024	718.68
10051_at	998.542	1156.83	1427.18	989.395	833.034	827.197	896.594	1373.46	1109.51	1286.58	1130.9	1309.52
10052_at	646.827	870.768	1026.05	741.382	688.762	632.458	590.226	920.579	943.266	962.999	932.031	1021.83
10053_at	6322.87	7825.76	8127.01	6176.76	6343.76	6165.28	6224.9	7386.47	7346.19	7427.99	8147.55	7164.2
10054_at	1858.49	2254.81	2487.17	1839.84	2175.9	2155.58	2204.64	3370.32	2869.99	3082.64	2644.93	2784.31
10055_at	303.795	319.796	438.554	278.23	299.386	255.458	238.751	312.226	322.931	347.317	288.987	346.17
10056_at	138.06	203.615	207.327	169.392	175.387	163.974	163.846	312.556	193.758	224.299	258.778	211.334
10057_at	14.5399	21.6076	14.4657	17.3009	11.261	16.955	16.7882	32.1107	24.5193	44.761	21.5637	54.5199
10058_at	413.019	536.869	570.412	452.89	364.865	367.13	385.655	539.592	458.62	443.839	383.974	418.25
10059_at	629.575	795.025	1479.3	1178.68	689.086	570.858	717.713	1089.8	1258.54	1193.66	1254.11	1147.02
10060_at	286.665	420.287	980.604	705.719	405.799	407.11	376.622	541.26	910.849	665.463	852.987	631.355
10061_at	5946.27	6424.93	7987.92	6767.02	5576.41	5330.64	6358.8	7871.04	7129.77	7904.35	6625.83	7906.77
10062_at	221.766	272.019	427.616	336.026	274.863	279.263	284.321	386.564	396.682	449.83	390.214	455.051
10063_i_at	623.954	679.846	965.639	834.775	611.452	601.481	761.629	905.747	972.966	1220.37	1007.77	1143.32
10064_s_at	295.33	311.798	491.445	363.369	285.114	283.482	294.927	488.06	463.91	497.852	463.317	487.725
10065_at	147.817	200.663	240.361	190.493	157.93	156.88	138.488	195.862	264.179	214.342	268.739	223.615
10066_s_at	877.334	1301.98	1156.4	867.606	985.916	980.352	845.801	1340.22	1192.83	1236.93	1127.91	1169.33
10067_at	92.2957	112.992	104.572	58.1735	61.2352	42.3599	68.4869	93.7107	52.8421	53.2023	78.1447	62.6545
10068_i_at	7452.5	7335.42	8108.94	5471.89	5953.03	5272.72	5390.61	6488.04	6407.48	5977.25	6405.62	6038.47
10069_f_at	6738.2	6516.55	8266.12	4955.9	5093.1	4814.64	4889.41	7138.62	6009.97	5909.39	6948.02	6608.77
10070_at	132.968	177.899	236.798	156.506	152.309	143.486	168.056	243.03	205.653	243.685	134.682	240.925
10071_at	82.2608	108.97	152.74	100.459	80.0658	75.4361	83.8754	114.214	133.46	112.933	136.946	120.157
10072_at	122.593	148.524	605.492	386.213	140.555	128.953	148.776	183.925	486.492	367.591	453.011	522.751
10073_at	625.517	949.036	772.727	775.237	748.691	674.842	536.836	646.35	914.026	695.311	844.567	690.174
10074_at	2.76627	18.4663	10.9594	5.32895	3.84366	9.90282	8.78005	6.07763	17.2351	0.664141	19.2103	9.54968
10075_at	335.838	416.327	857.205	476.923	398.475	347.071	340.604	436.776	743.123	757.734	586.451	625.458
10076_at	45.8773	74.6475	105.213	74.7998	66.971	53.8352	90.4603	84.2604	115.873	97.0544	181.335	83.9061
10077_at	174.348	201.705	257.556	177.78	173.183	144.835	181.072	266.44	229.131	246.523	215.889	276.348
10078_at	104.042	77.312	177.623	117.615	110.494	93.1126	125.576	158.19	170.675	137.43	144.846	192.009
10079_at	14.0786	23.2804	15.9219	20.6225	16.5543	11.5888	4.39258	0.0907942	12.2106	 	45.1023	8.06767
10080_at	36.9305	 	57.7877	20.9306	 	 	40.6957	24.5477	32.4658	15.6471	 	16.328
10081_at	11.9713	46.684	 	21.8996	 	 	 	1.18789	67.8763	43.7943	 	18.157
10082_at	9.9103	12.3105	19.1876	5.28536	19.6736	 	1.4441	31.7112	12.6813	 	 	11.7696
10083_g_at	 	 	8.77769	 	 	0.810164	 	35.4343	 	 	5.10551	 
10084_at	166.13	171.312	71.0462	62.8125	57.7814	58.039	58.0865	53.6424	80.0821	56.0951	35.2935	86.3224
10085_at	322.806	368.732	444.105	300.452	325.092	298.693	408.394	544.461	375.846	542.531	326.44	540.721
10086_at	171.514	291.893	284.725	201.235	228.818	186.317	188.224	223.293	252.692	259.953	295.446	240.495
10087_at	138.419	242.739	276.491	193.355	141.49	131.095	140.515	219.887	212.689	209.352	239.118	190.521
10088_at	319.665	389.794	660.614	402.872	285.962	255.491	316.612	306.677	437.869	525.379	625.902	530.278
10089_at	289.201	437.545	684.553	483.314	317.061	308.638	313.433	476.673	559.701	487.267	558.684	554.136
