ID_REF	GSM40714	GSM40715	GSM40716	GSM40717	GSM40718	GSM40719	GSM40720	GSM40721	GSM40722	GSM40723	GSM40724	GSM40725	GSM40726	GSM40727	GSM40731	GSM40732	GSM40728	GSM40729	GSM40730	GSM40733	GSM40734	GSM40735	GSM40736	GSM40737
4403_at	6.33538	6.7077	6.63597	5.99559	6.51845	6.00508	6.27666	6.0866	6.64747	6.30677	5.35846	6.27491	4.6091	4.45753	5.48587	5.43023	6.99333	7.10575	7.03551	7.3548	7.01268	7.0996	7.07079	7.07585
4404_at	5.99239	6.06436	5.79125	5.5875	5.67053	6.35906	6.32902	5.48078	6.78131	6.47158	6.27708	5.85794	5.86214	6.24014	6.37951	6.40447	7.93104	7.8679	7.82271	5.99276	5.72986	5.79417	6.32488	6.66796
4405_at	6.72551	6.84472	6.63134	6.39404	6.68324	6.40984	6.1072	6.87059	6.42872	5.90646	6.49407	6.35176	6.75814	6.74201	5.78923	5.57226	8.06489	8.10867	8.14716	6.86238	6.68566	7.47991	6.71503	6.77137
4406_at	6.35234	6.73882	6.16256	6.13213	6.14045	6.014	5.70595	6.1003	6.54746	5.88296	6.62845	5.78805	5.43821	5.73593	5.82741	5.76578	6.44778	6.23866	6.17784	6.5967	6.45267	6.67995	6.23479	6.83175
4407_at	5.27943	4.53088	4.82299	4.54883	4.89417	5.19981	4.92888	5.41727	5.00179	4.76547	5.21492	4.70975	5.25525	5.15009	4.84868	5.00653	5.67591	5.59474	5.9269	4.3261	5.19507	5.6076	4.67484	4.84148
4408_at	6.0357	6.22715	6.04389	5.90008	6.02019	6.28723	6.55263	5.72019	6.55404	6.55965	6.45308	6.51664	6.04264	6.02886	6.89757	6.79433	7.68381	7.61543	7.73093	6.10152	5.84558	5.85773	6.44903	6.25205
4409_at	4.55778	4.73757	4.63069	4.41226	4.52337	5.44862	4.61322	4.73941	4.10057	4.14697	4.47176	4.5818	4.22847	4.63907	3.57435	3.72306	5.66909	5.24047	5.50064	4.70155	4.44022	4.7311	4.4822	4.57207
4410_at	4.21565	4.78222	4.42152	4.02118	4.43756	4.13094	4.14979	4.0033	4.14205	4.35482	3.78548	4.12944	3.81206	3.57079	4.42524	4.19987	4.30106	4.35047	4.4165	4.24098	4.1531	4.33961	4.55377	4.19894
4411_at	3.24228	3.61999	3.51768	3.2863	3.43328	3.65219	3.86872	2.96711	4.30673	4.29183	4.43093	3.60164	3.81305	3.50209	3.96607	3.91781	4.22268	3.81857	3.78219	3.59612	3.39283	3.10853	3.63445	3.86047
4412_at	5.77757	5.9076	6.40791	5.37247	6.08343	4.8336	4.8767	5.68789	5.59544	5.22539	4.89741	6.18679	4.4464	3.54899	4.81594	4.98344	7.36366	7.20897	7.25801	4.53919	5.31812	5.99846	5.20317	5.84787
4413_at	3.97145	4.46178	4.4945	3.93417	4.26509	3.7148	3.30933	4.23096	3.70467	3.87791	3.09576	4.38958	3.46952	3.27991	4.07235	3.89903	3.94398	3.8268	3.9398	4.2252	3.62006	4.43758	4.0536	3.58196
4414_at	6.79202	6.84697	6.77826	6.38491	6.64072	5.23894	5.03512	6.66491	5.60042	5.56811	5.30005	5.88598	3.7278	3.97922	4.62759	4.62578	6.77473	6.89989	6.75516	6.36386	6.34619	6.62625	5.92828	6.2316
4415_at	6.08564	6.34396	6.12927	5.89722	6.04441	5.82307	5.58718	5.7564	5.7743	5.95239	5.63675	5.94168	5.25976	5.15395	6.1035	6.13371	7.96811	8.10419	7.95725	5.73937	5.77901	5.81973	5.98814	6.39353
4416_at	3.98167	2.194	2.94856	3.31108	3.19388	2.37344	2.53232	4.62702	2.17228	2.36737	3.13603	2.22531	2.57001	2.53375	2.19572	1.99829	2.54718	2.50494	2.64589	2.36773	2.34027	2.47282	2.4524	2.47503
4417_at	5.52744	5.92001	5.69806	4.88863	5.56759	3.86137	4.45775	5.53757	4.34756	4.24349	3.55837	4.67819	3.12156	2.91575	4.04618	4.04401	4.34315	4.19115	4.13812	4.42261	4.9105	4.94191	4.85854	5.24933
4418_at	4.4711	4.51524	4.11658	4.48704	4.21921	4.97027	5.19689	4.03119	4.3237	4.37972	4.79462	4.72855	5.40615	4.75621	4.52067	4.53579	4.84683	4.67482	4.71745	4.7677	4.14489	4.21116	4.7513	4.34952
4419_at	2.35957	2.59743	2.58848	2.47652	2.4193	3.01582	3.92246	2.43156	3.01652	2.77328	3.73906	2.72184	3.54082	3.10716	2.98642	3.09745	2.35496	2.28832	2.39047	2.9217	2.67015	2.47138	2.97056	2.49336
4420_at	4.41688	4.37375	4.36026	4.72162	4.44659	5.87035	5.48915	4.50499	5.46808	4.98862	5.98968	5.35931	6.39678	6.08812	4.8907	5.15004	4.28733	4.01836	3.96532	4.7398	4.95753	4.40792	5.05136	4.40351
4421_at	5.29211	5.44791	5.65965	5.54587	5.82937	4.77746	5.01096	5.77912	5.21332	5.04173	4.2159	5.55199	4.55516	3.83156	4.6333	4.81001	6.24099	6.41471	6.48727	5.36064	5.6457	5.83019	5.26745	5.4687
4422_at	9.12025	7.9036	8.50335	8.69179	8.5854	6.27293	6.85153	9.79486	7.20515	6.9789	6.22331	7.08032	6.12135	5.51489	7.02989	7.17572	5.56598	5.48439	5.80284	6.47121	8.3134	8.39179	5.86941	6.74248
4423_at	7.80104	7.5012	8.12704	7.40194	7.97139	6.92296	6.80785	8.28693	6.98812	6.91128	6.75999	6.70898	6.08908	6.28827	4.77163	4.8678	9.2972	9.37566	9.44117	8.07133	9.09436	9.69661	7.03107	8.63816
4424_at	6.04608	6.28118	6.38165	5.59369	6.25425	5.35279	5.10814	6.00107	5.77094	5.63858	4.89699	6.90401	4.73459	4.27825	5.77977	5.61881	6.38862	6.3037	6.44337	5.83676	5.78198	6.33706	5.00706	5.35335
4425_at	8.63791	6.83433	8.22347	8.11923	8.00697	6.5193	6.83101	9.06118	7.29613	6.99486	6.16524	7.56176	6.5024	6.17947	8.14441	8.23101	7.18064	7.62764	7.68659	5.73745	7.58165	7.96129	5.5629	6.87587
4426_at	5.5449	5.68245	5.66964	5.5205	5.70662	5.92818	6.06437	4.97064	5.95252	6.13752	5.96018	5.68189	4.99849	5.48685	6.12867	6.16692	6.57383	6.61597	6.63791	5.72793	5.87492	5.39311	5.5917	6.29834
4427_at	5.50332	5.28296	5.48504	5.33148	5.45242	5.18371	5.17101	5.36657	5.39589	5.18836	4.93334	5.33228	4.86367	4.46829	5.06346	5.02883	6.22487	6.15674	6.26663	4.60366	5.28647	5.62096	4.93912	5.33698
4428_at	9.17562	9.1832	9.25406	8.88312	9.22996	7.21762	7.88333	9.18214	8.66584	8.25885	4.96626	5.13099	4.06615	3.39214	6.44027	6.30903	7.79083	7.67991	7.57076	8.96503	9.17298	9.69001	7.42202	8.99549
4429_at	4.48089	4.7342	4.64643	4.81765	4.7247	5.33496	5.48005	4.42529	4.9653	4.61538	5.52479	4.34546	5.38518	5.92789	4.7124	4.50946	4.18454	4.4572	4.35747	4.94274	4.57898	4.51434	5.05821	4.33577
4430_at	10.4468	10.4887	10.1721	10.0747	10.2526	10.2703	10.5025	10.0142	10.9956	10.7991	9.52947	9.93279	7.99617	7.79841	9.90589	9.9761	11.2571	10.8335	10.7879	10.2805	10.645	10.7034	10.4895	10.5408
4431_at	2.60654	3.03907	2.97016	3.07745	2.80019	3.64217	3.69795	2.97416	3.35096	2.98301	3.48924	3.02605	4.86626	4.5073	3.15302	3.29581	2.7546	2.75785	2.78557	3.3123	2.94808	2.77594	2.83023	2.66113
4432_at	5.66173	6.24675	5.84264	5.80037	5.84907	6.283	6.47892	5.71114	6.16956	6.25894	6.63963	6.2847	5.96598	5.69977	5.55275	5.63715	8.02251	8.11382	8.00027	8.41653	8.16806	7.96116	6.84492	7.66083
4433_at	4.72066	5.22463	4.96362	4.971	5.02493	4.46209	4.59344	5.0584	4.97083	4.80507	4.2998	4.70014	4.53369	4.26336	4.66757	4.873	4.81413	5.13975	5.03322	5.11146	5.50978	5.93934	4.83669	5.54234
4434_at	5.07475	4.54681	4.47781	4.92589	4.70008	5.90656	5.33044	5.03515	5.0354	5.15568	6.35893	4.51856	6.45638	6.52241	4.70416	4.90538	4.54118	4.41926	4.95488	4.57676	4.7532	4.34849	4.97724	4.4461
4435_at	6.78196	6.97354	6.64011	6.61546	6.67742	6.44581	6.06563	7.10157	6.1418	6.37559	6.20238	6.24986	5.95995	5.49001	6.36817	6.33729	6.51304	6.56751	6.63003	5.9193	6.18757	6.35519	5.965	6.20506
4436_at	5.7937	6.35312	6.33965	5.92548	6.47705	5.23639	5.79335	6.05171	5.48517	5.21491	5.49729	6.8253	5.18282	4.91306	5.09522	4.76239	5.20776	4.96264	5.10495	5.76371	5.65996	6.59608	5.30466	5.68526
4437_at	4.86396	5.44319	5.0306	4.87143	5.3341	5.27528	5.10434	4.80466	5.2956	5.39072	5.41284	5.547	6.05408	4.82779	5.77985	5.84685	4.70933	4.92929	4.84887	5.21856	4.87884	4.79305	5.09614	4.56933
4438_at	6.64272	6.73088	6.38959	6.52689	6.51595	6.5657	6.58758	6.74667	6.50661	6.28774	6.70743	6.22047	6.58089	6.71363	6.06944	6.25831	6.49637	6.42471	6.58969	6.79101	6.36009	6.48197	6.51325	6.26713
4439_at	5.1147	5.46818	5.09379	5.41241	5.19801	6.8067	6.42303	5.1752	5.44133	6.27742	7.84864	4.92502	6.62826	6.53763	5.62099	5.59508	4.60167	4.68132	4.44766	6.03234	4.93354	4.65485	6.1694	5.04087
4440_at	5.49478	5.49557	5.28511	5.47961	5.3539	6.33795	6.00232	5.58167	5.57142	5.60777	6.28358	5.34968	6.64811	6.76523	5.21673	5.63968	6.69208	6.67426	6.83773	5.54624	5.39132	5.35282	5.69986	5.37768
4441_at	6.35715	6.86649	6.32452	5.97437	6.47586	6.04263	6.29898	5.92959	7.11061	6.74891	6.22162	6.87403	5.11945	4.64786	7.06245	6.96152	5.50195	5.50387	5.68729	6.13891	6.11804	5.99398	5.93596	6.21847
4442_at	6.48741	6.86598	6.63924	6.16269	6.85413	5.22855	5.22777	6.95344	4.86497	4.70959	5.41407	5.26084	5.85093	5.55652	4.05225	3.84969	8.34077	8.78533	8.71657	7.535	7.13748	7.88985	6.45848	7.29832
4443_at	3.53557	3.49775	3.28937	3.4795	3.47016	4.15194	4.01279	3.46106	3.75056	3.66323	4.46754	3.42217	4.9499	4.9096	3.37593	3.30067	3.63845	3.61947	3.49144	3.67802	3.46767	3.21176	3.81417	3.11235
4444_at	7.39478	7.85153	7.65981	7.12045	7.66454	7.14255	7.18642	7.34632	7.65207	7.57954	7.15139	7.56566	6.31934	6.87148	7.90683	7.58119	8.56493	8.54046	8.58948	8.64093	8.21884	8.49576	7.9072	7.82653
4445_at	4.96414	4.98768	5.13756	5.03695	5.27599	5.34953	5.00065	5.01396	5.46206	5.23361	5.5217	5.67431	5.50067	5.78384	5.21059	5.50602	5.64218	5.77585	5.74463	4.92828	4.95206	4.89568	4.61648	4.81001
4446_at	6.65327	6.53782	7.18139	6.52607	7.33968	4.93991	5.23418	7.21705	5.96497	5.77448	4.00386	6.31646	4.81661	4.47502	6.02212	5.81283	7.54856	7.72864	7.82684	5.28266	6.38876	7.00522	4.66349	6.26551
4447_at	5.71203	6.84237	5.87482	5.98015	6.17801	6.74672	7.16805	5.0669	7.32707	7.49719	7.27859	8.99928	6.62484	6.43591	8.92761	8.86925	6.14725	5.89386	5.79444	6.51896	5.36169	5.2116	6.32241	5.70356
4448_at	4.45866	4.29433	4.48021	4.05031	4.42829	4.29918	4.0978	4.93004	4.2317	4.28007	4.27945	3.75031	4.35757	3.82239	3.59629	3.64383	4.54335	4.89212	4.95952	4.21331	4.1815	4.52155	3.81812	3.9662
4449_at	8.26403	8.13286	8.09863	7.91385	8.08644	6.43915	6.6757	8.51466	7.32733	7.11583	5.56456	7.29926	4.97598	4.47746	7.68189	7.74937	7.39955	7.42156	7.67263	6.88719	7.33434	7.31538	6.49486	7.05599
4450_at	5.66922	5.48353	5.8358	5.37153	5.76276	5.17098	5.14507	5.54941	5.85727	5.63122	4.47891	5.64659	4.52304	3.47479	6.5734	6.58801	6.11841	6.39898	6.47176	5.09463	5.64535	5.37091	4.59002	5.55786
4451_at	6.28827	4.54325	5.33396	5.81294	5.44276	5.34396	4.18248	6.7561	4.24057	3.88276	4.85348	4.82131	5.5573	5.05735	3.88513	4.05999	5.52324	5.54893	5.68769	4.26131	4.85987	5.06202	3.91338	4.68071
4452_at	6.53276	6.93287	6.1277	6.21975	6.12642	5.99051	5.83232	6.72651	6.17732	5.97576	5.92548	7.51934	7.22995	7.2321	6.95742	7.03943	8.18925	8.13953	8.25116	6.92334	6.69541	7.05989	7.02336	6.95213
4453_at	7.33455	7.35182	7.09065	6.77473	7.16344	6.97187	7.00584	7.00978	7.50535	7.20466	7.28269	7.93386	6.38656	6.52042	7.68241	7.76666	6.49389	6.35638	6.64251	6.9338	7.21057	7.16735	6.62511	6.95478
4454_at	3.30494	3.56509	3.17586	3.08766	3.27426	3.73192	3.7367	2.96558	3.82704	3.69946	3.58143	3.4803	3.49407	4.15895	3.29055	3.22497	3.65639	3.78373	3.6805	3.26715	2.98467	3.20919	3.19993	3.32381
4455_at	6.07679	6.33995	6.05406	5.63942	6.09523	6.02014	6.07819	5.84309	6.52104	6.53213	5.87365	6.11559	5.54217	5.68451	7.18496	7.01631	6.65946	6.82271	6.64501	6.25866	6.04039	5.935	6.56337	6.32283
4456_at	5.82375	5.61705	5.59665	5.70224	5.65361	6.49646	6.21302	5.78329	5.89245	5.80886	6.40319	5.64921	6.83644	7.14896	5.43288	5.41273	7.01341	6.93274	6.92455	5.86091	5.98873	6.02559	5.84331	5.86755
4457_at	6.38473	6.62099	6.72859	6.30938	6.81347	5.85957	5.84463	6.55188	6.38743	6.10044	5.38223	6.08665	5.77375	6.14706	6.21385	5.87703	5.74511	5.86949	5.87558	6.18675	6.26941	6.2879	5.68842	6.18621
4458_at	6.65388	6.48085	6.48096	6.40083	6.4419	6.57841	6.11788	6.76655	6.11282	6.12889	6.48517	5.88684	7.05456	6.97214	5.70423	5.84631	6.53398	6.6674	6.67787	6.35251	6.00224	6.2878	6.4158	6.0815
4459_at	4.56073	4.589	4.6957	4.56286	4.6543	4.94407	5.48523	4.74971	5.22103	4.72016	4.83188	4.56463	5.17095	5.44975	4.50792	4.35717	4.3599	4.29436	4.2531	4.42238	4.50869	4.68046	4.64532	4.45014
4460_i_at	2.59052	2.87231	2.45863	2.38401	2.64731	2.98721	2.71238	2.50446	2.77278	2.78784	3.77988	2.52771	2.59129	3.41832	2.6677	2.67958	2.43779	2.31278	2.39153	2.77792	2.42072	2.45176	2.7527	2.32425
4461_r_at	3.56893	3.38737	3.33174	3.41857	3.18164	4.69347	4.30534	3.06845	3.68371	3.74278	5.20462	4.48188	5.29895	5.44325	4.0924	4.39355	3.62218	3.43087	3.50301	3.97595	3.56244	3.14228	3.89702	3.23818
4462_at	6.45869	6.53671	6.49033	6.33546	6.48741	7.08148	6.68947	5.84271	6.82896	7.02257	7.19404	6.84373	6.81365	6.87228	7.03203	6.94835	6.16569	6.12143	6.09515	6.59539	6.3281	6.67933	6.42614	6.71292
4463_at	5.74725	5.77073	5.93253	5.44966	6.16643	5.18811	5.46492	5.64284	6.04507	5.82836	4.70363	6.63871	5.0534	4.63989	5.95742	5.89984	4.9027	5.18464	5.06389	5.56152	5.06787	5.34554	4.58395	4.92946
