ID_REF	GSM65600	GSM65601	GSM65622	GSM65588	GSM65589	GSM65590	GSM65596	GSM65597	GSM65598	GSM65591	GSM65593	GSM65594	GSM65638	GSM65639	GSM65641	GSM65628	GSM65629	GSM65630	GSM65632	GSM65634	GSM65636	GSM65623	GSM65624	GSM65626
aas_b2836_st	4.58576	4.614	4.55667	4.26767	4.58093	4.33605	4.48583	4.51451	4.29701	4.09952	4.33403	4.32281	4.53892	4.57536	4.51025	4.39981	4.22031	4.17705	4.41581	4.29041	4.2219	4.37008	5.79862	4.69188
aat_b0885_st	5.46704	5.43008	9.44916	5.32274	5.60497	5.35787	11.4079	6.75585	6.78511	8.43174	5.27319	5.38725	5.5233	5.55818	5.51189	5.48624	5.11922	5.21726	6.53668	5.35105	5.30032	5.45461	5.67614	5.25457
abc_b0199_st	22.9789	25.8141	24.5669	22.7698	23.0704	26.0008	25.3058	40.7367	20.3898	16.3228	27.4417	14.5375	12.4782	15.9492	23.0765	20.9931	19.7567	11.5543	16.5706	18.8503	17.3488	49.586	24.6663	18.0928
abrB_b0715_st	16.1416	15.1223	15.7524	14.8748	12.7549	13.2721	18.1331	16.0505	21.6447	24.0573	26.0709	20.353	16.0532	17.2525	16.8563	13.1066	16.7129	15.0238	16.134	15.7601	15.734	10.7728	19.7722	34.7291
accA_b0185_st	39.6393	38.5116	37.1884	39.5532	40.6831	36.7186	49.5642	42.306	34.7833	22.9129	80.4283	36.6026	27.5159	45.0553	38.3871	58.9365	36.2098	75.7107	37.5705	34.5852	34.6964	57.0161	44.9933	34.2152
accB_b3255_st	24.0996	12.8762	24.1792	89.798	105.894	28.9069	36.0454	28.4939	30.1721	20.8925	93.2682	56.3544	12.1473	24.4026	24.0226	41.3633	19.6207	23.482	29.5	21.4557	21.434	76.0567	17.6909	12.8653
accC_b3256_st	12.9878	14.7047	11.466	96.3774	52.3047	55.5456	25.3171	12.109	13.0521	11.9196	55.524	61.4708	12.1101	11.5739	12.4733	24.7098	14.3834	15.7524	12.0938	15.1087	17.3693	49.3038	21.98	10.2787
accD_b2316_st	17.1311	15.8339	10.0363	77.3963	33.6869	28.0335	34.1488	26.8638	19.2257	24.4228	69.9225	15.8467	12.7782	27.3352	23.7722	70.8398	25.9731	46.4066	27.0026	29.268	21.108	47.5733	34.7942	15.7691
aceA_b4015_st	5.39824	5.47894	5.46381	5.87538	5.83646	5.14901	5.33509	5.41615	13.72	4.60947	4.76887	5.14602	5.42184	5.49812	5.3461	5.1328	5.02126	4.89599	5.35651	4.7334	4.93543	5.12932	9.68103	8.78981
aceB_b4014_st	6.61146	8.70101	6.66556	6.08986	6.70139	6.5333	6.51422	6.59607	16.89	6.15333	5.94766	6.38668	6.63798	6.63628	6.60744	6.39295	5.73156	6.26558	6.39407	6.036	8.15014	6.33602	14.779	7.88739
aceE_b0114_st	16.9975	21.2818	24.8699	30.5034	54.1481	16.4432	49.3394	50.1809	25.8495	22.6168	46.3598	50.7529	8.5324	10.7201	21.6725	145.951	53.842	59.3687	18.5822	16.866	16.9454	226.941	15.8314	8.1603
aceF_b0115_st	61.8399	63.6447	54.04	46.2426	146.451	64.4758	105.076	109.999	87.3509	32.1092	71.9048	82.6407	27.2088	42.2146	74.5873	350.086	157.41	201.487	70.063	42.3215	31.0448	344.609	34.1538	44.5124
aceK_b4016_st	6.33414	6.08259	6.28528	5.78436	6.25587	6.12728	6.17601	6.3083	5.91903	5.89396	6.33505	6.13652	6.47627	6.49016	6.16971	6.05766	6.79985	6.94882	6.10659	5.95979	5.77873	5.63749	7.759	5.84875
ackA_b2296_st	13.1905	21.0083	14.9499	136.93	67.7755	21.2052	35.6986	38.2862	15.0994	11.4143	100.577	44.0374	17.898	15.2994	23.5903	116.466	32.7649	47.3385	17.2406	26.0935	24.1713	185.365	23.4807	18.9837
acnA_b1276_st	14.1375	31.089	14.697	13.446	11.3282	13.5341	23.8614	21.3228	36.4141	16.6676	39.6451	12.7918	18.3029	14.5196	13.1397	13.5521	12.3414	9.84672	13.8777	13.35	12.7777	9.54897	28.0155	12.6105
acnB_b0118_st	76.7607	433.101	77.0297	134.967	716.884	189.715	67.6015	82.2765	261.382	104.69	180.119	530.723	122.131	171.8	40.6451	46.9925	103.181	103.995	95.811	23.4308	27.5442	40.0664	417.014	404.172
acpD_b1412_st	10.1638	9.90143	10.0477	12.6981	9.97998	9.97638	9.63026	11.204	13.5052	9.10192	14.2128	8.60845	10.0311	11.5669	10.8717	9.62724	12.2914	10.2548	9.44087	17.7686	12.9762	9.84839	16.3513	14.7999
acpP_b1094_st	637.469	891.654	330.284	1880.79	1675.3	1221.75	908.741	1029.78	605.395	744.279	1466.71	1751.5	1378.77	1557.57	1215.51	835.862	1034.3	725.551	1158.6	1776.78	1747.51	986.634	1848.34	1274.39
acpS_b2563_st	5.66431	10.1444	5.72884	6.13498	5.87517	6.36768	5.62709	5.66001	6.37152	4.55789	5.36546	5.40893	5.70428	5.78022	5.65239	5.25463	5.75965	11.6325	5.4985	13.1925	10.9222	7.86996	7.77298	5.25024
acrA_b0463_st	9.70236	10.3565	7.76357	21.9179	10.6209	10.855	10.5597	13.0996	12.0277	8.74606	15.0708	10.0639	7.59395	10.2492	7.5993	13.7368	9.0225	8.63437	9.88676	9.76239	8.75073	11.5614	9.05115	9.256
acrB_b0462_st	20.2566	23.5241	11.0354	51.1932	62.8474	25.2348	19.835	19.5785	21.2592	15.2524	42.3174	33.0465	10.777	9.49641	11.0623	32.9492	24.8947	19.7326	13.3564	19.5539	22.82	46.2618	23.9119	32.3492
