ID_REF	GSM677582	GSM677583	GSM677584	GSM677585	GSM677586	GSM677587	GSM677588	GSM677589	GSM677590
185177_at	77.0255	187.088	85.3288	133.315	132.47	124.507	137.123	154.225	148.989
185178_at	38.1919	53.2388	43.586	59.8391	40.6528	64.851	45.1412	31.5539	24.705
185179_s_at	1080.66	2113.07	1483.86	1737.52	1676.34	1912.83	1310.85	1564	1699.55
185180_at	81.7758	235.706	128.075	175.798	167.244	189.693	103.839	144.658	177.108
185181_at	null	null	null	null	null	null	null	null	null
185182_s_at	9.72323	25.7028	0.84803	25.352	1.78575	27.5336	13.4817	9.45382	17.4116
185183_s_at	null	null	null	9.41813	null	null	20.9	null	null
185184_at	1591.83	3829.3	2478.75	2720.96	2679.36	3715.14	2430.76	3167.85	3834.47
185185_at	30.6194	92.6867	34.6776	67.0592	41.4565	29.7709	30.8909	25.3299	18.3071
185186_at	8.83941	16.3136	23.4238	18.5489	9.93256	22.3118	10.5556	18.3907	12.5838
185187_at	null	null	null	null	null	null	null	null	null
185188_at	19.7523	24.7387	34.502	38.6365	33.7404	48.5419	27.4599	26.437	26.6634
185189_at	17.8107	65.1633	59.659	35.9049	37.5212	64.6706	47.8931	51.3895	60.8873
185190_at	null	5.07785	4.37626	19.1942	1.9205	2.7619	2.13822	1.31825	1.95836
185191_s_at	3.8714	null	null	null	2.34107	6.37017	null	0.61292	null
185192_at	19.2887	26.304	36.3347	27.1702	12.9163	23.5093	25.6988	14.5387	39.8819
185193_at	34.3431	33.3827	25.3111	37.2491	34.7151	53.308	22.0602	28.1326	38.1988
185194_at	823.714	1737.26	1105.19	1257.12	1251.97	1344.94	1177.46	1280.05	1481.43
185195_at	6.22199	26.8019	30.3514	32.0764	26.9166	22.4777	26.1837	34.6519	19.2568
185196_at	0.83844	14.3774	null	26.472	4.10775	1.5946	5.97858	16.1971	18.3899
185197_at	193.219	381.956	226.644	334.781	311.814	286.873	239.102	224.638	302.957
185198_at	256.045	530.399	301.471	386.198	477.585	453.162	228.886	279.467	270.203
185199_s_at	3.31786	null	null	null	3.73512	7.71992	null	null	null
185200_at	26.5341	17.6924	21.2207	12.9465	14.3041	27.8202	14.4298	22.0498	4.22277
185201_s_at	null	null	null	8.8626	null	null	null	null	null
185202_s_at	284.679	662.982	403.093	450.221	423.413	513.663	361.03	458.568	531.44
185203_s_at	2384.84	5335.85	2915.92	3753.47	3663.38	3750	2704.42	3658.9	3772.61
185204_s_at	571.099	1290.49	701.763	929.089	1052.05	1052.06	741.545	825.387	995.712
185205_at	44.7118	49.9868	46.3032	48.9206	35.9362	48.7285	49.5583	51.7144	101.76
185206_s_at	354.978	725.322	489.58	554.092	542.056	603.727	437.232	517.939	617.916
185207_at	6.77246	18.2679	8.59471	3.00903	3.32011	22.1687	12.061	13.5702	0.37034
185208_s_at	250.306	665.059	389.56	558.877	472.057	460.18	357.5	551.142	524.954
185209_at	7.19356	7.55463	4.82918	16.2331	9.71497	21.1525	null	9.98211	2.87243
185210_s_at	376.204	692.167	450.284	535.244	481.833	524.128	800.629	783.655	727.467
