ID_REF	GSM101230	GSM101231	GSM101232	GSM101233	GSM101234	GSM101235	GSM101236	GSM101237	GSM101238	GSM101239	GSM101240	GSM101241	GSM101242	GSM101243	GSM101244
LAMCG_U_w_at	24.9	57.7	65.9	51.5	80.7	86.1	130.5	79.6	64.3	107.6	64	70.1	174.2	125.8	107.2
LAMCG_V_w_at	170.9	485.5	489.2	402.9	544.3	686.2	333.8	456.4	423.2	572.7	467.7	332.2	322.4	468.2	421.2
LAMCG_W_w_at	59.4	216.8	292.2	162.1	171.6	144.1	56.2	332	76.2	90.2	77.3	100	121.8	95.3	49.3
LAMCG_Z_w_at	18.6	161.7	163.9	65.8	66.8	271.3	51	164.8	78.5	68.5	66.8	65.1	62.6	134.1	133.1
lar_b1348_at	38.4	81.8	71.7	88	64.8	128.6	43	78.8	24.1	92.6	53.4	160.6	90.9	50.9	51.1
lasT_b4403_at	1274.1	915.3	1207.8	1106.3	1323.5	925.3	750.5	775.2	903.2	878.1	540.3	870.4	828.2	607.2	504.5
ldcC_b0186_at	359.2	352	436.6	482.6	455.6	485	841.8	299.6	500.6	385.7	405.7	540.1	465.8	424.4	315.7
ldhA_b1380_at	1987.7	2141.6	2071.3	3154.3	2529.6	1772.5	1458.6	1379.9	1110.3	1804.7	699.6	609.3	458.9	689.8	1130.7
lepA_b2569_at	2497.7	1715.2	2166.5	2057.2	2975.1	2165.1	2994.4	2951.9	3097.1	2674.3	2966.6	2822.2	2806.2	3193.3	3566
lepB_b2568_at	2291.1	1651.4	2008.8	1540.5	2205.8	1671.1	2039	1353.5	1995.1	1337.8	1664.8	2115.4	1467.3	1616.3	2097.8
leuA_b0074_at	177.1	256.8	207.1	308.2	301.4	477.6	286	431.5	293.1	333.5	196.3	584.2	316.8	271.8	241.5
leuB_b0073_at	286.4	330.8	359.6	493.9	310.4	516.8	427.3	519	491.7	369	382.8	597.7	387.1	421.4	454.4
leuC_b0072_at	369.4	667	656.2	708.2	658.8	905.3	402.5	783.9	769.9	655.3	519.2	886.3	503.4	706.1	635.7
leuD_b0071_at	190.5	220.9	176.1	228.2	213	356.1	118.6	223.5	262.9	226	199.7	304	144.3	160.7	211.3
leuL_b0075_at	85.8	133	93.4	113.9	78.4	202.8	80.4	112.2	119	220.4	144.6	259.1	114.8	184.7	171.9
leuO_b0076_at	134.8	162.9	105	111.7	160.9	193.5	157.2	146.7	155	152.2	77.3	146.7	77	170.2	141.6
leuP_b4369_f_at	6962.6	11001.7	8296.6	7846	6091.5	8900.6	4378.6	7470.7	7065.3	8736.4	11141.5	6313.2	8954.8	5709.2	6697.9
leuQ_b4370_s_at	6160.9	10797.9	9576.1	8673.3	5675.5	9114	4865.6	6940.1	8021.7	10078.1	10270.3	6825.8	10436.3	8516.6	6414.7
leuS_b0642_at	4124.7	2617.8	2875.2	2470.2	3217	2436.9	2284.9	2507.8	2621.4	2046.1	3267	3954.7	2599.2	2117.5	2383.2
