ID_REF	GSM1151351	GSM1151352	GSM1151353	GSM1151354	GSM1151355	GSM1151356	GSM1151357	GSM1151358
1415725_at	-0.0171747	-0.0789924	0.0486155	0.0171747	-0.115252	0.0957651	0.225113	-0.0427856
1415726_at	0.0149479	0.0199766	0.02176	-0.126424	-0.0149479	-0.0531139	0.240591	-0.0915327
1415727_at	0.0127754	0.0394592	-0.0135717	0.0348692	0.00912476	-0.00912476	-0.0207777	-0.103171
1415728_at	-0.271918	0.039794	-3.15E-05	-0.0608511	3.15E-05	0.0469856	0.0256987	-0.0193815
1415729_at	0.0356474	0.0287867	-0.00495338	-0.132523	-0.0549898	0.00495338	0.186471	-0.0393858
1415730_at	-0.023447	0.0139198	0.015646	0.100903	-0.0750523	-0.0139198	-0.158034	0.0271263
1415731_at	0.181416	0.00949478	-0.062202	-0.157143	0.0949335	-0.00949478	0.0648398	-0.0231733
1415732_at	7.53E-05	0.112941	-7.53E-05	0.0472631	0.00986099	-0.0722017	-0.445555	-0.0521002
1415733_a_at	-0.0256977	0.026906	0.0563002	-0.0478458	0.0256977	-0.071805	0.059165	-0.0667963
1415734_at	-0.00338459	0.0184307	0.00338459	-0.0490952	-0.0181589	0.100003	-0.0427608	0.00857258
1415735_at	-0.0366945	-0.0298004	-0.202105	0.05371	0.0931349	0.182326	-0.207399	0.0298004
1415736_at	0.0234537	-0.0721922	0.00876331	-0.423996	0.0528069	0.0329189	-0.00876331	-0.0649099
1415737_at	0.0362883	-0.0362883	-0.0866108	0.106772	-0.0891724	0.142619	0.294888	-0.0899668
1415738_at	0.041503	0.00980568	-0.0694351	-0.106024	-0.0452337	0.199946	0.169546	-0.00980568
1415739_at	0.0760593	0.097805	0.10465	-0.0625458	-0.00636196	0.00636196	-0.437201	-0.137475
1415740_at	0.155851	0.110817	0.00505447	-0.190636	0.034296	-0.00505447	-0.0267105	-0.049058
1415741_at	0.0430241	-0.00745487	-0.0609131	-0.164076	0.0375652	-0.00945282	0.144027	0.00745487
1415742_at	0.14706	-0.014761	0.130498	-0.0885601	0.014761	0.0336094	-0.223688	-0.0844703
1415743_at	0.124489	0.00451517	0.00811195	-0.0310144	-0.00451469	-0.0669413	-0.252939	0.0857549
1415744_at	-0.0358515	0.0153913	-0.0153913	-0.0773115	0.0776987	0.0524702	0.222236	-0.106364
1415745_a_at	-0.151103	0.0153093	-0.00303745	-0.24706	0.0849438	-0.0552044	0.113213	0.00303745
1415746_at	-0.0113649	0.030406	0.0123281	-0.0554991	0.0113649	-0.0325432	-0.275514	0.0352945
1415747_s_at	0.0519991	0.0233803	-0.0233803	-0.0749969	-0.0234413	0.0757275	0.0342722	-0.0698833
1415748_a_at	1.00005	-0.103732	1.1383	0.792186	-0.0093441	0.00934458	-0.0555005	-0.0557694
1415749_a_at	0.0525331	-0.0427246	-0.00740719	-0.142379	-0.00227356	0.00227356	0.0910378	0.0920706
1415750_at	-0.000762	0.000762	-0.110417	0.0796742	0.015348	0.0935616	-0.342811	-0.0393095
1415751_at	0.10772	-0.0110397	-0.0152149	0.0115662	-0.0204411	0.0108252	0.00580025	-0.00580025
1415752_at	0.0377083	0.080431	-0.0212116	-0.121288	0.0212116	-0.0742664	0.092021	-0.0251064
1415753_at	0.0478029	0.173023	0.129612	-0.139513	0.0618591	-0.0478029	-0.573146	-0.105745
1415754_at	0.147417	-0.0483379	-0.023509	0.00165272	0.0326986	-0.00165272	0.00523567	-0.0579128
1415755_a_at	0.0180864	-0.000195	0.00886345	-0.0831985	0.0176792	0.000195	-0.416208	-0.0162497
1415756_a_at	0.104845	0.080678	-0.032855	-0.0381699	-0.00602341	0.0441036	0.00602341	-0.110876
1415757_at	-0.0768099	-0.0692921	0.0493469	0.00386906	0.161245	0.0568314	-0.58959	-0.00386906
1415758_at	0.00729179	-0.103157	0.00210476	-0.0713682	0.0291071	-0.00210476	0.183816	-0.0759192
1415759_a_at	0.00185967	-0.0818386	0.0234318	-0.00185967	0.00607872	-0.0165939	0.238168	-0.033802
1415760_s_at	0.0157948	-0.00560093	0.0516624	-0.0316048	0.00560093	-0.00663471	-0.0193844	0.0210304
