ID_REF	GSM102371	GSM102372	GSM102373	GSM102374	GSM102375	GSM102376	GSM102377	GSM102378	GSM102379
AN2436.2_s_at	13633.4	13352.3	14683.5	747.974	606.77	659	11556.1	12677.3	11507.4
AN2435.2_at	12571.9	11438.1	12586.6	609.583	587.446	587.438	9556.61	10452.9	9938.88
AN8979.2_at	270.982	302.887	295.576	30579	28926.7	27079.1	363.663	286.448	242.491
AN1918.2_at	427.555	421.405	331.268	21437.5	21849.2	21561.7	1195.21	1466.21	1119.43
AN5634.2_at	434.639	398.995	376.831	15420.9	15862.7	14652.8	477.605	499.443	458.365
AN8981.2_at	87.4832	103.016	109.869	17425.3	17424.2	19625.4	136.508	114.376	59.6834
AN1160.2_at	3399.08	2951.27	2945.48	702.221	736.213	806.129	13025.4	14556.4	13205.7
AN0554.2_at	4004.3	4013.18	3659.67	32030.3	32019.5	32785.8	10143.4	8572.88	8854.45
AN7287.2_s_at	605.867	592.688	559.962	13479.2	14074.4	14032.7	628.053	505.572	736.082
AN5210.2_at	13550.6	13001.5	11986.6	1755.24	1962.52	1755.37	9146.02	9877.71	10871.7
AN5860.2_at	8493.94	7640.94	8306.29	784.184	677.5	790.824	803.134	890.103	825.395
AN6653.2_at	816.093	845.677	854.598	14960	15403.3	14621.9	996.94	975.119	1023.29
AN8980.2_at	799.71	914.543	783.376	12257.4	12944.3	12996.4	602.123	513.348	974.554
AN8953.2_s_at	13944.5	12009.1	12397.2	617.302	559.842	535.985	616.88	567.825	498.735
AN1059.2_s_at	719.184	652.303	610.856	8219.06	7747.37	7938.11	822.523	927.014	575.879
AN1547.2_s_at	516.006	577.658	541.173	5435.81	5673.77	5461.58	493.987	513.205	756.02
AN2319.2_at	2852.27	2879.36	2654.51	12116.4	11991.2	11985.7	1095.15	1162.82	975.562
AN0941.2_at	7878.27	6611.55	7373.7	306.328	282.496	318.003	2217.63	2530.76	1604.79
AN6279.2_at	823.667	705.415	714.523	7930.93	7494.56	6948.33	909.833	1061.6	849.92
AN5626.2_at	3985.96	3759.73	3662.28	20764.4	19291.4	19507.5	5132.74	5224.74	4133.66
AN7208.2_s_at	1289.39	1064.63	1157.75	9903.36	9727.32	10557.3	1221.99	1134.61	840.577
AN1921.2_at	1493.16	1516.69	1354.86	5765.62	6511.34	6726.14	2195.12	2222.95	2089.44
AN5226.2_at	6382.89	6265.86	5090.9	20624	20863.7	21054.7	5754.62	6029.32	5836.15
AN1396.2_at	2869.91	2617.7	2632.11	1422.8	1401.09	1401.22	6540.52	7677.11	6851.55
AN2981.2_s_at	8193.38	7691.75	7610.58	2567.23	2742.45	2549.84	5401.62	6152.53	5638.68
AN2815.2_s_at	2778.72	2784.18	2398.37	974.162	1054.9	1043.41	4665.24	5524.37	5212
AN0688.2_at	16093.4	16191.7	15610.3	8208.41	8052.02	8236.84	14734.5	14377.5	15025.9
AN5604.2_at	998.911	852.316	821.068	9519.5	9480.66	10404.3	4005.68	4435.38	3396.42
AN1797.2_s_at	3864.54	3665.1	3173.27	518.988	490.178	532.045	2417.87	2210.74	1787.37
AN3079.2_at	586.163	559.033	511.008	1151.81	1155.19	1241.42	4819.09	4647.25	3625.09
AN5525.2_at	11836.1	11294	10688.7	23339.8	22755.2	21362.7	9686.95	11063.6	10405.3
AN6473.2_at	2936.46	2485.08	2516.83	338.938	338.314	329.246	413.9	484.546	346.562
AN6277.2_at	2718.25	2493.05	1950.35	326.464	312.743	328.344	2674.07	3710.29	3131.47
AN5564.2_s_at	5230.06	4944.68	4783.75	5778.63	6163.08	5795.71	1303.81	1495.7	1154.87
AN1993.2_at	8201.99	7994.56	7618.43	20091.2	20298	21123.7	8986.41	10294.5	7907.11
AN8803.2_at	650.771	615.643	466.206	529.893	467.705	473.41	8677.68	13895.4	12169
AN9121.2_s_at	2421.7	2413.06	1920.63	983.034	974.576	993.043	5357.6	5947.06	5835.26
AN4722.2_at	1471.88	1215.05	1178.55	783.441	794.969	784.783	6201.29	6424.91	4938.05
AN6525.2_at	419.699	326.619	293.722	4897.03	5024.57	5324.97	932.462	1244.84	792.548
AN5286.2_at	226.145	250.94	229.829	2336.21	2430.62	2497.45	257.642	221.379	222.889
AN6168.2_at	2076.89	1720.71	1371.01	12008.6	12357.6	12392.6	2775.69	3521.81	2853.29
AN2867.2_at	8041.08	7414.72	7789.64	3708.11	3570.39	3508.18	10064.4	9542.61	8430.42
AN6660.2_at	982.211	988.392	1199.75	241.702	227.931	258.498	9321.53	7308.59	4946.67
AN5444.2_at	4903.52	4075.24	4506.74	485.745	403.668	432.362	6159.65	5212.14	3445.32
AN8978.2_at	214.741	208.773	196.737	2098.82	1965.31	1998.32	455.077	442.511	332.09
AN4394.2_s_at	2212.61	2374.72	1524.34	316.869	318.734	273.808	6164.84	5428.27	4417.59
AN4643.2_at	159.597	166.606	187.976	1007.2	1049.44	965.749	143.88	155.835	167.486
AN7204.2_s_at	2512.67	2132.33	2495.62	3705.34	3734.07	4005.07	635.38	580.772	406.895
AN4575.2_s_at	23711.6	23517.7	23545.9	15665.6	14382.4	15059.8	28099.2	28906.1	30092.5
AN7169.2_s_at	749.808	586.088	489.582	2762.82	3169.56	3214.75	365.988	416.532	587.084
AN7436.2_at	10404	9104.5	9453.76	5783.2	6079.55	5996.72	12921.9	13463.5	12868.2
