ID_REF	GSM105336	GSM105340	GSM105344	GSM105335	GSM105339	GSM105343	GSM105333	GSM105337	GSM105341	GSM105334	GSM105338	GSM105342
10000_at	5.61334	6.09726	5.64338	5.34388	5.26019	5.81942	5.30849	6.37519	4.77944	6.05558	5.11028	4.69153
10001_at	205.456	214.418	209.903	246.86	229.176	229.415	253.193	230.371	244.836	218.034	198.566	213.432
10002_i_at	842.651	873.852	925.152	770.827	884.019	781.868	866.46	964.543	875.185	844.685	695.527	797.227
10003_f_at	3340.7	3407.05	3235.34	3149.98	3173.58	3249.63	3706.23	3798.76	3598.87	3359.09	2898.92	3410.14
10004_at	7.58711	8.76006	6.75337	6.92263	7.22685	6.56759	7.43583	8.20534	7.19447	7.59928	6.3824	6.85204
10005_at	206.787	203.869	196.006	187.352	170.141	187.487	220.374	219.462	216.852	203.844	182.699	205.075
10006_at	84.2352	72.5695	86.8145	78.0326	82.5592	95.5601	105.516	112.602	110.385	91.168	84.0277	93.3329
10007_at	365.324	347.411	317.793	513.023	536.047	544.237	321.979	377.444	335.531	322.618	301.468	319.14
10008_at	24.5697	27.826	25.2013	24.1588	28.7711	22.1196	24.745	26.9119	30.7449	25.7877	22.5798	27.5894
10009_at	31.3365	34.8013	33.0971	34.7572	35.1182	32.0365	30.8014	32.9646	34.1341	32.882	26.8493	31.3001
10010_at	764.822	686.393	608.537	540.666	522.919	508.676	663.112	591.543	583.628	551.408	457.709	570.297
10011_at	11.225	11.1879	9.42755	9.09984	9.56409	9.18012	10.3846	10.9888	10.4881	10.979	6.71879	10.9337
10012_at	50.9388	47.6485	45.5797	92.1569	79.6465	91.5906	58.4608	37.2942	47.362	91.505	61.2641	71.842
10013_at	44.5083	52.4787	45.9535	51.5556	47.717	48.4507	49.534	51.1023	54.6738	44.7204	48.4098	46.3104
10014_at	182.773	186.082	153.864	232.002	227.145	221.133	168.094	147.488	178.067	159.03	138.614	160.228
10015_at	2227.68	2131.58	2086.01	1524.63	1341.09	1445.95	2198.08	2139.84	2069.54	2056.95	1777.73	2060.07
10016_at	496.847	457.381	465.199	536.511	568.635	589.259	511.575	478.435	471.349	526.403	453.183	470.554
10017_at	12.0944	14.7987	13.1569	11.512	11.8951	10.9149	12.0049	12.595	12.2311	12.5986	9.30882	11.5772
10018_at	714.595	805.612	872.874	2573.74	2799.09	2724.08	990.86	1116.29	892.469	1632.36	1622.24	1849.55
10019_at	1781.11	1601.82	1619.34	1429.03	1403.63	1457.43	1625.08	1633.24	1611.78	1531.9	1371.86	1613.38
10020_at	300.28	267.688	262.926	262.339	236.502	254.754	324.267	300.729	313.011	296.952	268.933	292.254
10021_at	41.5834	40.4355	38.798	35.9545	36.4169	34.6478	43.587	40.7362	40.7981	43.1475	35.8226	40.6782
10022_at	8.61892	8.96965	9.2794	6.90436	8.42036	6.56153	7.58162	8.98481	8.94844	8.29185	7.01268	7.39628
10023_at	14.1766	16.2649	11.8319	14.8673	12.6365	11.0367	12.8944	14.4553	16.0227	13.7385	12.4867	15.1857
10024_at	165.646	164.382	163.274	167.197	179.184	166.67	168.217	179.594	170.397	177.864	153.852	157.905
10025_at	27.1856	25.8551	24.2243	20.4143	26.0835	24.039	24.1597	26.3929	26.9452	29.2074	22.6719	26.7773
10026_at	18.9483	22.7673	19.372	16.0673	21.441	21.8095	17.2464	19.7673	18.2277	18.9773	17.921	19.8169
10027_at	14.8787	13.8678	12.1627	12.2508	13.1459	16.9748	12.8397	12.0589	15.9352	12.0586	9.92725	14.6346
10028_at	111.135	114.477	115.625	89.8394	94.1078	98.61	107.664	105.284	122.449	108.598	108.035	107.674
10029_at	106.999	94.8217	93.3642	81.6785	91.644	115.818	112.3	100.913	104.988	112.797	106.777	94.4776
10030_at	63.8107	70.2324	71.1183	66.0068	68.8252	70.5958	68.6454	59.305	71.8477	80.659	72.7617	74.0199
10031_at	237.616	237.382	240.658	204.717	184.395	189.802	264.043	252.679	287.712	261.092	256.097	246.533
10032_at	104.296	102.132	96.027	90.5829	87.2483	86.227	110.992	120.99	103.555	101.33	90.765	114.653
10033_at	27.7487	24.6022	21.7591	24.5985	29.7326	28.7658	30.8336	33.192	32.1104	29.182	27.8684	29.435
10034_at	280.352	275.557	298.594	214.522	221.461	259.659	363.078	376.35	386.501	337.45	333.127	323.247
10035_at	200.486	197.764	203.021	175.944	168.684	183.182	201.708	218.12	205.041	221.35	182.123	195.732
10036_at	76.5565	79.1031	67.9671	60.6573	65.5055	67.0615	63.1016	71.7198	69.4929	76.4411	68.8537	68.4918
10037_at	95.2932	120.041	96.2168	77.5475	105.59	85.2748	87.4031	103.65	99.8763	94.1558	93.4781	103.44
10038_i_at	191.85	185.146	165.844	149.855	167.931	176.009	132.11	139.075	154.692	187.302	164.435	156.182
10039_s_at	29.0653	26.411	29.1295	27.5993	26.9274	28.4025	26.2963	26.0432	25.8225	30.2493	23.556	26.3872
10040_at	29.2672	30.992	28.7674	31.3375	29.8076	30.4517	22.1788	24.8336	22.6264	30.3456	23.4278	32.0678
10041_at	8.19918	9.67115	8.76336	7.81323	8.51525	8.21057	8.45608	9.43946	8.77017	7.7241	8.28537	8.2211
10042_at	14.5823	11.9794	12.896	10.6246	10.8018	12.5741	12.5818	13.3852	12.5137	13.6418	13.8167	11.65
10043_at	62.6571	60.1253	67.9743	77.7872	77.9052	88.164	60.475	57.5249	65.0451	67.0715	64.2494	60.6771
10044_at	211.784	194.711	189.25	186.601	176.164	205.603	251.287	215.144	227.824	259.742	246.453	221.622
10045_at	3374.5	2902.69	3271.3	2617.45	2626.4	2628.43	3259.6	3059.45	3068.77	3032.43	2762.76	2787.77
10046_at	20.1093	18.9677	21.5026	17.7668	17.6232	19.8578	24.9562	25.4752	25.8045	23.9616	23.5564	20.605
10047_f_at	6141.35	6049.62	6283.78	6121.85	6131.9	6282.15	6550.76	6614.61	6387.97	6814.69	6440.03	6323.95
10048_at	69.2829	59.3937	65.1197	66.1677	62.5874	63.3063	72.2453	73.5501	64.6581	75.1767	68.6637	62.5504
10049_at	71.6549	66.1662	67.0472	63.6827	61.5174	65.4981	59.9245	67.0416	72.1781	73.6885	64.1176	65.8926
10050_at	185.868	170.645	180.11	208.197	211.863	173.353	178.066	176.523	151.503	242.943	172.052	195.872
10051_at	757.226	728.955	817.97	622.87	567.031	529.537	827.522	822.811	779.384	846.666	627.966	756.191
10052_at	186.254	168.293	176.168	175.566	178.143	149.442	203.733	205.665	191.782	193.1	174.794	185.582
10053_at	3423.29	3491.46	3382.24	3215.23	3062.55	3358.22	3926.83	3628.29	3836.01	3420.3	3205.8	3435.61
10054_at	636.189	543.191	489.465	458.134	451.873	444.348	520.528	519.073	470.314	491.355	393.871	449.462
10055_at	175.398	158.108	171.301	124.382	114.044	138.766	185.364	160.678	167.579	158.008	146.913	158.073
10056_at	70.9242	67.9926	72.9489	83.7783	86.2672	84.2544	75.7364	73.2335	79.4251	82.3931	88.1706	78.036
10057_at	39.7819	47.378	38.9369	37.8915	35.9846	39.4646	42.242	48.266	45.6168	37.0519	39.2434	42.2246
10058_at	337.973	290.452	302.405	678.46	673.681	722.021	342.272	335.238	334.898	537.499	498.448	440.181
10059_at	458.265	430.893	498.74	635.693	605.592	587.697	461.966	400.311	365.192	558.445	410.791	447.461
10060_at	573.142	446.875	418.613	376.9	376.441	295.658	376.548	327.218	297.095	350.469	297.82	411.676
10061_at	3317.04	3152.24	3249.93	3026.94	3019.15	2923.18	3060.28	3220.25	3148.25	3263.78	2788.82	2980.41
10062_at	155.942	142.735	157.706	166.73	152.644	154.133	159.761	172.561	156.838	169.425	145.418	151.254
10063_i_at	447.559	417.201	469.068	381.45	333.725	349.33	457.359	435.934	497.633	446.863	364.629	444.348
10064_s_at	122.857	116.719	119.916	113.667	119.794	109.399	118.896	131.407	124.162	137.056	107.541	124.159
10065_at	31.8468	26.8554	26.0437	26.5575	31.5946	29.6819	34.6891	35.2641	27.481	35.0463	21.9715	31.1075
10066_s_at	209.59	240.535	206.524	201.025	210.52	224.966	228.961	223.694	220.057	230.042	200.818	211.229
10067_at	66.9644	66.2882	63.7991	62.4973	63.0659	57.0751	71.2053	67.3155	66.8559	65.4432	54.6002	63.6168
10068_i_at	5795	6209.38	5865.24	4465.36	4553.77	4340.11	6584.11	6382.59	6637.55	5640.13	4843.48	6069.42
10069_f_at	3040.77	3323	3152.52	2620.47	2678.03	2471.6	3626.92	3467.59	3475.8	3018.95	2580.36	3238.39
10070_at	45.187	48.5055	39.9379	50.2924	51.8645	55.7556	48.2367	45.3613	43.6788	44.1705	38.5287	45.2158
10071_at	21.3912	22.7156	19.7984	20.3916	19.5118	19.3749	21.5622	22.3231	18.3317	18.2876	18.929	18.4292
10072_at	10.0633	13.3238	9.39923	15.7606	17.9726	14.8012	9.82452	11.6297	9.84085	10.2698	8.75693	10.4345
10073_at	101.613	100.803	95.6897	87.7452	79.6641	84.1795	100.79	101.416	99.1522	97.0023	85.2282	89.4472
10074_at	5.52061	6.88912	5.83494	5.66668	6.06466	5.11382	4.74838	5.7347	6.21001	6.72985	5.84494	5.86308
10075_at	238.276	218.855	201.285	348.023	411.922	381.583	200.748	204.946	202.714	197.422	167.893	199.029
10076_at	60.1151	69.376	57.4314	68.1122	63.169	67.4381	49.4447	47.4342	45.3553	51.4303	47.5188	51.6754
10077_at	82.5027	81.0586	81.89	71.8667	60.6819	77.8179	95.6644	89.755	93.6642	87.7189	78.9078	87.2275
10078_at	51.4436	56.7844	45.6633	47.3998	47.856	46.0344	53.9041	61.785	54.1862	50.6156	43.9027	60.6282
10079_at	12.4737	16.6105	12.0217	12.8839	13.3955	12.009	13.6421	11.3379	11.2242	9.99656	9.11679	13.9847
10080_at	30.3244	34.4341	30.8506	31.1006	28.3989	31.6705	32.2742	33.2136	30.7019	27.5451	30.9162	30.9206
10081_at	41.4342	48.6822	43.9974	43.3313	43.9673	43.0004	44.8928	42.9085	45.5348	38.6032	34.7502	44.1431
10082_at	26.1926	26.8185	25.2721	24.1632	25.0069	20.5248	22.5952	26.2376	24.409	21.5694	20.3979	26.3788
10083_g_at	31.1678	43.6666	32.1168	32.4806	30.5272	29.9236	29.6327	37.1691	34.6338	29.4551	26.677	32.0661
10084_at	57.3074	76.0383	56.4891	63.5219	64.511	55.2784	59.2488	61.4854	60.4487	53.8834	54.2411	67.6954
10085_at	668.365	427.204	547.908	276.169	252.922	250.58	563.194	585.178	603.733	388.208	424.541	388.93
10086_at	65.3657	66.0603	63.2862	64.2391	58.4907	59.0388	64.221	64.922	59.1507	57.8498	55.6272	58.2
10087_at	79.456	77.6682	67.5893	74.6068	65.4488	68.2229	76.5185	76.1623	80.2111	73.0564	61.5049	70.5309
10088_at	218.768	215.851	191.072	240.741	226.001	234.743	215.83	206.444	194.564	194.697	179.731	200.549
10089_at	141.878	134.751	125.148	194.6	189.405	201.614	143.629	132.403	136.255	131.959	123.173	133.949
10090_at	22.7644	21.3612	19.9607	19.7716	20.4512	19.8012	23.3215	22.6525	23.8469	24.1252	20.1212	22.3668
10091_at	261.389	251.95	241.896	220.982	221.371	242.711	300.257	306.857	317.781	267.423	255.058	285.252
10092_at	288.925	261.124	279.437	231.197	221.506	256.945	319.616	312.852	312.729	323.332	250.913	272.618
10093_at	169.278	181.45	150.536	161.61	175.002	161.219	149.457	151.234	154.415	170.108	139.425	154.869
10094_at	76.0157	71.3929	73.4604	74.7169	76.2996	77.5572	66.6268	69.3325	72.5533	83.3294	71.6835	75.7608
10095_at	83.2368	79.6465	71.0119	86.5884	108.037	130.033	84.1968	85.9995	87.388	93.4943	81.6216	75.5465
10096_at	859.288	781.4	806.806	706.731	963.786	939.127	786.237	835.956	900.437	857.895	816.615	789.473
10097_at	8313.71	8383.14	8366.78	5557.45	7874.25	8507.39	8709.88	8596.49	8596.44	8760.14	7746.22	8527.66
10098_at	80.172	77.7809	69.3976	65.8375	89.0393	87.8921	82.0494	77.7032	80.8326	79.7538	77.6547	74.2186
10099_at	109.156	100.725	87.1369	134.829	150.168	146.727	80.6841	82.7694	76.7748	86.5239	86.2186	89.5378
10100_at	67.8943	63.3913	52.0267	90.0345	100.575	101.53	53.1888	45.8138	52.8561	55.7085	57.366	54.6242
10101_at	236.694	209.856	207.855	213.368	202.997	216.487	215.719	209.346	217.225	219.777	198.468	216.925
10102_at	79.6942	73.9135	74.8209	64.0461	60.9533	56.6217	79.2173	88.0924	73.6354	75.2291	69.6736	73.8898
10103_at	90.6561	101.487	82.0564	116.449	130.253	127.365	90.3761	87.6573	87.0653	95.2158	85.8373	88.1127
10104_at	133.704	111.892	124.586	120.818	110.627	115.115	134.643	130.177	136.563	140.478	121.566	130.624
10105_at	21.1492	19.8434	16.9911	22.2476	26.2752	25.341	19.2337	18.3083	19.2152	21.6085	18.0397	16.853
10106_at	267.706	249.581	211.989	225.377	249.212	264.383	269.376	250.478	273.595	280.912	213.235	151.935
10107_at	95.354	87.1316	87.3963	68.7132	79.1071	96.8597	87.1746	101.998	102.51	92.0576	85.8385	91.3447
10108_at	802.384	805.571	830.941	611.464	1064.48	1030.24	852.802	894.878	851.164	865.182	808.483	791.634
10109_at	7.65388	9.30932	11.1153	6.68572	9.4913	9.61325	8.21932	7.24359	8.17083	8.64275	7.31905	9.43194
10110_at	131.816	121.733	109.973	108.779	123.079	109.916	105.078	97.7419	111.458	106.594	107.504	105.067
10111_at	194.288	187.506	200.14	212.389	235.116	224.917	195.615	183.676	227.849	195.414	195.742	190.872
10112_at	333.812	311.72	327.227	272.338	278.804	306.736	320.644	298.622	314.149	339.099	324.485	333.692
10113_at	260.931	237.526	247.336	210.155	207.2	225.381	312.207	300.232	338.154	310.76	326.361	291.217
10114_at	358.68	312.304	384.305	274.431	255.324	329.002	461.136	457.556	487.495	400.031	440.269	362.427
