ID_REF	GSM153907	GSM153909	GSM153911	GSM153913	GSM153915	GSM153908	GSM153910	GSM153912	GSM153914	GSM153916
2942_at	13.3	19.6	12.4	12.6	8.3	24.5	21.3	19.1	19.7	13.9
2943_at	13	9.4	9.6	5.1	9.7	13.9	12.1	10.7	12.5	9.9
2944_g_at	18.2	39.2	20.1	39.3	39.1	25.5	40.7	17.6	35.1	31.6
2945_s_at	14.4	8.4	16.8	17.2	16.9	29.7	20.5	18.1	24.7	18.8
2946_s_at	4.8	8.8	6.4	13.2	4.2	3	12	0.9	5.6	8
2947_s_at	67.5	76.5	39.1	42.3	29.5	54.9	87.2	36.7	43.7	43.5
2948_s_at	65.9	63.3	57	30.5	39.1	45.2	78.4	27.3	42	26
2949_at	5.9	5	0.3	3.4	0.4	4.4	4.8	4.8	0.3	2.2
2950_at	15.4	25	15.7	5.3	1.4	11.7	26.9	5.2	2	6
2951_at	2.4	3.7	0.1	7.3	3.3	2.3	3.4	0.1	0.1	0.2
2952_at	0.3	0.4	5	6.9	0.2	0.6	0.1	0.6	0.1	0.1
2953_at	0.2	0.1	0.2	2.7	0.1	0.1	0.1	0.2	0.2	0.1
2954_at	0.2	0.2	3.4	2.1	0.2	0.3	0.6	0.5	0.2	0.1
2955_at	1.9	0.3	0.6	4.5	0.2	0.3	0.5	0.1	0.2	0.3
2956_g_at	243.9	86.5	137.9	121.2	126.7	170.3	170.9	87.6	63.3	81.9
2957_at	0.4	0.1	1.7	5.9	0.5	0.9	1.3	0.2	0.3	0.3
2958_at	8.5	0.6	6.9	14.7	8.2	5.3	9	3.5	2.4	1.2
2959_at	5.1	3.2	5.9	0.9	7.6	8.7	3.4	5	0.9	1.5
2960_at	6.9	6.4	0.4	4.9	2.9	1.3	8	7.4	3	3.9
2961_at	17.3	8.8	10.4	8.3	14.8	8.6	9.7	11.7	8.8	12.2
2962_at	22.3	18.3	9.2	10.9	10.8	13.7	21.5	15.3	19.8	17.8
2963_at	7.8	10.2	6.4	10.5	10.5	7.4	7.7	7.2	10.4	9
2964_at	47.7	46	19.5	32.2	28.7	21.5	42.8	34.5	39.7	35.1
2965_g_at	31.6	29.9	21.6	22.1	16.4	26.7	26.3	8.9	33.7	32.7
2966_s_at	55	72.6	34.3	46.4	43.9	39.3	67.4	42.1	52.2	67.1
2967_s_at	68.7	148	53.7	85.6	83.3	88.6	128.6	88.6	137.2	136.4
2968_s_at	21.8	38.4	15.8	30.3	14.4	22.8	34.2	25.6	34.2	33.8
2969_s_at	168.1	274.7	142.6	217.2	216.7	207.8	229.9	250.3	266.2	281
2970_s_at	1615.1	2187.9	1706.7	2010.2	2073.3	1436	1468.2	1846.1	1259.7	1317.6
2971_at	18.7	24.6	11.2	12.1	7.7	10	14.5	8.9	3.4	8.5
2972_at	12.9	8.7	1.9	4.3	7	8.4	14.9	5.3	6	5.7
2973_at	6	3.8	0.3	0.5	0.4	1.1	1.4	2.3	2.4	2.2
2974_at	1.2	0.4	0.1	1.6	1.7	0.8	0.6	3.5	3	1
2975_at	9.3	8.8	4.8	5.8	4.7	5	10.1	1	4.3	5.6
2976_at	5.4	4.5	1.6	6.1	5	0.5	5.9	7.2	9.8	3.5
2977_at	12.3	11.1	9	11.3	1.3	2.7	10.1	0.8	9.4	6.9
2978_at	11.1	11.5	3	1.4	4.8	10.8	9.1	0.8	1.3	5.3
2979_at	0.8	0.5	0.7	2.8	0.2	0.4	0.2	1.3	0.5	0.2
2980_at	2.7	2.4	1.1	1.2	2.7	3.1	4.9	3.3	0.2	2.3
2981_at	5.8	0.8	3.2	4.1	0.2	2.1	2.8	0.8	0.2	0.6
2982_at	0.1	0.1	0.5	0.4	2.3	0.5	0.1	0.2	0.2	0.5
2983_at	0.6	0.3	0.1	0.5	0.6	0.5	0.6	0.8	0.7	0.2
2984_at	1.7	7.4	4	0.6	0.4	2.1	5.9	6.9	1.5	4
2985_at	0.7	0.4	0.4	0.5	0.2	0.6	0.3	0.3	0.3	3.6
2986_at	6.4	3.6	1.3	4.1	4.3	0.3	3.1	2.9	9.6	3.5
2987_at	8.3	4	6.8	6.4	6	8.2	7.5	4.8	6.6	4.8
2988_at	1.6	0.4	0.2	0.6	0.6	0.9	0.4	0.5	1.3	0.3
2989_at	6.2	2.7	2.3	0.4	3.2	2.5	7.4	2.2	7.1	2.7
