ID_REF	GSM488119	GSM488121	GSM488123	GSM488125	GSM488127	GSM488129	GSM488111	GSM488113	GSM488115	GSM488117	GSM488131	GSM488120	GSM488122	GSM488124	GSM488126	GSM488128	GSM488130	GSM488112	GSM488114	GSM488116	GSM488118	GSM488132
211347_at	254.198	479.957	62.8606	181.413	627.731	404.993	25.1341	54.0251	293.649	158.663	66.1871	144.757	24.152	189.875	203.266	281.402	112.464	129.074	73.8873	54.0128	46.4474	45.3731
211348_s_at	270.152	440.304	109.207	239.498	416.689	269.439	136.877	91.0956	379.231	149.589	114.907	312.835	145.192	308.877	310.844	277.803	110.277	63.5029	217.1	187.451	96.8813	66.6067
211349_at	4.407	231.591	31.6981	53.1761	441.695	200.727	67.308	69.2525	61.0856	28.2459	61.6973	268.434	11.3142	158.57	42.0051	332.971	13.2289	14.6055	131.292	4.40418	20.3821	10.7278
211350_s_at	9.43846	47.5481	8.94833	9.61224	32.8983	182.53	62.5667	130.422	46.5503	33.2273	36.3495	62.8959	6.76087	44.8816	18.4634	11.6156	16.2045	29.5132	85.5695	12.1145	3.27686	9.91806
211351_at	20.0706	18.2451	2.38544	81.7532	23.0798	232.251	20.4969	10.1254	16.7321	4.34663	3.63402	6.9211	21.7801	9.11969	25.4588	28.1353	10.3383	6.17338	7.13934	28.662	7.68564	1.86385
211352_s_at	14.6031	38.0322	53.1929	21.2792	36.907	28.9167	124.126	7.80944	48.1289	2.04251	67.8064	26.6497	48.7491	218.348	127.419	56.2777	27.4707	55.6206	216.226	43.7469	41.8791	61.5701
211353_at	15.3022	21.4977	5.79206	4.6196	11.5938	27.3953	10.0423	8.81762	14.6578	81.3283	7.7402	14.8748	6.18442	21.6983	51.9064	33.7505	2.71911	3.50113	16.7696	36.9103	2.23456	3.04294
211354_s_at	7.57669	30.7453	48.2993	4.52664	22.4807	168.751	72.5641	6.17644	82.2425	38.0704	39.8257	13.1558	36.7624	61.569	75.5149	9.33348	2.41142	32.8165	31.8703	21.5739	8.62623	21.2667
211355_x_at	4.99369	56.9794	55.6795	50.53	24.3861	23.191	74.9413	96.7239	58.7668	4.11537	68.9641	244.048	39.3037	5.9253	12.0284	17.8213	10.7115	59.6685	25.8673	21.9805	12.6314	29.6929
211356_x_at	31.0955	191.21	68.9923	4.04867	113.89	13.029	9.62298	40.5532	57.4165	37.5223	51.4358	175.441	33.9303	32.5954	136.469	10.5054	18.9329	6.2636	96.3733	24.4732	33.6139	24.6055
