ID_REF	GSM67647	GSM67648	GSM67659	GSM67660	GSM67651	GSM67652	GSM67663	GSM67665	GSM67655	GSM67656	GSM67657	GSM67658
aas_b2836_at	424.2	452.3	363.1	202.6	398.4	375.3	317.9	261.6	603.2	513.3	577.1	509.6
aat_b0885_at	375.9	165.6	188.4	72.7	374.8	277.5	65.3	271.5	383.1	365.4	335.3	279.1
abc_b0199_at	444.8	609.1	575.3	714.8	572.4	539.1	669.7	564	563.1	463.8	435.2	472.2
abrB_b0715_at	47.6	89.5	195.7	178.7	71.9	44.8	181	178.8	143.3	146	147.4	151.5
accA_b0185_at	1263.8	1186	590	830.9	1858.6	1728.2	978.3	758.5	1977.3	1852.9	2397.9	2026
accB_b3255_at	8959	9538.1	9448.2	9072.1	8187.9	8488.8	10058.5	10321.3	4334	4041.5	4270	4214.8
accC_b3256_at	4389.7	4579.8	2236.1	1740.6	3987.7	3836	1780.2	1835.2	3233	3056.7	3131.1	3300.4
accD_b2316_at	2924.7	3069.2	1054.7	597.6	2444	3090.1	973.6	882.7	2378.6	2447.3	2295.3	2545
aceA_b4015_at	1163.3	1166.8	666.6	785.2	1057.4	1193.2	874.5	804.4	487	446.6	407.9	460.8
aceB_b4014_at	990.2	733.4	642.3	573.2	801.1	755.5	638.9	830.4	683	689.7	699.7	725.6
aceE_b0114_at	14180.5	12704.9	18499.7	23529.9	9385.6	6184	19741.6	21039.7	7058.9	6259.4	4339.7	6036.2
aceF_b0115_at	11988.9	10805.1	4542.9	6020.6	6656.6	5697.2	5063.2	5611.1	4519.9	3620.3	2921.7	4067.6
aceK_b4016_at	188.5	220.4	330.5	274.6	254.5	207	341	211.5	145	164.8	155	155.7
ackA_b2296_at	8726.4	8157.6	7148.5	8788.3	3838.3	4447	5197.6	5524.3	7254.4	6931.7	4622.8	5843.2
acnA_b1276_at	132.7	288.4	44	152.7	335.6	265.3	235.2	287.1	224.5	214.1	285.5	275.8
acnB_b0118_at	356.7	296.1	393.9	382	1645.2	1194.2	514.4	587.5	1723.5	1368.2	3140.8	2972.9
acpD_b1412_at	88.5	119.8	73.1	89.4	115.6	101.3	109	82.1	69.8	51.8	132.2	209.9
acpP_b1094_at	19546	19928.2	33884.3	33634.8	20512.1	17114.4	29409.9	31415.7	14349.6	15436.2	15662.4	13715.6
acpS_b2563_at	510.7	616.8	400.8	392.9	787.2	843	510.3	504.4	543.3	524.8	494.8	520.4
acrA_b0463_at	3893.5	3889.1	1302.3	1343.4	2999.6	2245.1	1521.2	1738	1070.7	954.5	995	931
acrB_b0462_at	2416.3	1940.4	799.1	937.8	1677.6	1156.2	868.6	965.7	1844.1	1733.2	1901.2	1651
acrD_b2470_at	168.2	206.2	61.7	49.3	115.2	214.9	56.8	43	177.6	197.8	227.7	214.1
acrE_b3265_at	5.6	9.3	22.3	17.7	10.3	10.7	11.1	15.3	13.1	10.1	15.1	12.4
acrF_b3266_at	10.4	5.7	8.5	7.6	5.1	5.5	6.4	6.6	15.2	10.4	6.9	7
acrR_b0464_at	83.9	105.9	133.6	145.9	123.1	95.6	162.9	206.2	84.2	117.7	100.5	109.1
acs_b4069_at	199.5	191.6	232.5	122	117.1	83.2	32.5	43.8	132.9	168.4	161.2	117.6
ada_b2213_at	183.3	239.6	283.2	328.7	193.7	323.6	404.1	278.1	256.7	279	228.6	246.4
add_b1623_at	470.5	449.6	497.4	513.6	545.1	434.2	360.5	364.7	305.9	366.7	349.9	372.7
adhC_b0356_at	1569.5	1740.2	926.3	927.8	1676.4	1401	848.6	721.9	936.4	709.8	795.1	776.5
adhE_b1241_at	1711	2142.3	1960.9	1623.2	2230.5	2073.7	1753.2	1751.1	1903.6	1898.2	1819.6	1782.7
adhP_b1478_at	263.6	262.6	307.9	291.2	306.1	314	279.7	287.6	453.2	416.1	378.7	465.2
adiA_b4117_at	8	117	88.9	27.7	47.2	51.2	16.2	14.6	51.6	45.6	15.7	61.2
adiY_b4116_at	5.5	43.5	14.1	12.3	29.4	20.3	13.2	44.2	31.8	12.2	8.9	41.8
adk_b0474_at	1726.4	2098.7	3127.3	2562.9	1960.7	1776.9	3102.5	2892.4	1945.4	2067.5	1843.6	2013.7
aefA_b0465_at	868.6	656.5	906.5	1178	640.1	412.2	1138.8	1009.5	373.6	371.8	285.5	390.1
aer_b3072_at	146.4	371.6	231.2	330.1	221.4	270.9	285.3	369.4	244.8	267.9	245.4	251.7
afuC_b0262_at	20.5	94.8	116.9	97.6	137.5	40.7	151.1	135.6	27.6	28.4	51.4	54.4
agaA_b3135_at	221.4	303.1	311.3	235.4	184.1	197.1	146.6	288.7	169.4	146.8	171	124.4
agaB_b3138_at	3.9	3.9	7.9	5.7	2	11.8	4.9	2.6	5.1	4.5	4.9	6.6
agaC_b3139_at	22.5	18.7	50.6	64.2	29.7	22.8	113.3	39.6	29.1	23.4	24.5	25.8
agaD_b3140_at	7	5.3	13.2	11.8	8.9	7.2	20.6	13.7	8.5	8.4	7.2	8.3
agaI_b3141_at	74	159.7	164.7	192.7	109.2	76.4	121.9	146.7	88.2	74.5	95.8	71.6
agaR_b3131_at	404.9	579.8	430	386.4	507.8	484.4	390.4	372.5	1329.3	1143.7	989	1248
agaS_b3136_at	24	8.8	23.8	15.4	71.5	37.5	26.5	27.2	14.3	11.3	15.7	7.4
agaV_b3133_at	30.6	108.8	16	63.1	121.4	52.5	38.5	14.9	67.7	80.5	93.4	72.1
agaW_b3134_at	32.5	44.6	45.2	40.3	55.4	62.6	35.2	35.4	23.3	17.2	19.4	22.5
agaY_b3137_at	17.2	29.3	60.3	28.8	76.4	40.5	26.3	72	25.4	17.9	18.4	26.4
agaZ_b3132_at	58.8	53.9	31.6	147.3	31.9	43.9	55.6	223.5	9.5	7.6	8.9	9.1
agp_b1002_at	368.3	421	242.1	343.3	473.7	536.4	263.1	206.4	356.3	302.9	420	323.4
