ID_REF	GSM86746	GSM86747	GSM86752	GSM86753	GSM86758	GSM86764	GSM86748	GSM86759	GSM86755	GSM86756	GSM86757	GSM86749	GSM86750	GSM86751	GSM86761	GSM86762	GSM86763	GSM86767	GSM86768	GSM86769
3024_g_at	3.217230716	2.350497247	3.336283388	3.485426827	2.321928095	3.137503524	3.070389328	1.432959407	2.432959407	3.459431619	2.847996907	2.608809243	3.62058641	3.247927513	3.419538892	3.689299161	3.472487771	3.070389328	3.5360529	2.744161096
3025_s_at	4.44625623	3.121015401	3.99095486	4.432959407	3.711494907	4.263034406	4.711494907	3.44625623	3.121015401	4.426264755	4.459431619	3.847996907	3.64385619	4.897240426	5.048759312	4.666756592	5.031218731	4.584962501	4.837943242	4.03562391
3026_at	-2.321928095	2.655351829	1.584962501	1.847996907	0.678071905	1.847996907	1.378511623	0.378511623	1	1	1.137503524	2.510961919	2.321928095	0.765534746	-1	2.485426827	-0.152003093	1.722466024	2.070389328	-0.736965594
3027_at	1.887525271	2.5360529	0.137503524	0.378511623	-0.152003093	-0.321928095	0.485426827	1.678071905	1.263034406	0.378511623	1.070389328	2.070389328	2.981852653	0.847996907	0.584962501	1.378511623	1.263034406	1.378511623	1.925999419	1.137503524
3028_at	-0.736965594	-2.321928095	0.485426827	-0.152003093	-2.321928095	-1	-3.321928095	2.070389328	0.137503524	-0.321928095	-3.321928095	-1.736965594	-3.321928095	0	-3.321928095	1.263034406	-2.321928095	-0.514573173	-0.321928095	-1
3029_at	1.432959407	0.263034406	-0.736965594	0.263034406	1	1	1.485426827	2.292781749	-2.321928095	0	0.765534746	1.584962501	1.807354922	1.201633861	0.378511623	0.765534746	0.678071905	0.678071905	-0.321928095	-3.321928095
3030_at	0.584962501	0.137503524	1.722466024	-0.152003093	-1.736965594	0.378511623	0.584962501	1.378511623	0	-0.514573173	1.321928095	0.263034406	0.485426827	0.925999419	2.070389328	1.321928095	1.137503524	2.378511623	0.263034406	0.485426827
3031_at	2.070389328	-0.736965594	2.169925001	2.201633861	0.137503524	1.887525271	2.137503524	2.292781749	1.201633861	2.584962501	1.070389328	3.350497247	3.5360529	1.432959407	1.678071905	2.887525271	2.632268215	3.217230716	2.722466024	1.887525271
3032_at	2.263034406	2.10433666	2.232660757	1.722466024	1.321928095	1.584962501	1	0.378511623	1.5360529	2.432959407	-1.321928095	2.632268215	1.925999419	0.847996907	1.678071905	2.807354922	1.807354922	2.584962501	3.307428525	1.263034406
3033_s_at	3.121015401	2.867896464	3.137503524	3.64385619	3.153805336	3.419538892	3.121015401	3.121015401	2.10433666	3.5360529	2.137503524	3.584962501	3.95419631	3.247927513	3.935459748	3.847996907	3.632268215	4.10433666	3.596935142	3.017921908
3034_at	1.925999419	1.137503524	-1	1.807354922	0.765534746	0.765534746	0.378511623	0.678071905	-1.321928095	1.378511623	2.137503524	2.485426827	-0.321928095	0.137503524	2.378511623	0.678071905	1.765534746	3.053111336	-0.321928095	1.807354922
3035_at	0.678071905	2.5360529	2.03562391	2.10433666	2.906890596	1.807354922	2.292781749	2.722466024	1.722466024	2.608809243	1.5360529	2.350497247	1.201633861	2.201633861	2.655351829	3.070389328	2.608809243	4.217230716	2.510961919	2.5360529
3036_at	1.432959407	2.201633861	1.807354922	2.321928095	1.070389328	3	2.137503524	2.807354922	1.137503524	2.232660757	2.137503524	2.744161096	2.700439718	2.722466024	2.786596362	3.247927513	2.510961919	2.722466024	2.201633861	2.263034406
3037_at	-0.321928095	-0.152003093	0.263034406	-1.736965594	-1	-0.152003093	-1.321928095	1.847996907	-3.321928095	1.263034406	-1.321928095	-1.736965594	0.378511623	-1	-1.736965594	2.485426827	1.321928095	2.292781749	-0.514573173	-2.321928095
3038_at	2.700439718	2.137503524	1.765534746	1.765534746	1.584962501	1.201633861	2.070389328	1.432959407	-0.514573173	1.765534746	1.722466024	2.137503524	2.169925001	1.847996907	2.350497247	2.906890596	2.137503524	2.321928095	2	0.678071905
3039_s_at	4.770829046	4.504620392	5.318316841	5.426264755	5.197708158	4.897240426	4.744161096	4.392317423	5.070389328	5.614709844	4.478971805	4.683696454	4.694880193	4.277984747	3.935459748	4.560714954	3.817623258	3.733354341	4.336283388	3
3040_at	3.776103988	1.963474124	2.765534746	3.40599236	3.87774425	3.03562391	3.485426827	3.797012978	2.459431619	2.584962501	3.44625623	3.887525271	3.776103988	3.378511623	3.03562391	3.321928095	3.419538892	3.350497247	3.185866545	3.277984747
3041_at	2.632268215	0.378511623	1.5360529	-0.321928095	2.722466024	2.070389328	3.10433666	2.722466024	-1.321928095	2.40599236	2.432959407	0.263034406	0.678071905	2.03562391	0.485426827	2.432959407	0.765534746	1.070389328	2.722466024	2.5360529
3042_at	0.485426827	2.169925001	2	2.263034406	2.744161096	2.03562391	2.459431619	2.03562391	1.887525271	1.963474124	0	0.378511623	2.485426827	2.608809243	1.485426827	3.217230716	2.867896464	2.201633861	2.485426827	1.807354922
3043_at	1.847996907	2.263034406	1.765534746	2.292781749	1.847996907	1.963474124	0.678071905	-1.736965594	0.925999419	1.925999419	-1.321928095	0	1.432959407	0.765534746	-0.514573173	2.292781749	-1.321928095	1.485426827	0.847996907	0.378511623
3044_at	-1.321928095	-1	0.485426827	0.378511623	0.925999419	0.847996907	1.722466024	2.263034406	-0.152003093	0.263034406	0.765534746	-1.736965594	0.765534746	0.925999419	0.378511623	1.925999419	1.632268215	2.655351829	1.963474124	0.378511623
3045_s_at	4.99095486	5.078951341	5.412781525	5.375039431	4.602884409	5.714245518	4.44625623	5.491853096	4.867896464	4.995484519	3.897240426	4.995484519	4.958842675	4.247927513	5.169925001	4.754887502	5.031218731	5.121015401	6.285402219	5.040015679
3046_at	4.87282876	5.017921908	5.465974465	5.501439145	5.022367813	4.911691582	5.368069877	5.074676686	5.346956889	5.091699834	5.074676686	5.357552005	5.108524457	5.161887682	4.867896464	3.906890596	5.070389328	4.357552005	5.572889668	4.95419631
3047_at	2.510961919	2.632268215	2.744161096	2.807354922	2.10433666	0.678071905	2.485426827	2.137503524	2.906890596	2.655351829	0.137503524	2.263034406	2.867896464	2.350497247	1.722466024	2.632268215	2.655351829	2.070389328	2.459431619	2.786596362
3048_at	0.925999419	2.459431619	1.847996907	0.485426827	0.678071905	0.765534746	-2.321928095	2.321928095	0.137503524	1.963474124	0	2.510961919	3.232660757	-1.321928095	0.847996907	2.137503524	1.632268215	2.608809243	-2.321928095	0.925999419
3049_at	0.847996907	2.263034406	1.263034406	1.321928095	0	1.807354922	-3.321928095	-1.736965594	0.584962501	1.378511623	-0.321928095	-0.152003093	2.03562391	-1.736965594	-2.321928095	0.678071905	-1.736965594	0.378511623	-0.514573173	-3.321928095
3050_at	2.632268215	1.847996907	2.847996907	2.40599236	1	2.485426827	1.925999419	2.632268215	2.584962501	3.03562391	1.847996907	3.017921908	2.906890596	0.678071905	1.485426827	2.786596362	2.827819025	2.5360529	1.263034406	2.350497247
3051_at	3.232660757	2.632268215	2.378511623	2.070389328	-0.321928095	2.807354922	1.847996907	2.03562391	1.321928095	2.169925001	1.722466024	1.887525271	2.700439718	2.070389328	2.5360529	2.678071905	1.807354922	2.292781749	2.137503524	0.925999419
3052_at	-1.736965594	-2.321928095	2.432959407	0.925999419	-2.321928095	0.137503524	0.378511623	-0.321928095	0.765534746	2.10433666	1.887525271	2.632268215	2	1.321928095	2.350497247	2.786596362	3.584962501	2.378511623	1.321928095	-1.321928095
3053_at	2.292781749	1.807354922	0.137503524	0.678071905	-2.321928095	1.925999419	0	1.321928095	0.925999419	-0.152003093	0.925999419	-0.152003093	1.722466024	0.584962501	0.765534746	0.485426827	1.765534746	0	0.263034406	0.378511623
3054_at	-1.321928095	2.722466024	1.485426827	1.432959407	0.678071905	2.887525271	-1.321928095	2.070389328	1.137503524	-0.152003093	-1.736965594	1.847996907	2.786596362	-1.736965594	-1.736965594	1.432959407	-1.736965594	1.584962501	-0.152003093	-0.736965594
3055_g_at	0.263034406	-0.736965594	2.070389328	2.10433666	-2.321928095	2.807354922	1.263034406	1.5360529	1.137503524	2.744161096	-0.152003093	-0.152003093	2.887525271	2.10433666	1.632268215	-1.321928095	-1.736965594	2.263034406	2.321928095	2.378511623
3056_s_at	3.153805336	2.584962501	2.40599236	2.560714954	1.847996907	3.263034406	1.584962501	2.655351829	2.137503524	2.700439718	-0.152003093	3.087462841	2.867896464	1.847996907	0.847996907	1.432959407	0.137503524	2.827819025	1.765534746	0.263034406
3057_s_at	4.99095486	2.867896464	4.711494907	4.94016675	3.560714954	5.040015679	3.87774425	2	4.044394119	5.189824559	3.169925001	2.887525271	4.485426827	3.666756592	4.459431619	4.832890014	4.371558863	4.626439137	5.137503524	2.700439718
3058_s_at	4.722466024	3.350497247	5.240314329	5.442943496	4.439623138	5.614709844	4.465974465	3.857980995	4.307428525	5.545350645	4.491853096	4.026800059	3.972692654	4.412781525	5.617651119	5.185866545	5.087462841	5.070389328	5.744161096	4.232660757
3059_at	1.5360529	-2.321928095	0.137503524	0.678071905	1.201633861	-1	1.485426827	1.807354922	-1.736965594	1.5360529	0.765534746	2.40599236	2.744161096	-0.321928095	1.678071905	0	2.584962501	-1.736965594	-1	1.321928095
3060_at	2.632268215	2	2.201633861	2.459431619	1.963474124	2	2.485426827	2.169925001	0	2.378511623	2.321928095	1.5360529	3.40599236	2.459431619	2.10433666	2.744161096	2.847996907	2.608809243	3.03562391	0.584962501
3061_at	-3.321928095	-0.736965594	-2.321928095	-1	-1.736965594	-1.321928095	-3.321928095	-1.736965594	-1.736965594	-1.321928095	-3.321928095	-2.321928095	0.765534746	-2.321928095	-3.321928095	2.378511623	-3.321928095	-1.321928095	-1.321928095	-2.321928095
3062_at	2	2.137503524	0.847996907	0	0	0	-1.736965594	1.321928095	-2.321928095	-1.321928095	0.137503524	1.321928095	2.292781749	1.432959407	-0.321928095	1.201633861	1.137503524	1.378511623	1.263034406	0
