ID_REF	GSM29912	GSM29914	GSM29917	GSM29920	GSM29921	GSM29922	GSM29924	GSM29926	GSM29927	GSM29929	GSM29930	GSM29932	GSM29934	GSM29936	GSM29937	GSM29939	GSM29940	GSM29942	GSM29943	GSM29945	GSM29946	GSM29948	GSM29949	GSM29951
10000_at	-1	-2.321928095	1.321928095	1.070389328	-0.321928095	2.201633861	1.925999419	-1.736965594	1.263034406	1.722466024	-0.321928095	-1	2.485426827	0.137503524	1.201633861	1.963474124	1.321928095	-0.321928095	2.40599236	2.201633861	2.887525271	1.137503524	2.232660757	1.887525271
10001_at	6.974988112	6.871597266	6.464341533	6.394033895	6.226893814	6.708739041	6.201633861	6.499845887	6.046578367	7.100136671	7.205548911	7.378511623	6.846744023	6.189824559	6.769507291	6.752213368	6.936637939	6.626439137	6.768184325	6.897240426	6.745506266	7.092757141	7.107478647	7
10002_i_at	8.984133595	9.285864547	8.960001932	8.968090752	9.267254872	9.133912814	8.897845456	8.790185563	9.154818109	9.406630203	9.25313837	9.126446365	9.653561662	9.579693063	9.690172621	9.510566389	8.626804145	9.164152708	9.413627929	9.507001733	9.399811959	9.215290306	8.631177056	9.20701432
10003_f_at	10.67154107	10.63689646	10.68816287	10.74508603	10.68115055	10.62853667	10.50769555	10.55430105	10.656693	10.91288934	10.67189484	10.76702573	10.9582627	11.63585413	10.94112099	10.70640968	10.63008507	11.12146876	10.79441587	10.72101372	10.47218312	10.89026428	10.60640521	10.76263119
10004_at	1.137503524	-0.736965594	1.765534746	-0.736965594	-0.152003093	0.765534746	-1	0.925999419	1.321928095	2.40599236	-1	-2.321928095	-1	-1	-2.321928095	0.137503524	-0.736965594	1.925999419	-1.321928095	-1	0	-0.736965594	-1	-1.736965594
10005_at	6.752213368	6.525129251	6.427941333	7.259272487	6.911691582	7.167919866	7.06501215	6.622051819	6.915281866	6.714245518	6.758889433	6.984133595	6.722466024	6.147713722	6.773468928	6.925999419	7.330916878	7.04220656	6.831623937	6.731997787	6.951867504	6.978424465	7.081083929	6.590961241
10006_at	4.776103988	5.388878339	5.074676686	5.797012978	6.145677455	5.652486495	5.867896464	5.797012978	5.475733431	5.686500527	5.638073837	5.697662633	4.781359714	3.459431619	4.99095486	6.171927354	6.223036338	5.452858965	5.40599236	5.442943496	5.551516018	5.375039431	5.472487771	5.87036472
10007_at	6.011227255	5.947198584	5.672425342	7.598424761	6.911691582	6.977279923	6.414473836	7.067165427	8.022367813	6.6794801	6.40599236	6.268658955	5.995484519	5.449561375	6.274261661	6.6043679	6.777419716	6.815063017	6.587964989	5.596935142	6.385431037	7.54225805	7.514911265	6.881419908
10008_at	1	-1	0.765534746	-1	-0.152003093	1.485426827	3.472487771	-0.152003093	3	0.378511623	1.807354922	-0.321928095	1.765534746	-0.321928095	-0.736965594	0.925999419	1.432959407	2.678071905	2.981852653	0.137503524	3.666756592	1.137503524	0.378511623	0.378511623
10009_at	2.827819025	3	3.523561956	2.786596362	2.560714954	3.572889668	1.5360529	2.201633861	2.5360529	4.385431037	3.632268215	4	3.40599236	2.632268215	3.392317423	2.786596362	2.765534746	3.64385619	4.472487771	4.044394119	4.472487771	4.584962501	4.887525271	3.733354341
10010_at	10.37395266	10.24436384	10.27577532	9.809768129	9.793603309	9.780047576	9.780867802	9.940900834	9.940460429	10.07734983	9.962751439	9.988258631	9.52767248	9.41806342	9.876977308	8.706668682	8.531771325	8.622051819	8.519636253	8.695228291	8.416164165	8.422905743	8.692441147	8.553053253
10011_at	3.584962501	4.153805336	3.897240426	1.765534746	2.510961919	3.185866545	0.263034406	2.867896464	4.329123596	2.981852653	1.5360529	2.232660757	2.292781749	0.847996907	2	2.632268215	3.053111336	2.786596362	2.887525271	1.765534746	3.510961919	2.070389328	1.887525271	2.722466024
10012_at	6.139551352	7.246027981	7.100136671	6.368069877	6.559185866	6.177917792	6.725195817	6.978424465	6.499845887	6.343407822	6.272396509	6.068240861	5.914086097	4.523561956	6.246027981	7.332707934	7.069315495	7.090641752	7.298291731	7.732676223	6.817623258	6.749534268	6.836681593	6.960001932
10013_at	6.323730338	5.961160258	6.434628228	6.503030646	6.343407822	6.493455201	5.572889668	5.725195817	5.557655155	6.45779126	6.528258743	6.482202926	5.933100475	5.412781525	5.501439145	6.50779464	6.590961241	6.404290064	6.221103725	6.490249211	6.338067798	6.447909749	6.417852515	6.394033895
10014_at	7.183883459	7.512542955	7.05202456	9.067434361	8.34739991	8.605849867	7.142617655	6.963474124	7.92659251	7.713558356	7.521207816	7.613236955	6.28169825	6.026800059	5.840463234	8.140062856	8.158357226	8.025139562	6.437960088	6.161887682	6.528258743	6.648177796	6.930737338	6.292781749
10015_at	9.193771743	9.010667963	9.013741392	9.597493929	9.406842755	9.588339861	9.701826258	9.930441673	9.906890596	9.993787563	9.785942819	9.92421868	9.548821908	9.844705764	9.681062677	9.604923816	9.547280156	9.636080789	10.2837829	10.32271685	10.15583017	10.26268214	9.856892345	10.13545278
10016_at	7.675251386	7.803485376	7.403438163	8.342074668	8.654277995	8.427522371	8.1017131	7.827183896	7.89056829	9.111918114	9.199426968	9.123086751	8.605479518	7.996614715	8.75788999	8.843921051	8.658925511	8.511752654	8.844234988	8.946906274	8.940460429	9.443150765	9.36435356	9.316734071
10017_at	0	0.485426827	0.137503524	-0.514573173	-0.321928095	0.584962501	2.847996907	2.03562391	2.263034406	1.5360529	0.263034406	1.584962501	2.485426827	2	0.485426827	0.485426827	0.263034406	0.847996907	1.963474124	2.201633861	3.786596362	0.847996907	-0.736965594	0.925999419
10018_at	11.17142703	11.51840728	11.41948622	11.47699929	11.43201985	11.42169668	11.20561	11.21377254	11.58735561	11.87885559	11.62994851	11.72689932	11.46357546	12.34429591	11.66959375	11.60381177	11.09341756	11.8362871	11.49675393	11.25012074	11.24869848	11.88164933	11.52459069	11.74184615
10019_at	10.36238222	10.22785657	10.23254085	10.2577414	9.880042633	9.896332404	9.944858446	10.15177765	10.20823436	9.996190995	9.856736756	10.19942697	9.974271174	9.927333532	9.647098607	9.173177415	9.309248961	9.090641752	9.485829309	9.375473913	9.168672118	8.330020516	8.325530332	8.719046504
10020_at	6.06608919	6.242221395	5.733354341	6.918863237	6.749534268	6.470862199	6.789207575	6.762880293	6.94016675	6.098032083	6.031218731	6.263034406	6.165911939	5.137503524	5.916476644	6.73470962	7.087462841	6.653919873	6.562242424	6.131342539	6.462706751	6.201633861	6.167919866	6.081083929
10021_at	5.157852169	5.274261661	4.94016675	5.773468928	6.469234794	6.14363831	6.17990909	5.807354922	5.857980995	5.43629512	5.321928095	5.686500527	5.259272487	3.632268215	4.66106548	6.456149035	6.451211112	5.692092375	6.411087227	6.378511623	6.161887682	5.686500527	5.809928866	5.830356747
10022_at	5.053111336	4.786596362	4.240314329	1.485426827	3.121015401	3.201633861	1.807354922	2.10433666	3.485426827	-1.736965594	-2.321928095	-1.736965594	6.078951341	5.06608919	5.09592442	5.949534933	5.638073837	5.181897643	6.76420813	6.772149591	6.830356747	5.100136671	5.452858965	5.669593751
10023_at	3.292781749	2.137503524	3.711494907	-0.321928095	-0.152003093	-0.514573173	1.070389328	0	-1	-1	0.137503524	-0.152003093	3.678071905	2.03562391	2.510961919	0.137503524	-0.152003093	-0.321928095	5.129283017	3.64385619	4.392317423	1	2.070389328	-0.514573173
10024_at	6.727920455	6.312882955	6.329123596	7.244125943	7.269594252	7.165911939	7.191799501	6.824004051	6.596935142	6.874059203	7.141596278	7.231701199	6.246027981	5.375039431	6.070389328	7.253611152	7.260213887	6.596935142	6.465974465	6.407692649	6.431288654	6.6395216	6.741466986	6.749534268
10025_at	4.99095486	4.949534933	4.523561956	5.354028938	5.213347282	4.797012978	5.112700133	5.100136671	5	5.129283017	5.165911939	5.125155131	4.112700133	2.03562391	4.897240426	5.112700133	4.852997588	4.887525271	4.776103988	3.99095486	5.053111336	4.867896464	4.791814071	5.09592442
10026_at	5.887525271	5.599912842	5.875288598	5.378511623	4.807354922	4.822730148	4.602884409	4.517275693	4.145677455	4.977279923	5.153805336	5.053111336	1	0.847996907	3.321928095	4.921245889	4.716990894	2.03562391	2.722466024	3.137503524	1.807354922	3.087462841	2.722466024	3.485426827
10027_at	8.141596278	8.147713722	8.236970886	7.638073837	7.17990909	7.45779126	5.705977902	6.01346226	6.371558863	6.883865155	6.97384084	7.023477152	5.694880193	3.837943242	3.99095486	6.885086225	6.078951341	5.847996907	4.892391026	4.738767837	5.303780748	4.614709844	5.572889668	5.329123596
10028_at	5.66106548	5.9795681	5.364572432	6.215290306	5.786596362	5.560714954	5.773468928	6.659639187	6.48864354	6.046578367	5.930737338	5.626439137	5.820178962	4.822730148	5.364572432	6.437960088	5.730639956	6.244125943	6.189824559	6.121015401	6.493455201	6.114783447	6.221103725	6.247927513
10029_at	5.770829046	5.727920455	5.442943496	6.346956889	6.017921908	6.272396509	6.022367813	6.371558863	5.678071905	6.58345891	6.257387843	6.257387843	5.663913842	4.09592442	5.711494907	5.804776378	5.510961919	5.285402219	4.911691582	5.247927513	5.129283017	5.708739041	5.94016675	6.362820526
10030_at	4.044394119	4.977279923	4.145677455	5.197708158	4.689299161	4.638073837	3	5.563768278	6.272396509	5.087462841	4.655351829	4.842978832	4.177917792	1.887525271	3.700439718	5.343407822	3.887525271	3.944858446	5.263034406	5.061776198	4.827819025	5.472487771	5.885086225	5.599912842
10031_at	5.83541884	6.896029603	5.757556689	6.236492618	6.633721813	6.483815777	7.253611152	7.054197294	8.016251155	7.112700133	6.930737338	7.153805336	6.181897643	4.867896464	6.037821465	6.741466986	7.175923742	6.296457407	6.656782364	6.653919873	6.887525271	6.334496768	6.888743249	6.183883459
10032_at	6.419538892	5.804776378	6.135452784	6.58044702	6.671010241	6.230741003	6.118941073	5.933100475	5.697662633	6.251719093	6.361066489	6.665335917	6.167919866	5.409390936	5.346956889	6.537606691	6.703211467	6.366322214	5.909293086	5.791814071	6.070389328	6.141596278	6.255500733	6.314696526
