ID_REF	GSM45194	GSM45279	GSM45281	GSM75830	GSM75831	GSM75832	GSM45282	GSM45283	GSM45284
2278_at	14.2	18.4	17.4	11.3	21.6	15	20	15.6	14.6
2279_g_at	36	132.1	49.8	13.6	85.8	31.8	49.3	57.7	36.8
2280_s_at	111.4	310.3	79.1	72.1	197.5	30.6	93.9	119.9	112.9
2281_s_at	49.5	222.7	41.6	61.2	81.5	18.1	143.3	72.2	140
2282_s_at	263.9	416.5	90.7	109.1	370.3	29.7	180.9	272.7	213.6
2283_s_at	112.5	216.3	101.2	107.1	240.3	78.3	151.4	150.3	181.1
2284_at	28.3	19	9	15.1	10.2	2	41.7	19.1	15.8
2285_at	3.1	12.8	25.2	4.6	8.8	1.5	23.5	12.8	9.9
2286_at	6.5	6.1	4.3	34.6	0.3	2.7	14	0.7	7.2
2287_at	138.8	58.6	72.5	99.1	83.3	27.1	76.3	112.1	81.5
2288_at	64.7	33.7	21.7	52.9	36.6	29.1	48.4	46.4	22.8
2289_at	92.4	38.3	25.6	113.6	66.6	156.3	85	134	51.5
2290_at	56.8	29.8	42.1	54.6	50.8	37.8	49.2	34.6	47.5
2291_g_at	391.4	333.9	169.9	298.1	120	78.6	214.8	257.1	73.2
2294_f_at	910.3	539.4	991.3	1735.2	191.5	1020.9	187.1	388.2	48.5
2295_at	25.7	19.5	21.2	25.8	4.6	14.2	5	15.4	8.5
2296_at	10.7	14.7	15.8	15.1	3.9	0.5	7.2	16.6	5.9
2297_at	84.3	29	41.3	35.3	0.3	0.6	17.7	12.1	8.1
2298_at	99.7	78.7	100.2	54.2	23.4	16.2	74.3	48.9	28.4
2299_at	46.8	23.2	28.5	18.6	3.5	15.6	16.7	12.9	7.7
2300_at	98.2	46.2	84.9	74.3	86.5	44.4	75.5	95.6	109.3
2301_at	123.4	44.2	38.3	87.6	93.9	60.7	128	86.4	72.2
2302_at	36.4	0.7	22.9	50.5	15.4	12.1	13.4	11	20.3
2303_f_at	58.7	13.7	43.5	62.8	15.9	8.5	16.4	32.8	20.3
2306_at	45.3	25.5	29.6	23.6	33.7	36.4	48.8	24.4	50.7
2307_at	41.9	16.8	18.7	11.6	25.9	94.6	71.9	21.4	62.5
2308_at	5.5	3.4	2.8	47.3	3.5	10.5	14.2	14.8	3.6
2309_at	30.9	37	15.8	40.1	14.8	12.5	20.2	19.5	14.7
2310_at	0.2	0.5	21.2	1	0.5	6.2	1.9	1.8	1.4
2311_at	26.4	14.2	18.7	18.5	3.1	7.6	13	17.6	5.2
2312_at	23.6	22.6	17.3	3.2	11.6	3.5	12.4	11.2	15.5
2313_at	63.8	73.1	28.6	41.7	27.3	4.1	38.7	41.3	26.3
2314_at	202.6	121.8	106.1	57.5	56.2	71.7	58	112.2	49.4
2315_at	33.5	37.7	30.4	56.3	9.6	13.2	19.9	20.2	9.5
2316_at	29.1	4.8	13.5	40.1	13.1	15.2	44	24.7	28.9
2317_at	45.8	20.7	29.2	105.5	81.6	36.9	70	87.4	64.7
2319_f_at	2.9	3.6	14.2	40.5	7.7	0.4	19.6	3.7	7
