ID_REF	GSM254768	GSM254769	GSM254770	GSM254771	GSM254772	GSM254773
3485_at	1.137503524	3.906890596	0.765534746	0.678071905	-0.152003093	1.632268215
3486_at	4.044394119	0.584962501	1.321928095	3.419538892	-0.736965594	1.201633861
3487_g_at	2.678071905	4.078951341	0.584962501	1.321928095	1	1.070389328
3488_at	1.925999419	2.963474124	0.847996907	2.678071905	2.292781749	3.153805336
3489_f_at	3.419538892	-0.152003093	2.584962501	1.378511623	-1.321928095	1.432959407
3490_f_at	3.5360529	2.963474124	-1	3.378511623	1.137503524	2.350497247
3491_f_at	8.47045552	8.821773982	8.890264277	9.229780167	10.04042672	10.02804418
3492_f_at	7.005624549	7.098032083	7.29186137	7.227856573	6.646738698	6.757556689
3493_f_at	10.27717114	10.14758654	10.1494931	10.09473751	10.17990909	10.17280251
3494_f_at	10.52130598	10.6415099	10.63181367	10.18140076	10.73521752	10.57865573
3495_f_at	4.832890014	4.666756592	4.336283388	5.669593751	6.098032083	5.9795681
3496_f_at	10.91901227	11.11406765	11.02756048	10.84697902	10.9918761	10.83912504
3497_f_at	12.05463823	12.29079645	11.89003623	11.89500718	11.95135758	12.06477644
3498_f_at	12.17148958	12.12405667	11.71179601	11.73690924	11.92016674	11.88756335
3499_f_at	11.17903824	11.1494931	10.96202839	10.70744542	10.96938652	10.72681419
3500_f_at	2.5360529	0.678071905	1.765534746	1.263034406	-1.736965594	-1.321928095
3501_f_at	9.739611864	9.996614715	9.72877085	9.815703503	9.758223215	9.674721924
3502_f_at	12.26124284	12.82569422	12.45758608	12.19497226	12.53398668	12.6235386
3503_f_at	10.27076252	10.63381261	10.28193003	9.346513733	10.09222858	10.2632692
3504_f_at	9.550554413	9.71630504	9.611946942	9.501638179	9.409390936	9.409603082
3505_s_at	4.314696526	5.141596278	4.498250868	4.847996907	4.638073837	5.09592442
3506_s_at	6.981852653	7.608069968	7.6794801	7.263973355	7.783325685	7.6794801
3507_at	2.887525271	4.321928095	3.169925001	4.153805336	3.419538892	3.232660757
3508_f_at	7.21042783	7.653203362	7.36018867	8.059614856	8.229780167	8.153298683
3509_f_at	8.520029304	8.828136484	8.310158318	8.431706524	8.992371907	8.806710718
3510_s_at	5.426264755	4.963474124	5.277984747	5.862947248	6.059614856	5.995484519
3511_f_at	11.51086305	11.35870614	11.15646235	11.18963927	11.27769423	11.28534442
3512_f_at	12.22460468	12.05046088	12.0104232	11.81322003	11.78410314	11.93081124
3513_f_at	11.66981517	11.39317591	11.02132703	11.13980713	11.35689208	11.36156003
3514_f_at	7.045486656	6.197708158	6.485426827	7.466790238	8.056908618	8.023477152
3515_at	6.727920455	6.498250868	6.223036338	7.002252452	7.841721581	8.087993146
3516_f_at	11.54220968	10.95485061	10.89163183	10.70381708	11.03232129	10.80178918
3517_f_at	12.30728621	12.00821851	11.81289927	11.73466729	11.92146906	11.99389368
3518_f_at	11.62420144	11.32530546	10.92755576	10.79612075	10.85922416	10.85455675
3519_f_at	-1	-0.736965594	-1.321928095	3.185866545	2.887525271	-0.514573173
3520_s_at	5.730639956	5.680886921	5.432959407	6.655351829	6.935459748	6.909293086
3521_i_at	3.459431619	-0.736965594	-1	0.263034406	1.722466024	0.847996907
3522_f_at	4.584962501	4.749534268	3.44625623	4.765534746	2.963474124	4.371558863
3523_at	4.053111336	4.329123596	3.378511623	4.504620392	2.321928095	2.632268215
3524_f_at	10.64069684	10.65167959	10.39499851	10.3687247	10.10066234	10.26221232
3525_f_at	12.56460205	12.46017429	12.02904561	12.15652555	12.04285634	11.88291047
3526_f_at	12.50233458	12.25880156	11.90655242	11.89003623	12.02863131	12.17377081
3527_f_at	11.41426241	11.16018658	10.87398233	10.71415964	11.02756048	10.80598564
3528_f_at	11.56757587	11.30201053	11.02541644	10.87313647	11.11556392	10.88317785
3529_f_at	13.85276357	13.68565769	13.19406427	13.28097371	13.29194768	13.16456129
3530_f_at	11.58613609	11.39858338	10.88065492	10.76321237	11.15107998	10.92948034
3531_at	2.5360529	1.432959407	3.321928095	0.485426827	3.247927513	2.232660757
3532_f_at	12.22360958	11.97523896	11.76084467	11.42883122	11.78213823	11.67578065
3533_f_at	11.93058951	11.91393656	11.76702573	11.5226796	11.38640142	11.78070379
3534_f_at	11.94258781	11.92154344	11.64051609	11.27315452	11.54162906	11.37400701
3535_i_at	2.608809243	0.263034406	2	-3.321928095	4.137503524	-1
3536_f_at	9.991096628	9.511357341	9.633903409	9.22881869	9.931623968	9.885696373
3537_f_at	6.968090752	6.040015679	7.122051448	7.250772132	7.872213144	7.969818186
3538_f_at	8.031218731	7.224966365	7.385431037	7.671717965	8.332260378	7.905687849
3539_f_at	5.744161096	5.649615459	5.840463234	6.183883459	4.078951341	4.906890596
3540_at	4.112700133	3.887525271	3.87774425	3.827819025	4.277984747	3.722466024
3541_at	1.847996907	4.99095486	4.485426827	5.944858446	5.532940288	5.563768278
3542_f_at	9.560905977	9.913637428	11.50789372	11.33622759	12.16911075	12.24635464
3543_s_at	10.45399077	9.540321806	11.66489167	11.44744489	11.54515755	11.94485845
3544_at	0.378511623	3.655351829	2.510961919	3.432959407	3.44625623	3.632268215
3545_i_at	5.145677455	5.754887502	4.963474124	6.563768278	6.402585758	6.437960088
3546_f_at	2.981852653	3.64385619	3.963474124	4.053111336	3.754887502	3.655351829
3547_f_at	9.29553937	9.55228484	9.272629785	8.962606859	9.112178834	8.796688594
3548_s_at	5.426264755	4.902073579	5.925999419	5.738767837	6.441284272	6.215290306
3549_f_at	2.906890596	4	1.632268215	2.678071905	-2.321928095	3.053111336
3550_i_at	-2.321928095	0	1.070389328	-3.321928095	2.070389328	2.655351829
3551_f_at	4.465974465	4.263034406	3.963474124	4.329123596	4.078951341	4.008988783
3552_f_at	0.137503524	2.944858446	2.632268215	1.963474124	2.655351829	2.887525271
3553_f_at	6.856736756	6.741466986	6.782670659	6.799605422	7.108524457	7.314696526
3554_f_at	5.137503524	6.846744023	6.74819285	7.330916878	6.938991439	6.980710829
3555_s_at	4.786596362	6.404290064	6.203592714	6.40599236	6.787902559	7.044394119
3556_s_at	4.504620392	5.181897643	4.649615459	5.266786541	4.916476644	4.744161096
3557_s_at	3.5360529	1.887525271	3.498250868	3.017921908	2.459431619	2.867896464
3558_f_at	5.605849867	6.442943496	6.565292521	6.421223299	6.964629667	6.729280846
3559_f_at	11.22593041	11.96999801	11.76901132	11.15507119	11.49425559	11.29806257
3560_at	4.112700133	1.807354922	2.847996907	2.632268215	3.485426827	3.153805336
3561_f_at	6.323730338	7.563768278	7.585713709	8.020702204	8.326429487	8.347842794
3562_f_at	6.404290064	6.697662633	6.482202926	7.29553937	8.076281167	8.183883459
3563_s_at	0	1.678071905	-0.152003093	1.070389328	3.925999419	3.336283388
3564_f_at	10.54370853	11.16169877	11.1561463	10.72400217	11.56162208	11.42678889
3565_at	4.683696454	2.40599236	4.817623258	4.935459748	5.361066489	5.517275693
3566_i_at	2.678071905	3.632268215	-0.152003093	3.419538892	2.847996907	2.722466024
3567_r_at	0.137503524	3.655351829	-2.321928095	-3.321928095	-3.321928095	-2.321928095
3568_f_at	4.791814071	5.736063628	4.935459748	5.459431619	5.022367813	5.602884409
3569_at	4.716990894	5.181897643	4.329123596	5.28169825	5.385431037	5.981852653
3570_f_at	5.129283017	5.432959407	5.03562391	6.029011087	6.251719093	6
3571_f_at	11.10571212	11.01555444	10.69339984	10.70571877	10.88683971	10.75972177
3572_f_at	9.574782721	10.26103711	10.00309622	9.346292104	9.715275646	9.471878397
3573_f_at	4.285402219	4.921245889	3.459431619	4.412781525	4.321928095	3.459431619
3574_f_at	5.62935662	5.429615964	6.368069877	6.808642468	7.019034669	6.662490364
3575_f_at	8.953323449	9.655530723	9.511159644	9.108785791	9.579504513	9.550746785
3576_f_at	4.336283388	4.807354922	4.247927513	5.409390936	5.692092375	5.54225805
3577_at	4.263034406	4.277984747	3.485426827	3.572889668	4.802193217	4.504620392
3578_f_at	10.08507405	9.877130729	10.16402697	9.965495717	10.04644195	10.09183204
3579_f_at	12.10299268	12.50228485	12.10374677	11.84815344	11.94803865	12.18682612
3580_f_at	11.70360082	12.26584942	11.93994645	11.79376586	11.91916128	11.87931521
3581_f_at	9.894363061	10.26737193	9.915132449	9.821136186	10.00028175	9.952158811
3582_f_at	11.226954	11.11471839	11.02167404	10.81121412	10.91258999	10.82129566
3583_i_at	5.193771743	2.700439718	5.048759312	4.817623258	5.705977902	5.121015401
3584_f_at	4.523561956	5.501439145	3.776103988	4.689299161	5.22881869	4.925999419
3585_f_at	2.887525271	-0.514573173	-1.736965594	-0.152003093	-0.736965594	-2.321928095
3586_f_at	11.80538114	11.74978564	11.58533815	11.28880841	11.40045254	11.29508013
3587_f_at	13.46301341	13.51033149	12.88521972	13.10796896	12.97276444	13.05460432
3588_f_at	12.87492373	12.81322003	12.57480637	12.51244419	12.6329952	12.53147894
3589_f_at	12.47248777	12.4128609	12.04076917	11.94035031	12.00639621	12.01886086
3590_f_at	12.08736339	11.63825489	11.49675393	11.42982516	11.43801209	11.36090194
3591_f_at	10.70442244	10.38726344	9.789044513	10.07293648	10.15481811	10.10013667
