ID_REF	GSM153907	GSM153909	GSM153911	GSM153913	GSM153915	GSM153908	GSM153910	GSM153912	GSM153914	GSM153916
8589_at	5.548436625	6.221103725	5.716990894	4.852997588	5.357552005	5.768184325	6.048759312	5.804776378	5.173926932	5.378511623
8590_at	3.99095486	4.161887682	4.240314329	4.017921908	3.925999419	4.026800059	4.307428525	4.209453366	3.44625623	3.185866545
8591_at	7.682292371	7.981281854	7.696272084	7.199672345	7.264911693	7.818901676	8.085870755	7.782670659	6.906890596	6.978424465
8592_at	9.317638724	8.824004051	9.056637715	9.407055275	9.447083226	9.25502857	8.518062976	9.134683005	9.082681303	9.124121312
8593_at	8.602142091	8.066627409	8.242697768	9.078951341	9.139295533	8.153298683	8.151777655	7.832257114	8.494655613	8.63481105
8594_at	4.364572432	4.193771743	3.963474124	3.963474124	4.09592442	4.465974465	3.887525271	4.09592442	3.897240426	4.061776198
8595_at	6.147713722	6.217230716	6.17990909	6.390598906	6.485426827	6.195741293	6.12722055	6.290940402	6.264911693	6.307428525
8596_at	6.475733431	6.249824549	6.338067798	6.426264755	6.422905743	6.350497247	6.276124405	6.303780748	5.993221467	6.106432078
8597_at	6.690696444	6.723831566	6.539158811	6.686500527	6.663913842	6.432959407	6.599912842	6.414473836	6.607330314	6.528258743
8598_at	6.781359714	7.077883864	6.540709263	6.240314329	6.388878339	6.766860144	7.225930411	6.589463893	6.171927354	6.185866545
8599_at	9.527477006	9.212131562	9.37894506	7.74348804	7.748863715	9.358211623	10.04070069	9.334049768	7.736740155	7.834787049
8600_at	9.699745948	9.74348804	9.593391123	9.754219433	9.720586291	9.54689446	9.597493929	9.675251386	9.477758266	9.502434039
8601_at	7.957682486	8.324630615	8.142617655	8.329123596	8.281234585	7.949534933	8.17990909	8.018478396	8.016808288	7.996614715
8602_at	3.887525271	4.03562391	3.64385619	4.224966365	4.314696526	3.64385619	4.026800059	3.584962501	3.169925001	3.925999419
8603_at	8.896029603	8.918565129	8.894817763	8.587214952	8.755889026	9.053654418	8.929850162	8.736063628	8.677014857	8.681941137
8604_at	6.793115555	6.871597266	6.824004051	6.338067798	6.276124405	6.839203788	7.193771743	6.874059203	6.193771743	6.277984747
8605_at	4.145677455	3.711494907	3.560714954	3.632268215	3.678071905	3.64385619	3.776103988	3.700439718	3.185866545	3.247927513
