ID_REF	GSM27837	GSM27838	GSM27839	GSM27840	GSM27841	GSM27842	GSM27843	GSM27844	GSM27845	GSM27846	GSM27847	GSM27848	GSM27849	GSM27850	GSM27851	GSM27852	GSM27853	GSM27854
10000_at	5.070389328	4.350497247	5.8899602	5.495055528	4.847996907	5.221103725	5.469234794	4.760220946	5.48864354	5.439623138	6.04220656	6.334496768	5.804776378	5.044394119	6.044394119	4.5360529	6.362820526	5.944858446
10001_at	10.31027195	10.49044979	10.40183949	9.862172397	9.872520985	9.647098607	10.18065512	9.954341736	9.971256136	9.762049774	10.18375943	10.17280251	10.26373867	10.36128586	9.516487981	9.960725995	10.0824152	10.07400763
10002_i_at	12.85652279	12.59065722	13.38051518	12.93136542	12.22291563	12.74959712	12.19650992	12.88235647	13.2888949	13.49721565	12.90196049	12.53855271	13.26438395	13.20649549	12.73010921	12.45743218	13.15428016	13.59523417
10003_f_at	14.65836213	14.68227591	14.98061266	14.6331485	14.19575667	14.36306702	14.0138635	14.35318129	14.56499494	14.95424176	14.33975955	14.25072033	14.76999276	14.61251722	14.41235152	14.14186765	14.88590605	15.01585494
10004_at	3.364572432	1.321928095	4.300123725	4.87774425	4.632268215	2.03562391	4.578938713	4.689299161	1.485426827	3.584962501	4.66106548	5.548436625	5.554588852	6.264911693	4.949534933	5.185866545	5.472487771	5.711494907
10005_at	10.48984796	10.14911199	9.719559949	10.03121873	10.26608376	9.496054832	10.19758531	9.678424083	9.707531693	9.481799432	10.04944018	9.323279988	9.512542955	9.539934245	9.609732804	9.621502465	9.393604969	9.58458675
10006_at	8.86727874	9.03039126	8.528649452	9.214076222	9.38478375	8.741804025	9.421433712	8.459841417	8.483009577	8.357991784	8.632995197	7.957682486	8.22881869	9.238404739	9.215533	8.857047916	8.83541884	8.841092545
10007_at	10.45224124	9.594697827	10.15797845	11.09447361	10.85751453	10.99343378	11.30526377	11.13750352	11.30600471	10.73809226	10.88851496	11.04637373	10.76229898	10.91011802	10.95368721	12.01101755	11.03183902	10.8414071
10008_at	4.112700133	4.336283388	5.004501392	6.496654083	5.381975479	7.609548139	7.289096702	6.62058641	6.98982022	5.974988112	7.765534746	7.559950613	7.578938713	4.439623138	7.865423978	8.25124569	8.196725061	8.146186791
10009_at	4.935459748	6.223036338	8.765203207	8.944858446	4.738767837	6.246027981	4.672425342	8.155830172	9.05012073	9.008988783	9.001126665	9.558612039	10.34118521	6.482202926	9.064203842	8.235535607	9.571373436	8.818901676
10010_at	13.33691097	12.80574387	12.64399144	13.12395971	12.72069316	12.9383299	13.01592026	12.96282372	12.9534144	12.85346551	12.3416578	12.26643519	13.01344481	13.19358696	12.8091049	12.60274525	12.87001788	13.25930192
