ID_REF	GSM6711	GSM6712	GSM6713	GSM6715	GSM6717	GSM6726	GSM6728	GSM6729	GSM6730	GSM6731	GSM6732
2935_at	2.700439718	6.385431037	5.776103988	6.903279342	6.343407822	5.683696454	5.289096702	5.94016675	6.131342539	6.559185866	6.01346226
2936_at	4.584962501	4.827819025	3.485426827	3.087462841	4.357552005	5.057450272	4.343407822	3.765534746	3.87774425	5.247927513	5.087462841
2937_at	3.5360529	3.137503524	3.392317423	3.608809243	2.807354922	3.185866545	2	2.744161096	3.364572432	3.459431619	2.350497247
2938_at	0	0	1.201633861	-3.321928095	-2.321928095	2.459431619	 	-1	-2.321928095	-3.321928095	1.432959407
2939_at	1.321928095	1.378511623	0.678071905	1	1.847996907	0.485426827	2.03562391	-0.321928095	1.201633861	1.201633861	0.378511623
2940_at	1.887525271	1	-1.321928095	2.292781749	2.925999419	3.596935142	1.925999419	1.070389328	-0.736965594	0.485426827	-1.321928095
2941_at	0	0	0.847996907	1.925999419	1.137503524	0.485426827	0.485426827	0.137503524	1.263034406	1.632268215	0.137503524
2942_at	6.06608919	5.773468928	3.485426827	5.773468928	5.061776198	5.343407822	5.432959407	5.947198584	5.289096702	5.44625623	5.593951284
2943_at	4.491853096	3.95419631	5.008988783	5.765534746	5.307428525	5.452858965	4.419538892	4.754887502	4.87774425	6.022367813	5.314696526
2944_g_at	7.40599236	4.822730148	5.700439718	7.612499946	5.862947248	7.798309782	6.760220946	7.13442632	6.836681593	7.483815777	7.131342539
2945_s_at	6.568336182	5.638073837	5.62058641	7.117902789	6.378511623	6.903279342	6.705977902	7.70528679	6.707359132	6.99095486	6.712870868
2946_s_at	3.523561956	5.224966365	3	5.984133595	5.070389328	5.786596362	4.754887502	4.882643049	5.48864354	4.62058641	4.770829046
2947_s_at	8.084808388	8.360627646	7.268658955	8.267723052	8.392746732	7.839203788	8.160879862	8.256444596	8.096451624	8.16540952	8.075211711
2948_s_at	7.04220656	7.397460726	4.776103988	7.396604781	7.461888664	6.461070114	7.677367292	7.452035274	6.429615964	7.472487771	7.197708158
2949_at	3.053111336	3.459431619	3.472487771	3.754887502	1.632268215	3.121015401	1.925999419	0.847996907	1.632268215	3.498250868	3.817623258
2950_at	4.958842675	4.560714954	4.03562391	4.857980995	4.307428525	4.078951341	4.827819025	3.678071905	4.678071905	5.285402219	3.277984747
2951_at	1.722466024	3.017921908	-2.321928095	0.263034406	2.232660757	-0.152003093	2.485426827	2.232660757	1.632268215	3.459431619	3.017921908
2952_at	-1.321928095	1.584962501	-0.736965594	-0.514573173	-1	2.5360529	-0.736965594	-1	-1	-1	2
2953_at	-0.736965594	-0.514573173	-0.736965594	0.137503524	1.925999419	0.378511623	-0.321928095	-0.736965594	-0.736965594	1.070389328	-0.321928095
2954_at	0.263034406	-0.152003093	0.378511623	1.765534746	-1	-0.514573173	-0.152003093	-1	-1	-0.736965594	-1
2955_at	-0.321928095	-1	0.765534746	1.807354922	0.378511623	1.201633861	0.378511623	0	0.137503524	1.632268215	1.137503524
2956_g_at	6.914086097	8.33315535	6.575917361	8.483009577	8.970681128	6.114783447	7.955940451	8.078951341	7.914684105	7.847996907	7.608069968
2957_at	1.584962501	3.847996907	-0.321928095	-0.736965594	1.847996907	-0.514573173	-0.152003093	2.722466024	1.584962501	2.232660757	2
2958_at	0.378511623	4.683696454	3.897240426	3.655351829	1.807354922	-0.321928095	1.485426827	0.378511623	4.867896464	4.802193217	3.906890596
2959_at	3.689299161	1.765534746	1.678071905	4.240314329	4.263034406	1.137503524	3.944858446	3.95419631	4.678071905	3.137503524	4.321928095
2960_at	4.314696526	2.378511623	3.121015401	4.578938713	0.925999419	3.087462841	3.608809243	3.350497247	4.247927513	3.485426827	4.419538892
2961_at	5.593951284	3.485426827	5.03562391	5.963474124	4.614709844	4.584962501	5.048759312	4.240314329	5.523561956	5.185866545	4.572889668
