ID_REF	GSM153627	GSM153628	GSM153631	GSM153632	GSM153633	GSM153634	GSM153629	GSM153630
9506_at	4.995484519	3.247927513	5.343407822	3.972692654	4.99095486	3.765534746	5.048759312	5.129283017
9507_at	6.865423978	5.217230716	7.123086751	6.493455201	7.881419908	6.710117632	6.48703608	7.330020516
9508_at	8.017921908	6.378511623	6.964629667	6.769507291	8.338067798	6.285402219	7.756222713	8.070389328
9509_at	7.853621456	5.860466259	7.405141463	6.807354922	7.887525271	6.395748328	7.849248703	7.484621527
9510_at	5.482202926	7.294620749	7.09592442	8.098558518	7.521207816	8.440869168	6.070389328	7.874674032
9511_at	7.902073579	8.857047916	7.787249608	9.504818988	8.607330314	9.314243347	7.775445674	9.022367813
9512_at	13.35168464	10.33862497	12.64412667	11.11256983	13.00702727	10.98783245	13.40604552	11.41283444
9513_at	13.27411603	10.39746073	12.71549016	11.24204271	12.9853083	10.75371818	13.32322368	11.40827666
9514_at	3.632268215	4.09592442	1.378511623	5.388878339	1.070389328	0.263034406	0.378511623	3.897240426
9515_at	4.161887682	4.614709844	7.06501215	7.802193217	5.54225805	8.511752654	1.070389328	7.277984747
9516_at	6.978424465	7.497452696	6.766860144	8.214804795	7.613973587	8.226412193	6.994353437	8.672071697
9517_g_at	9.386509204	9.731828128	9.070120944	10.4649541	9.913338238	10.24460169	9.468827655	11.15310864
9518_at	6.155830172	7.45779126	5.557655155	8.317412614	7.420381341	8.318768743	6.175923742	8.852685552
9519_at	11.84399954	7.894817763	11.22207036	9.167418146	11.39194167	7.821455119	11.66963804	10.64781816
9520_at	10.71467483	9.970393538	9.60659028	11.1396153	10.34051776	11.4679621	10.65302418	11.32536168
9521_at	5.311067102	4.307428525	5.343407822	5.442943496	5.469234794	6.566815154	3.217230716	2.378511623
9522_at	11.52645033	8.360627646	10.3553511	9.73470962	10.58185963	9.829722735	11.22164753	10.59357787
9523_at	5.161887682	6.135452784	6.171927354	6.804776378	7.617651119	6.840463234	5.296457407	6.738767837
9524_at	7.430452552	9.276822315	6.483815777	10.48964729	7.068240861	10.57459353	7.286326727	8.010108453
9525_at	5.770829046	6.362820526	5.475733431	7.798309782	6.439623138	8.99859043	6.031218731	8.053654418
9526_at	6.693486957	9.344517844	5.10433666	9.405141463	5.213347282	8.631904587	6.422905743	9.890112246
9527_at	8.191306019	7.482202926	7.671010241	8.654277995	8.344739746	8.188341576	8.03562391	8.416586438
9528_at	8.944272818	8.116863758	7.378511623	9.188094264	8.445842554	9.715104009	9.141596278	9.545929769
9529_at	6.686500527	6.165911939	5.193771743	7.157852169	6.397460726	7.366322214	6.885086225	6.696272084
9530_at	7.58345891	6.412781525	6.972692654	7.04220656	8.497851837	5.807354922	7.63008507	9.248876343
9531_at	10.81354072	9.621868725	9.281466436	9.968378801	9.999436337	8.762548143	10.77099418	10.26631806
9532_at	8.397032817	10.88050187	10.31174832	10.61176256	10.89618101	10.34185236	7.85237345	11.9787462
9533_at	7.676662335	5.970393538	7.277984747	7.296457407	8.09011242	7.690696444	7.66035251	7.463524373
9534_at	10.65856854	9.345405247	10.23732948	9.740118043	11.00996854	8.567195561	10.52894242	10.4098152
9535_at	8.11997861	5.439623138	6.529820947	7.921245889	6.272396509	9.505613095	7.596189756	7.972692654
9536_at	2.10433666	5.921245889	5.977279923	6.994353437	6.277984747	6.338067798	4.070389328	6.891176125
9537_at	5.385431037	9.140829771	8.623515741	9.622600964	10.1009251	8.125155131	5.837943242	11.56295787
9538_at	5.752213368	10.14044636	10.02181282	10.60954814	11.60603501	9.029839349	4.847996907	12.24938015
9539_at	7.989252565	8.414050945	7.357552005	9.10433666	8.120497098	8.995201831	8.054739967	9.047396608
9540_at	9.16540952	7.474111514	6.874059203	7.785942819	7.938991439	6.795715007	9.085605237	8.127736444
9541_at	10.03823313	9.633721813	10.01052811	9.884933648	10.33594857	9.673485757	10.04535013	10.19635623
9542_at	7.087462841	9.964340868	7.684397984	10.45717564	8.048214385	9.692441147	7.030115331	10.8688997
9543_at	6.031218731	11.53352441	6.044394119	11.72037253	5.754887502	11.00632608	5.213347282	11.63866217
9544_at	7.755555262	5.666756592	6.444600814	6.662490364	7.047669251	6.081083929	7.318316841	7.577428828
9545_at	9.306973057	10.50957709	10.23553561	11.34845154	10.52640143	9.650154214	9.137503524	11.06877828
9546_at	8.24697806	9.477151114	9.107217076	10.3733002	9.660709039	8.391887985	7.970968661	9.623515741
9547_at	10.26936048	11.53566419	11.42348363	11.89523445	11.88252842	11.29691621	9.824799669	12.20273604
9548_at	5.862947248	5.791814071	4.958842675	5.416164165	5.557655155	5.482202926	6.033423002	6.223036338
9549_at	6.856736756	12.95644876	12.66810937	12.97858534	12.96549572	12.47197998	9.120497098	12.84817301
9550_at	10.44086917	8.613236955	8.959712205	8.107478647	10.62168561	8.612868497	10.3228295	11.14255384
9551_at	6.470862199	4.217230716	5.822730148	5.738767837	7.057450272	6.394033895	6.12722055	6.753551055
9552_at	11.45532722	11.82960383	11.57146825	11.84427423	11.96018298	10.6286278	11.35176744	12.319785
9553_at	6.14974712	6.812498225	5.923624611	7.387155718	6.955359305	6.837943242	6.074676686	8.649256178
9554_at	3.017921908	5.087462841	4.560714954	6.157852169	3.897240426	4.760220946	0.765534746	6.167919866
9555_at	4.925999419	3.017921908	4.786596362	4.336283388	4.887525271	4.968090752	4.822730148	5.837943242
9556_at	10.40716152	10.17841587	10.36522885	11.73813449	10.95579519	12.26801559	10.38715572	11.11289557
9557_at	10.6094558	10.95688431	10.74129844	12.22052948	10.99399979	12.48540167	10.58918297	11.43134089
9558_at	9.677719642	10.2429359	9.056908618	10.69548931	9.36303963	9.373082645	9.420170775	10.90071589
9559_at	9.363696745	8.255972742	9.055553593	10.25715209	9.6121313	10.43920755	9.105908509	9.486231678
9560_at	4.822730148	5.608809243	5.520422249	5.776103988	5.070389328	5.263034406	5.452858965	5.809928866
9561_at	4.683696454	3.678071905	4.412781525	4.722466024	3.887525271	4.566815154	4.491853096	5.173926932
9562_at	7.400025518	9.222794903	5.865423978	8.74819285	1.070389328	7.459431619	7.089582893	9.400879436
9563_at	7.345183447	8.187846909	8.068778278	8.797985691	8.428360173	8.753551055	7.178913785	8.586464526
9564_at	6.123086751	5.10433666	5.700439718	5.517275693	4.94016675	4.754887502	6.159871337	5.988684687
9565_at	10.94082744	9.820178962	10.32001074	11.74701808	10.3553511	12.35928286	10.93560707	10.92102268
9566_at	7.439623138	6.958842675	5.832890014	7.77939106	6.816343705	7.767522386	7.751544059	7.999436337
9567_at	10.00562455	11.57070958	9.903128677	12.16791987	9.955504614	11.74344596	9.137247341	12.1326925
9568_at	2.263034406	4.590961241	2.765534746	5.638073837	4.632268215	6.847996907	0.485426827	4.802193217
9569_at	11.81714356	10.55842071	10.72902587	10.95208599	11.10943892	10.47177681	11.5553081	11.0385761
9570_at	5.837943242	6.515699838	6.770829046	6.320123598	7.8008999	4.911691582	5.116863758	7.21916852
9571_at	1.201633861	8.094869433	8.186361891	8.236492618	9.536830005	6.571373436	0.925999419	9.478162893
9572_at	7.627898616	5.714245518	7.48864354	6.498250868	8.633721813	6.862947248	7.704595348	8.521992956
9573_at	4.03562391	4.733354341	4.517275693	3.689299161	5.285402219	1.765534746	3.689299161	5.303780748
9574_at	6.719731057	5.498250868	6.434628228	6.369815424	7.454504938	5.852997588	6.050936965	7.586464526
9575_at	8.500244367	9.029839349	7.572889668	9.038644687	7.503825738	8.826230678	8.070389328	9.087728018
9576_at	9.236731772	7.572131751	8.628263255	7.977852308	9.081083929	8.308794067	9.076815597	8.861707287
9577_at	8.048759312	7.213347282	7.813139851	7.944272818	8.510961919	8.952741247	8.153298683	8.420802382
9578_at	9.436503346	8.176422513	8.541096615	9.474314353	9.244363835	10.4943556	8.97384084	9.449355025
9579_at	5.602884409	5.909293086	4.008988783	6.447909749	5.221103725	6.383704292	5.928370323	6.375039431
9580_at	9.580635447	6.371558863	8.419538892	8.981281854	9.305149746	10.42940674	9.451829277	8.97441459
9581_at	3.916476644	5.638073837	3.655351829	5.608809243	4.584962501	4.584962501	4.459431619	5.711494907
9582_at	6.224966365	6.929554316	6.94016675	7.483815777	7.561478892	6.593951284	5.346956889	8.378078056
9583_at	4.666756592	7.085339669	6.831623937	7.428778891	7.523561956	6.803485376	4.797012978	8.274261661
9584_at	8.98783245	7.724513853	8.363696745	9.325755173	9.431706524	10.1893304	9.038095925	9.341630009
9585_at	5.599912842	6.257387843	5.855491443	6.610286657	6.09592442	6.730639956	6.14363831	6.887525271
9586_at	8.05202456	12.00010566	9.491051376	12.41227874	10.37188552	12.24611708	7.737416366	12.15006458
9587_at	4.10433666	3.632268215	1.925999419	3.700439718	4.10433666	3.572889668	2.350497247	5.01346226
9588_at	9.663024333	9.112700133	9.805582668	9.212617973	10.289212	8.176422513	9.291170699	9.356011722
9589_at	7.722466024	7.135452784	7.972118218	8.320123598	8.511357341	7.259272487	7.559185866	8.497452696
9590_at	7.80928581	6.509379149	7.189824559	7.92243574	7.221103725	6.866660751	7.808642468	7.511752654
9591_at	6.081083929	5.822730148	6.139551352	6.623515741	6.815063017	6.672425342	6.399171094	6.596935142
9592_at	8.591709333	8.815063017	8.098558518	8.591709333	9.703038389	7.533719071	8.77774846	11.19715525
9593_at	5.224966365	5.590961241	5.462706751	6.089582893	6.439623138	3.689299161	5.399171094	6.730639956
9594_at	8.437544026	7.73403214	6.811214118	8.53099149	7.133399125	7.068240861	8.227856573	8.120497098
9595_at	4.925999419	6.918863237	5.867896464	7.663913842	6.048759312	8.117383367	5.165911939	7.474111514
9596_at	3.837943242	4.078951341	3.632268215	4.153805336	2.201633861	3.64385619	5.008988783	4.66106548
9597_at	7.491051376	7.128252152	8.293701542	8.683345562	7.992655149	8.266786541	6.958842675	9.236014192
