ID_REF	GSM120137	GSM120138	GSM120139	GSM120143	GSM120144	GSM120145	GSM120128	GSM120129	GSM120130	GSM120131	GSM120132	GSM120133	GSM120134	GSM120135	GSM120136	GSM120140	GSM120141	GSM120142
10000_at	1.51914935	1.13796249	1.366979584	1.716771456	1.505662316	1.262974292	1.392861422	1.210320282	1.376245924	1.202022709	1.865091353	1.056465611	1.362576491	1.308768589	0.985981249	1.293800109	1.08232109	1.606224268
10001_at	5.267022599	6.467246869	6.400394473	6.559302133	6.416196262	5.684400789	6.441307514	6.574856878	6.438101522	6.29725379	6.506916073	6.237385894	6.255085238	6.552526166	6.50907981	6.362731121	6.802748987	6.229820535
10002_i_at	10.3649335	9.822820951	9.740187207	9.289396464	9.638510129	9.912151338	9.620630394	9.820775706	9.691193899	9.818105994	9.862166197	9.868379649	9.668179415	9.461381218	9.951911204	9.154273832	9.508745554	9.589020005
10003_f_at	11.29117646	11.01421579	11.06025684	11.07946478	10.93143191	11.17731364	10.93506189	11.07590695	10.99638875	11.16897918	11.21558153	11.0928232	11.05007991	10.91354768	11.0889472	11.02637128	11.11692222	11.21663674
10004_at	1.826932816	1.613762654	1.76502547	1.785119457	2.183010037	1.957186569	1.905916929	1.71164908	1.664837782	1.97945835	2.012947622	1.502569928	1.520487624	2.195734995	2.314122233	1.714812591	1.83541884	2.215470486
10005_at	5.687830555	5.527401937	5.30907066	5.288103816	5.264521418	5.237269245	5.780034449	5.593571892	5.428983182	5.671998128	6.019310501	5.323431321	5.540176095	5.63650282	5.775200705	5.664625055	5.415647135	5.442120759
10006_at	4.200206141	4.199507456	4.121040275	4.329783783	3.519378353	3.981204208	4.273762037	4.509322137	4.333373639	4.054423071	4.374163119	3.536587593	3.437840275	4.379107999	4.193472136	4.224773478	3.381920122	3.94751655
10007_at	6.175887824	6.869106437	6.847270367	6.233381924	6.254926562	5.801991536	7.080252595	6.883608598	6.904652683	6.71633248	6.644908973	6.82200352	7.043125739	7.242802549	7.257416131	6.293769583	6.274686579	6.022347837
10008_at	4.47143461	3.55209421	3.725435792	3.88747653	3.941857519	3.590158856	3.539344953	3.889950468	3.675522395	3.381200297	3.416866758	3.704484686	4.105619417	4.067836592	3.914899328	3.910934088	3.622977191	4.05734629
10009_at	6.107112434	5.820186623	5.821585224	4.895792163	5.628190335	5.24839062	5.578588561	6.502311505	5.921229224	5.817717899	5.579481885	5.358396262	6.069156499	5.801929474	5.747148363	4.267543289	4.302976998	4.940472175
10010_at	5.571173174	6.993583794	7.204952552	7.657597135	7.199348438	6.456838997	7.204316816	7.039050636	6.997687581	6.871720462	6.927019385	6.815332056	6.433708946	7.195101484	7.286372937	7.414008649	7.085010298	6.880881397
10011_at	1.523411406	1.726831217	1.624517379	1.78325548	1.736219528	1.545676836	1.772476899	1.584625833	1.414254625	1.788652305	1.585145231	1.600693174	1.713035895	1.798502647	1.744010358	1.750400697	1.737967919	2.298561546
10012_at	3.386810946	3.624732594	3.945823043	4.559522404	4.303795358	3.69113212	4.495490511	3.655786862	4.072980416	4.133990879	3.885789093	4.075515517	4.053832504	4.465014525	5.364782518	4.277597994	4.204563319	3.876006081
10013_at	1.949871056	2.02158988	1.982593899	2.250810022	1.949239827	2.724770309	2.148833259	1.913634317	1.935059887	2.06373762	2.023514411	1.954970504	1.809027478	1.848273397	2.475308016	1.955562036	2.167296904	2.67536883
10014_at	6.408778085	6.20867527	5.979558955	6.765879467	6.71373705	6.328017824	6.356591061	5.983075686	6.056821935	6.308979681	6.058264537	6.260742684	6.635702161	6.377960103	6.562987243	5.917904301	6.131550387	6.400445709
10015_at	8.009095189	9.412584665	9.501526723	9.201491741	9.118842468	8.717744958	9.14988935	9.220182408	9.464274135	8.81424278	8.963991344	8.944082437	9.11265583	9.252277508	9.192568996	9.070923262	9.377186666	9.065405363
10016_at	7.3440029	7.234587539	7.405166997	7.661108247	7.18336741	7.300334255	7.694288232	7.544887178	7.425140357	7.889668225	7.503634956	7.068541839	7.398615447	7.476835294	7.339493738	7.489173609	7.299684258	7.459767662
10017_at	2.507924001	2.654918955	2.698080649	2.689621215	2.780879085	2.677111291	2.578276974	2.654660085	2.478011414	2.540111606	2.608109011	2.598284206	2.663656581	2.91323602	2.986562023	2.673750881	2.390675939	2.718447117
10018_at	10.66710267	10.76507057	10.92111941	10.05610931	9.742092131	9.578587806	10.78858784	10.83189307	10.91404871	10.78445491	10.76622245	10.89732363	10.72917886	10.78576304	10.76652063	9.921357479	9.505777818	9.805819632
10019_at	7.282013458	7.788496488	8.030501617	8.749101797	7.925073709	7.118037808	8.014042794	7.871640386	8.040245878	7.583631903	7.563768278	7.796149957	7.778543712	8.142280681	7.626855239	8.452525426	8.027662763	7.042753761
10020_at	6.180346807	5.431037874	5.520862219	5.716291319	5.226466142	5.000585976	5.770752417	5.87247666	5.471932032	5.737919261	5.552552294	5.343500209	5.61476284	5.741777065	5.458277001	5.471132171	5.205787386	5.29007047
10021_at	4.599293987	3.947488497	4.329037463	4.466026688	4.562437824	4.294980918	4.333080194	4.372206884	4.232599364	4.276719976	4.290063095	4.102288593	4.35599587	4.498793372	4.3153561	3.839133227	4.080990161	4.069848216
10022_at	4.630912143	3.188288556	3.021582773	2.910767194	3.701870606	3.842898401	2.975575163	3.14183984	3.021262952	2.678094447	3.237444407	3.004131008	2.894293934	3.745689112	3.183054515	2.784041157	3.139169857	3.22544924
10023_at	2.913450501	2.767940767	2.432179072	2.400655417	2.553203199	2.522442492	2.641566837	2.764307934	2.756107399	2.736277986	2.799456224	2.639114057	2.738305236	3.103986009	2.713134902	2.46527449	2.48045902	2.601946055
10024_at	4.241130862	4.585815843	4.157650097	4.562773605	4.313303907	4.655512119	4.680014853	4.672872225	4.490043784	4.373035649	4.401173067	3.891924625	4.33443956	4.358698667	4.532585024	4.107445168	4.040471656	4.524214158
10025_at	2.215265451	2.662396935	2.439811939	2.596772979	2.645916041	2.555462799	2.77453618	2.777013547	2.619492832	2.347464402	2.629986022	1.993985871	2.372029927	2.546714227	2.980986776	2.453449097	2.176555755	2.551139453
10026_at	4.598585547	3.990800602	3.716530036	3.886959779	4.21920725	4.244590272	3.978378701	4.341914607	3.905562705	4.333638405	4.378046834	4.20250392	4.335661895	4.301529118	4.412679924	3.833244317	3.868765772	3.854245054
10027_at	2.299760442	2.569539699	2.460388726	2.923516227	3.165259163	2.973969379	2.55427695	2.571909758	2.425118195	2.459229627	2.522116028	2.322822289	2.542790448	2.436580299	2.776453562	2.452940649	2.598558155	2.754507008
10028_at	3.521214099	3.866284884	3.601565789	4.245092492	4.232123483	3.624580543	3.635800817	4.043239501	3.894099874	3.715069679	3.626766188	3.821873453	3.989384281	4.052563704	3.994127114	3.74928754	3.409689628	3.760519037
10029_at	1.252754735	2.402653969	2.450720347	2.710957375	2.072493441	2.474454215	2.602352354	2.435343227	2.437688497	1.889317778	2.435884576	2.00476384	1.866156276	1.803222903	2.153111379	2.291960062	2.296988867	2.641860428
10030_at	1.985493144	3.559173627	3.986010384	4.100775858	4.099758072	3.974198886	3.942814742	3.490903811	3.606762002	2.834248039	2.805750578	3.285977702	3.653988639	3.609223071	3.349322811	3.930879235	3.800682509	3.603288069
10031_at	5.12458869	5.346864724	5.296795098	5.718134175	5.499268694	5.652621293	5.396248558	5.284632576	5.365430091	5.100948222	5.45659262	5.714863683	5.405430824	5.805000894	5.579152989	5.845143763	5.465497839	5.699929136
10032_at	3.810741278	3.994163328	3.843561824	4.157876416	3.928673518	4.163160561	4.078789136	4.327105283	3.838034038	3.98596486	4.254526018	3.629449882	3.73078123	4.249339145	4.122507073	3.585587533	3.522696079	4.370513052
10033_at	2.522035656	2.958558747	3.172866701	3.052363722	2.771065777	2.594324007	3.145879581	3.133811735	3.183756449	3.181628951	3.216341556	2.568331317	2.64065563	3.446375347	3.313316969	2.905801431	2.967498803	2.76276551
10034_at	5.743829991	6.40167654	6.182741949	6.311561241	5.495535281	5.441891769	6.056583528	6.521462248	6.195288535	5.976116138	6.439011358	5.696630974	5.524427314	5.870497885	6.136968562	6.117071624	5.524044864	5.615990036
10035_at	4.480988873	4.814191499	4.649764894	4.734048403	4.538060083	4.279099802	4.752705781	4.781873746	4.904671949	4.829824196	4.977417316	4.379551653	4.719309411	4.705767839	4.730944221	4.703001001	4.188749054	4.673143682
10036_at	2.388616633	2.636394931	2.696223112	2.752607312	2.891722471	3.44904627	2.660746113	2.607808469	2.949166976	2.070581674	2.534853472	1.970503979	2.588036972	2.762812275	2.860851588	3.114412004	2.661660683	3.600317335
10037_at	6.031373139	5.573032112	5.228176067	5.382117319	5.519004002	5.60633266	5.372812835	5.416924167	5.351787316	5.331114003	5.26223018	5.355943031	5.785477317	5.476329838	5.78347237	5.568849927	5.293407272	5.4261339
10038_i_at	4.50290339	4.513320189	4.008854364	4.481776833	4.726460689	5.181317269	4.609175783	4.441237786	4.238802142	4.385044426	4.411751629	4.417758019	4.646289406	4.56012186	5.05156352	4.928247132	4.579210325	4.92991879
10039_s_at	2.317272227	2.379815009	2.252012903	2.601877139	2.764261218	2.574174186	2.662556444	3.147106401	2.403709463	2.508012772	2.316756875	2.383369756	2.610792176	2.810562381	2.429048147	2.78213384	2.661304959	2.84428722
10040_at	1.048494285	1.472305798	1.49623735	1.647821033	1.821477569	1.870991971	1.46822879	1.739886977	1.226422212	1.269505986	1.296433913	1.577131496	1.659819548	1.47416604	1.263953831	1.87336044	1.54876705	1.997043054
10041_at	1.858542045	2.15444063	2.037926864	1.971508607	1.932779316	1.904117959	2.025152854	2.230802474	1.950584124	2.085829125	2.047527919	2.379052532	2.294561937	2.145357908	2.300741681	1.791780738	1.844180744	2.107393275
10042_at	1.290424404	1.42005116	1.402449327	2.100950744	1.419344721	1.65490292	1.540607604	1.598536718	1.46386306	1.902910968	1.51403639	1.811734062	1.513369463	1.350214338	1.789336969	1.630041956	1.368991789	1.561731818
10043_at	3.422111874	3.818339311	4.132535716	4.197456549	3.918529352	4.325501549	4.170750307	4.123633092	4.079992438	4.191136222	4.055204333	4.197605947	3.842164258	4.243257781	4.180346807	4.074676686	3.946206829	4.232138837
10044_at	4.993524922	5.534905128	5.684094965	5.729802896	5.282969783	5.489950691	5.723318274	5.895772778	5.778792056	5.823942929	5.962625366	5.501741665	5.481918878	5.904281769	5.585978041	5.845043374	5.773455741	5.452081413
10045_at	9.422140474	9.868427495	9.977179733	8.426252173	9.096277668	9.416993814	10.08577783	9.836410195	10.18633713	9.765146837	9.725845088	9.703154354	9.912021063	10.12154647	9.854280903	8.35946846	8.659303803	9.394160404
10046_at	1.575709259	2.007331869	2.017394605	2.081959935	1.558370505	1.881731174	2.171382989	2.082981838	2.200181026	1.630824799	2.173085847	1.786525271	1.685164225	2.227343695	2.025014616	2.100809492	1.900706473	1.645618663
10047_f_at	11.15400162	10.96070428	11.09132298	11.25470977	11.27682813	11.52930365	11.02169486	10.85887463	11.12054894	11.08998667	11.35470119	10.96449971	10.97670015	11.22765806	11.12796854	11.1802635	11.38952379	11.28408956
10048_at	2.727033877	2.929131979	2.959668162	3.452015499	3.349648353	3.346857634	3.317800416	2.701114298	3.24118579	2.799959707	3.147389741	3.158965484	2.775861763	3.410531063	3.185776176	3.229683279	3.556735948	3.30991103
10049_at	1.902729639	2.127702607	2.230461273	2.583884886	2.782926416	2.140228953	2.421864205	2.33094842	2.497980177	1.985933902	2.259383981	2.472906222	1.989840198	2.538570444	2.398106799	2.638185077	2.536662186	2.306457658
10050_at	4.990210637	5.178348145	4.179240321	6.404935471	6.569322472	6.544241166	5.726509735	4.872892768	5.84261937	5.246111613	5.779779753	5.189267136	4.941575862	5.749145385	5.796332986	5.692318389	6.459874196	6.33754341
10051_at	4.458283564	5.759086574	4.36881723	6.352790299	5.912331306	5.675271149	5.692011448	5.134890372	5.889220416	4.83579273	5.373923084	4.797817134	5.171290907	5.886791552	5.841553026	6.09457812	6.328371548	5.612175542
