ID_REF	GSM211831	GSM211832	GSM211833	GSM211834	GSM211835	GSM211836	GSM211837	GSM211838	GSM211839	GSM211840	GSM211841	GSM211842	GSM211843	GSM211844	GSM211845	GSM211846	GSM211847	GSM211848	GSM211849	GSM211850	GSM211851
10718_at	5.48653	5.55112	5.60945	4.83926	4.87029	4.8929	5.2048	4.94841	5.58031	5.44394	5.72191	5.14713	5.21244	5.36039	5.24764	5.79155	5.27794	5.35754	5.64943	5.14484	5.17774
10719_at	6.99382	7.19146	7.16205	6.68274	6.25636	6.23052	6.15037	6.40062	6.98704	6.15855	6.2953	5.71713	5.46654	5.44584	5.46548	5.69603	5.94182	5.55377	4.75394	5.32372	4.67668
10720_at	4.404	4.8586	4.65727	4.36124	4.65644	3.95867	4.79583	5.36296	5.68097	3.89257	4.37023	4.4912	4.17413	4.58367	4.41835	4.41397	4.85872	4.35056	4.67542	5.29652	4.48853
10721_at	11.5292	11.5909	10.8711	12.5189	12.5307	12.3956	12.3154	12.453	12.6217	12.3885	12.4027	12.5062	11.6386	12.0382	12.4518	11.8356	12.3231	12.6423	12.3377	12.2635	12.5482
10722_at	6.14937	5.70687	6.07946	7.54487	9.27674	9.0993	8.2926	8.31648	8.85571	9.98527	9.99194	9.88703	10.0816	9.91469	10.3883	8.81859	9.43247	9.53085	9.32667	9.27018	9.66445
10723_at	7.83492	8.02429	7.87906	8.33747	8.20545	8.14594	8.39997	8.46574	7.91632	9.88158	9.75207	9.13301	9.60094	9.71883	10.0708	9.07269	9.4865	9.87466	8.31263	8.26768	8.22471
10724_at	5.37492	5.35021	5.4877	5.19163	5.26504	5.19155	5.42812	5.52952	5.56135	5.38973	5.55404	5.00084	5.25722	5.24938	5.23673	5.39308	5.54556	5.34541	5.54744	5.81456	5.51124
10725_at	7.17407	7.38377	7.71171	8.33225	8.42565	8.57954	7.87108	8.10494	8.33001	9.48879	9.3867	8.96014	9.58026	9.13703	9.56786	9.24376	9.14037	9.93597	9.28636	9.38941	9.51611
10726_at	5.69693	5.79836	5.9338	5.89432	5.75057	5.59888	5.87191	5.74116	6.14078	5.73752	5.84196	5.71589	5.83179	5.4946	5.65433	5.45618	5.77793	5.34391	5.6911	5.81	5.43491
10727_at	9.00401	8.8985	9.19974	9.05605	9.22435	8.99601	9.17962	9.13125	8.79443	9.97492	9.9105	9.3616	10.7247	10.5202	10.3182	10.9633	10.7989	10.6289	10.6407	10.9901	10.5889
10728_at	9.04946	9.02029	8.93576	9.76651	9.16107	9.38207	9.53323	9.45851	9.29828	9.54871	9.58701	9.098	9.79431	9.64874	9.51214	9.97581	9.46615	9.41432	9.05295	9.50451	9.25503
10729_at	7.42818	7.24024	7.75814	6.06678	5.22767	5.5346	5.91048	5.77004	6.28409	5.56573	5.85575	5.18245	5.04355	5.01561	4.61327	4.54345	4.13799	4.05226	3.60021	4.61284	3.53018
10730_at	8.30967	8.15898	7.81835	6.60878	5.86795	5.81647	7.01109	6.65185	6.68221	5.94697	6.19274	5.66178	6.11674	6.33544	5.45269	6.23078	5.56784	4.73419	6.98679	6.11434	5.89465
10731_at	8.35777	7.97838	8.11176	8.99314	8.56905	9.06145	8.0026	8.47724	8.25072	9.55641	9.46986	9.2834	9.64841	9.94733	9.8473	10.331	10.0116	10.3076	10.778	10.4615	10.5602
10732_at	7.96674	7.89438	8.16933	8.36777	8.74464	8.79766	8.17485	8.34731	8.11302	9.61663	9.54778	9.42876	10.1687	9.90867	9.75694	8.58791	9.17999	9.82352	8.06555	8.60351	8.35278
10733_at	6.34503	6.03711	6.46263	7.2848	7.31532	7.32191	7.1911	7.13658	6.88625	7.01713	6.88682	7.21105	7.05881	7.09306	7.10535	6.68991	6.56685	6.55175	5.36065	6.39201	5.94183
