ID_REF	GSM1133094	GSM1133095	GSM1133096	GSM1133097	GSM1133098	GSM1133099	GSM1133100	GSM1133101	GSM1133102	GSM1133103	GSM1133104	GSM1133105	GSM1133106	GSM1133107	GSM1133108
1422721_at	6.9	44.3	22.3	27.5	35.9	48.2	2.2	50.6	24.2	7.4	36.5	11.8	24.3	23.9	11
1422722_at	5.7	36	37.3	8.6	22.2	7.3	48.5	7	29.5	5.4	39.7	44.9	30.8	8.2	18.6
1422723_at	57.1	88.6	113.7	64.6	54.8	36	86.5	90.1	92.7	17.5	46	79.1	8.8	25.2	12.2
1422724_at	4.5	4.7	4.3	4.9	1.6	4.6	3.8	7.1	5.7	2.3	4.5	5.9	8.2	2.4	5.9
1422725_at	6.4	32.3	67.5	38.8	53.5	36.6	16	14.6	35.3	7.1	29.9	22.9	5.9	14.3	7.9
1422726_x_at	5.1	12.8	21	9.4	1.6	1.3	13.5	24.8	34.8	0.5	0.9	14.9	5.4	1	32.2
1422727_at	13.3	50.1	61.1	34.1	47.5	38.7	52.7	82.7	48.7	65.8	47.5	10.2	38.8	7.5	11
1422728_at	71.9	68	71.7	63.7	47.4	24.9	34.8	29.4	39	24.7	32.9	28.6	6.5	36.3	49.7
1422729_at	1.9	1	27.8	34.2	20.6	13	2.3	32.3	25.1	5.1	3.9	17.5	3.2	2.4	14.1
1422730_at	776.8	1088	719.6	1032.7	702.2	869.3	1437	1160.5	776.8	811.2	769.5	1199.9	680.6	969	1140.7
1422731_at	2662.7	2908.5	3307.2	3106.2	3034.1	2675.4	3419	2668.6	3077	2330	3036.9	2912.3	2450.5	2756.3	2707.3
1422732_at	1278.5	2243.1	1108.6	1959.8	1152.9	1809.2	2403.9	1838.4	1143.7	1087.3	977.7	1282.8	1061.1	1093.8	1392
1422733_at	8.3	2.4	4.7	18.7	7.1	32.3	8.3	2.3	3.1	19.2	5.5	25.3	2	14.1	11.2
1422734_a_at	2499.2	2039	2469.3	2012.7	3284.9	2022	3656.4	1857.8	2102	2487.9	3103.1	1938	2024.4	2895.4	1790.5
1422735_at	36.6	58.4	39.3	36	44.2	44.4	32.6	61.1	56	42.4	47.5	51.3	46.4	79.3	57.5
1422736_at	1521.8	1456.7	1894.9	1747.6	1178.4	1035.7	1628.2	1657.5	1767.4	1425.5	1504.9	1758.9	1574.7	2742.6	1510.8
1422737_at	348	505.2	438.5	401.9	356.4	527.7	438.2	491.3	468.2	441.8	560.3	888.2	842.2	930.8	698.4
1422738_at	28.7	49.1	87.6	7.3	7	70.7	21.7	14.9	97.4	3.3	70.5	39.9	12.9	78.7	29.3
1422739_at	154	115.4	105.2	139.4	123.8	120.7	131.3	143.4	140.3	106.8	98.2	131.9	162	113.4	112.1
