ID_REF	GSM6711	GSM6712	GSM6713	GSM6715	GSM6717	GSM6726	GSM6728	GSM6729	GSM6730	GSM6731	GSM6732
7780_at	65.2	35.8	50.1	33.2	32.8	24.1	25.4	29.3	36.5	42.6	39.2
7781_at	18.3	12	16	12.9	10.3	3.7	5.1	10.9	10.1	13.6	16.8
7782_at	121.4	120.9	103.7	99.3	81.6	105.4	146.8	163.3	172.4	140.7	125.9
7783_at	516.6	674.6	445.8	391.1	539	329.2	297.2	285	462.2	419.5	451.9
7784_at	957.3	1901.6	275.8	534.6	1136.9	299	1817.2	193.2	2354.9	510.3	487.3
7785_at	618.4	411.4	980.5	566.6	367.5	600.6	683.1	619.4	657.7	557.6	436.8
7786_at	1154.2	1092.8	1194.5	632.7	1021.5	1397.6	1953.8	1556.9	1043	952.3	633.4
7787_at	149.8	119.6	156.2	114.5	148.2	136.8	127	175.6	112.3	193	147.5
7788_at	111.7	104.5	82.7	106	131.8	101.1	107.8	122.2	117.6	139.9	133.3
7789_at	28.6	37.9	29.1	39.1	33.9	37.7	16.6	27.5	42.2	122.5	102.1
7790_at	774.9	836.1	693.4	1009.3	993.7	735.4	656.5	809.8	825.1	1178.5	965.7
7791_at	222.7	240.6	272.1	173.9	283.5	208.2	278.7	245.5	294.8	562.2	469
7792_at	205.1	232.4	163	180.8	213.2	153	187.2	194.7	175.6	244.6	193.7
7793_at	494.9	554.9	452.5	432	442.4	392.9	446.5	473	379.7	470.5	411.1
7794_at	432.4	500.7	367.4	337	407.1	320.7	539.4	561.5	438	364.5	370.4
7795_at	1061.5	1642.5	1231.1	1605.8	1869.5	1273.4	1552	1527.5	1859.2	2064.5	1863.6
7796_at	347.2	349.9	367.6	206.5	274.1	237.2	346.9	375.4	342.3	483.7	466.1
7797_at	132.4	95.4	156.3	112.2	96.2	131.3	155.6	126.5	134.4	239.7	162.6
7798_at	124.4	139.7	142.5	123.1	145.9	128.4	126.9	161.4	150.1	160.3	134.1
7799_at	60.4	51.2	72.5	67.8	70.4	76.5	41.6	47.5	74.6	67.7	52.6
7800_at	351.5	259.2	301.9	178.5	237.2	365.3	439	431.3	224	309.7	144.2
7801_at	144.9	133	157.4	104.2	134.1	129.4	110.8	182.4	122.8	142.5	122.9
7802_at	219.6	284.7	223	221.8	298.3	239.2	231.6	269.8	337.1	192.5	257.1
7803_at	111.1	124.1	95.3	90.4	89.4	54.7	93.8	88.7	122.8	98.5	103.7
7804_at	109.2	116.4	120	93.3	89.8	112.4	128.1	148.6	111.2	107.4	116.4
7805_at	145.4	165.9	228	128.2	172.9	160.5	172.2	216.4	219	152.3	136.1
7806_at	7756.3	7509.8	9757.5	7489	7618.2	8401.7	7518	7544.1	7890.4	6379.4	7562.7
7807_at	325.5	386.1	247.4	209	234.8	193.5	186.9	263.8	296	254.7	224
7808_at	10.6	14.1	14	16.1	18.3	14.5	15.8	18.7	22.4	12.9	21.4
7809_at	103.4	67.2	79.2	85.3	90.4	78	69.3	124.7	111.7	106.9	76.8
7810_at	2.9	0.6	3.2	1.7	2.1	10.7	5.9	12.1	4.2	5.2	2.4
7811_at	15460.4	12147	18075.9	14372.6	13355.2	17479.1	13528.1	13896.3	13601	12562.6	13631.6
7812_at	1242.8	795.3	767.9	1136.2	543.6	852	705	695.5	641.1	1417	1236.2
7813_at	49.1	44	49.6	50	30.8	45.2	39.4	46.5	61	50.5	50
7814_at	221.4	270.3	231.1	236.2	268.8	209.2	289.8	179.9	292.7	190.3	225
7815_at	129.6	124.5	154.5	111.5	112.7	107.2	105.9	130	122	88.7	92.1
7816_at	3.8	1.6	4.5	2.8	2.8	4.3	1	3.1	3.2	5.4	2.9
7817_at	35.6	23.6	31.1	22.9	20.6	46.1	21.3	46.5	34.2	30	33.6
7818_at	118.8	83.6	114.7	109.8	97	84.4	166.8	146.4	141.6	185.1	171.3
7819_at	89.2	93.8	78.9	78.2	112.4	75	117.5	97.5	116.8	135.1	123.6
7820_at	81.1	78	66.2	77	76.9	73.3	93.4	98.2	54.8	74.7	94.7
7821_at	63.8	69	91	45.8	82.5	66.5	70.6	119	59.6	91.9	53.7
7822_at	277.4	304.3	285.3	424.1	390.1	276.7	222.1	248.8	424.3	420.2	517.2
7823_at	218	155.2	193.3	201	185.1	187.3	239.8	243.1	285.9	287.3	247.8
7824_at	125.7	155.1	155.4	141.6	164.7	146.5	152.7	165.7	196.9	170.2	151.5
7825_at	132.1	162.9	136	108.5	160.9	119.7	130.5	164.5	139.9	176.6	125.4
7826_at	598.1	520.4	523.4	476	565.2	554.3	553	597	512.8	415.5	337.9
7827_at	30.1	14.8	21.2	29.8	18.7	18.3	10.4	12.8	17.2	29.5	13.9
7828_at	4446.1	2892.1	4277.1	3158.5	3195.2	3827.2	2180.8	2120.6	2387.7	3840.7	3874.3
7829_at	24.8	29.1	23	31.9	24.5	28.7	23.3	26	31.1	37.2	41.9
7830_at	852.1	862.4	837.4	1007.5	990.4	804.3	911.4	797.3	962.7	935.4	1263.4
7831_at	850.4	1117.9	1183.7	1277.9	1251.5	1188.8	1028.7	1836.1	2152.6	878.3	1320.3
7832_at	542.3	490	233.2	490.6	502.9	211.1	231.5	147.2	363.8	832.3	866.2
7833_at	187.6	233.9	206.9	125.6	198.7	154.6	129	183.6	186.6	144.2	171.3
7834_at	333.8	341.7	369.6	278.7	364.8	364	460.6	452.2	433.2	287.1	306.5
7835_at	193.7	113.6	152.7	172.1	173.1	178.3	192.8	177.4	202.8	167.3	184.7
7836_at	36.2	54.1	50.2	62	53.8	57.1	49.6	54.3	62.7	43.6	51.4
7837_at	1698.1	1703	1825	1827.9	1473.1	1302.8	1356.8	1187.5	1403.2	1528.2	1751.3
7838_at	108.1	57.1	54.9	73	42.6	62.7	49.9	70.3	73.9	79.6	89.9
7839_at	327.9	298.9	320.8	294	303	250.9	253.4	277.1	342.7	323.5	298.5
7840_at	123.3	215.9	151.1	140.7	163.2	106.4	125.8	147	150.4	197.4	246.3
7841_at	2281.9	2269.9	2128.1	2014	2051.2	2123.2	2194.8	2146.3	1946.6	1915.7	1988.4
7842_at	1305	1750.1	1500.6	761.6	1330.5	1105.5	1856.3	1544.8	876.3	1175	833.4
7843_at	790.7	1135.6	1013.6	531.4	1131.6	595.4	754.2	771.9	687.8	554.4	533.1
7844_at	1064.5	1209.7	1074.3	1155.4	1451.8	1063.1	965.1	1189.7	1085	1005.8	1002.7
7845_s_at	5562.6	4898.3	5245.1	5726.7	5950.8	5329	5033.7	5971.3	5002.7	5529.4	5289.7
