ID_REF	GSM140786	GSM140800	GSM140801	GSM140802	GSM140803	GSM140804
7870_at	2380.9	1420.6	1932	2608.2	1326.2	2551.3
7871_at	252.8	339.7	197.4	220.7	363.3	400.4
7872_at	1344.7	735.9	895.6	1265	689.3	804.2
7873_at	1458.9	869.9	1261.5	1312.7	871	1169.9
7874_at	7863.7	8713.6	9901.4	6051	6752.7	9228.2
7875_at	2544.9	2640.6	2272.6	910.3	1850.8	1212.2
7876_at	2093.9	748.6	1488.7	681.8	693.7	711
7877_at	869	585.3	676	425.5	585.3	918.3
7878_at	40.8	43.8	31.8	30.9	39.8	51.3
7879_at	1180.8	967.8	1794.2	747.4	594.2	1316.7
7880_at	255.2	361.3	270.3	125.2	394	645.4
7881_at	3347	2901.5	2359.2	2823.5	2509.3	2514.2
7882_f_at	14369.3	15483.3	12200.4	15686.1	15973.4	11855.4
7883_at	122.6	336.5	105.6	424.2	425.1	97.8
7884_at	404.1	915.1	660.7	408	785.7	626.6
7885_at	883.8	695.7	680.6	862.7	603.3	652.8
7886_at	541.7	671.8	673.2	390	491.8	659.9
7887_at	1458.4	890.9	1318.2	1504	779	1133.6
7888_at	838.3	129.3	518.7	509.9	176.7	688.9
7889_at	55.4	7	57.9	15.8	49	56.8
7890_at	4010.9	687.7	898.5	1305.7	1032.6	2210
7891_at	1230.4	541.2	723.9	734.2	837.7	909
7892_at	1358.1	799.8	927.1	635.9	806.8	796.3
7893_at	1164.5	733.8	895.1	722.5	594	919.5
7894_at	28326.8	25622.2	22361.9	29424.5	22386.3	20675.9
7895_at	74.8	29.3	59.6	521.3	68.5	262.8
7896_at	4258	4651.1	4628.4	4215.5	3259.5	3523.2
7897_at	498.8	423.4	670.3	441	183.6	839.2
7898_at	667.7	719.7	1076.3	401.7	711.2	1587.8
7899_at	2582.3	2622.3	2731.6	2698.6	1589.6	2547.4
7900_at	748.2	1014.1	859.1	257	435.8	334.3
7901_at	559	410.5	708.7	548.3	302.6	625.3
7902_at	273.7	139.2	208.1	141.8	178.8	193.7
7903_at	792.3	378.3	557.2	434.4	490	395
7904_at	2	3.9	0.8	15.6	22.2	12.5
7905_at	7.8	5.6	19.5	17.5	9.3	38.3
7906_at	864.9	711.4	717.1	927.4	726.5	806.7
7907_at	7437.8	5091.6	7398.5	4982.6	5007.2	7924.1
7908_at	82.9	66.1	49.1	58.2	74.2	173.8
7909_at	697.3	611.2	611.8	1213.4	305.6	667.8
7910_at	2800.2	3447.6	3098.7	2842.1	2451.5	2766.5
7911_at	560.9	217.3	168.3	160.8	264.5	763.9
7912_at	2085.6	1812.8	2565.3	2547.6	1730.3	1893.7
7913_at	504.7	572.4	907.5	950.2	393.3	1028.8
7914_at	432.8	504.4	432.8	516.2	380.5	515
7915_at	531.1	748.6	641.9	341.7	849.6	842.2
7916_at	7274.4	6052.4	8179.7	8699	9525.4	9873.6
7917_at	340.3	96.1	360.6	351.3	116.9	350.3
7918_at	510.7	442.3	436.8	620.3	677.8	510.7
7919_at	1265.2	849.1	956.8	1174.9	1029.3	999.2
7920_at	619.7	603.8	382.2	751	472.6	423.2
7921_at	1544.3	1432.7	1352.3	1582.7	1343.6	1472
7922_at	814.4	401.2	621.7	1585.3	491.6	971.7
7923_at	346.7	369.8	448.7	294.2	461.7	496.5
7924_at	235.5	393.7	240.7	221.6	368.2	446.6
7925_at	403.7	166.3	323.4	582.3	210.8	389.1
7926_at	816.2	748.7	928.9	904.2	625.1	1333.9
7927_at	130.9	178.9	94.8	193.3	205.9	134.8
7928_at	138.2	513.3	295.3	141.3	558.1	501.3
7929_at	6.8	27	6.2	39.1	36.4	37.6
7930_at	629.6	813.8	860.7	712.8	865.1	1066.2
7931_at	2795.2	1517.9	1459.4	2197	1945.4	2208.9
7932_at	5266.3	3938.3	5574.6	4656.4	2961.5	4725.2
7933_at	21.3	27.3	37.4	42.5	68.5	46.6
7934_at	712.7	818.5	1012	811.6	891.1	868.9
7935_at	2528.9	2312.1	2220.2	2536.1	1883.7	1851.3
7936_at	178.2	147.7	215.9	147.9	166.6	490.1
7937_at	5221.5	4488.5	5453.9	5673.6	4342.8	4508.4
7938_at	3001.4	2616.9	2692.7	3498.2	2666.4	3223.1
7939_at	1889.2	1705	1732.7	1513.1	1859	2038.4
7940_at	1003.3	912	800.9	1119.8	1276.8	1112
7941_at	283.6	262.7	257	307.6	283.7	273.9
7942_at	2148.8	1120.5	1526.2	1414.4	902.4	1727.7
7943_at	1945.6	1018.6	1491	1336.8	708	1049.6
7944_at	601.2	481.3	350	456.2	402.8	333.4
7945_at	4426.4	3924.6	3093	2738.5	4357.7	3235.9
7946_at	2585.8	2205.3	2807.9	2105.9	1888.6	2486.1
7947_at	2211.4	2779.9	2380.8	1635	2947.2	2426.6
7948_at	2629.3	2409.3	3337.7	1969.8	1852.7	2282
7949_at	665	210.1	685.8	555	163.9	599.3
7950_at	763.1	810.9	1316.1	907.4	531.2	1223.6
7951_at	6181.5	5193.4	4939.9	6813	4509.8	4537.9
7952_at	2061.3	1528.4	1687.6	1697.1	1551.7	2582.5
7953_at	60.5	87.4	95.7	50.3	102.8	97
7954_at	5896.5	3998.2	5693.3	6512.8	3118.7	4635.1
7955_at	1398.6	1604.4	1071	932.7	1514.3	1423.6
7956_at	317.4	122.8	234.4	196.4	138.4	477.5
7957_at	141.8	47.6	78.2	106.1	34.7	81
7958_at	4.4	0.9	15.2	19.1	1.4	1.5
7959_at	7221	5782.9	6067.7	4580.4	4715.3	4122.5
7960_i_at	17832.3	4579	9328.7	5287.3	2730.3	7300.4
7961_f_at	4348.3	1566.2	1872.8	892	1735.9	1934.6
7962_s_at	20307.8	14582.7	16276.9	12231	15189.5	15343.5
7963_at	75.5	129.6	57.4	180.5	127.1	60.9
7964_at	704.1	1403.7	524.8	744.7	1041.9	659
7965_at	552.5	627.3	864.2	695.3	330.9	769.4
7966_at	185.1	134.6	168.1	174	103.6	184.5
7967_at	985.3	1122	766.2	811	788.9	947.7
7968_at	78.4	75.4	68.5	181.6	73.4	96.4
7969_at	55.1	80.1	55.7	67.5	74.7	108
7970_at	4448.8	3947.9	4076.8	1904.5	4854.9	5139.2
7971_at	773.6	652.4	672.8	207.5	281.7	347.9
7972_at	5950.1	3929.9	4562	3686	3696.9	3460.6
7973_at	11409	13921.2	13901.2	7894.6	13395	11029
7974_at	193	1165.5	191.6	156.9	1286.6	212.3
7975_at	250.8	193.7	227	163.2	163.8	466.5
7976_at	101.3	220.1	253.4	83	181.3	238.7
7977_at	2108.6	2174.5	1913.4	2216.4	1669.6	2393.7
7978_at	4438.3	2947.3	4826.4	3096.2	1967.6	6649.4
7979_at	2406.5	2743.1	2583.4	2824.6	1949.5	3038.9
7980_at	567.1	690.4	391.5	476.6	471.9	530.1
7981_at	354.9	118.4	160.8	708.1	96.2	295.7
7982_at	1162.5	541.2	749.9	1522.8	492.2	876.2
7983_at	5365.3	4030	4594	7363.7	3567.1	5309.8
7984_s_at	18478.7	18170.2	15567.5	18842.7	18026.7	15726
7985_at	139.7	243.3	147.1	191.1	263.5	235.9
7986_at	7497.1	7411.7	7150.5	8564.1	7518.3	7632.5
7987_at	2705.6	3137.2	3901.5	3055.8	3049.5	3102.8
7988_at	72.7	41.1	83.8	68.9	44.2	80.4
7989_at	1252.5	1113.5	1397.7	1330.1	907.9	1582.7
7990_at	1451.2	988.1	1061.5	1485	1152.4	1388.5
7991_at	793.6	810.8	834.5	976	933.6	1016.7
7992_at	2317.3	1869.6	3273.4	2100.4	1859.5	3475.1
7993_at	1717.1	1144.9	3137.5	2047	1267	3832.8
7994_at	151.4	203.9	316	189.2	146.7	339.3
7995_at	560.3	530.2	859.3	633.3	444.1	807.8
7996_at	20.3	12.8	54.9	35.7	15.8	87.2
7997_at	7668.2	4895.4	4800.6	7690.8	4062.9	5343.1
7998_at	55.1	51.8	14.3	20.9	50.5	13
