ID_REF	GSM94555	GSM94587	GSM94589	GSM94590	GSM94403	GSM94538	GSM94539	GSM94540	GSM94591	GSM94592	GSM94593	GSM94594	GSM94595	GSM94596
8302_at	1238.7	1066.2	903.3	1013.3	988.5	1146.3	782.1	1183.9	1339.8	1513.9	984.2	1450.7	1191.9	636.2
8303_at	43.3	53.3	56.1	77	93	137.3	95.7	144	105.9	84.4	72.5	127.1	115.2	100.6
8304_at	1840.1	2122.1	1402.7	1694.5	1977.4	1757	1292.9	1947.6	1658	1584.6	1172.3	2441.2	2324.8	1487.2
8305_at	429.3	457.3	1301.9	691.8	411.7	346.4	911.7	410.6	719.6	434.2	963.9	417	491.4	692.5
8306_at	1554.7	1204.5	2767.2	2593.2	847.9	1473.7	2179.4	2126.2	1835.3	2334.2	1944.9	1310.3	1425.5	1554.4
8307_at	3211.7	3294.7	3240.7	3662.5	3132.1	3454.6	2739	3913.4	3711.3	3192.4	3015.7	3239	2933.5	2397.7
8308_at	89.3	117.4	84.1	172.3	138.5	199.7	143.3	211	108.6	125.7	111.9	131.4	156.9	141.8
8309_at	2347.6	2670.9	3899.4	2726.2	2992.5	3475.3	3969.5	2681.1	3504.8	3141.5	3357.4	2511	2712.6	2971.1
8310_at	630.5	659.9	761.9	661.3	599.3	687.2	625.6	635.9	487.5	550.3	597.5	489.3	486.3	500.4
8311_at	1790.2	2100.1	1935.4	2018.5	2302.6	2305.8	1947.7	2274.6	1830.8	1946.8	2034.6	1518.5	1312.2	1639.1
8312_at	3151.7	3891.1	3512.5	2777.1	3011.6	3191.5	2647.4	2613.7	4170.7	3935.4	2897.2	3106.3	2936.3	2798.1
8313_at	14734	13942.5	15135.3	11255.6	14834.8	14349.8	11306	9685.2	11000.3	11793.9	13823	11716.3	13296.5	7763.1
8314_g_at	12758.3	13862.5	14161.5	10458.6	13381.5	12875.8	10253.2	9151.7	9583.3	11761.2	12767.4	8637.7	11069.5	6595.6
8315_i_at	5953.7	6516.1	6341.9	4719.1	5677.4	5578	4315.3	3745.3	5097.4	5617.1	4756.3	2852	3452.6	2541.7
8316_at	272.8	381.5	470.9	467.1	443.2	404.5	283.7	299.3	427.2	445.2	469	277.1	303.3	394.2
8317_at	785	958.5	1021.6	1003.6	679.8	651.6	453.7	613.2	790.5	742	608.7	578.5	578.5	525.7
8318_at	3631	4546.9	3212.4	3150.2	3327.9	4183.7	2175.9	3339.1	3314	4225.5	2039.2	1869.1	1651.9	1419.7
8319_at	954.3	1339.4	1353	760.5	928.2	1086	907.8	669	1144.6	1604.4	760.7	592.3	527.1	644.7
8320_at	3974	4360.4	6061	5144.4	2927	3356.4	4588.8	4772.9	4356.2	4168	5100	2970.9	3178.6	2074.5
