ID_REF	GSM112931	GSM112935	GSM112942	GSM112943	GSM112945	GSM112946	GSM112947	GSM112948	GSM112949	GSM112950	GSM112952	GSM112962	GSM112963	GSM112964	GSM112965	GSM112967	GSM112968	GSM112970	GSM112971	GSM112972	GSM113345
148341_at	1.137503524	1.5360529	-0.736965594	1	1.137503524	-0.152003093	0.263034406	0.137503524	1	1.137503524	-0.152003093	-1.321928095	-0.514573173	1.070389328	0.765534746	0.765534746	0.137503524	0.847996907	0.847996907	0.263034406	1.137503524
148342_at	4.426264755	4.03562391	4.754887502	4.321928095	5.87774425	5.95419631	3.523561956	4.760220946	4.217230716	4.986410935	4.314696526	4.193771743	3.827819025	5.343407822	3.608809243	5.566815154	4.744161096	6.259272487	5.887525271	3.472487771	4.392317423
148343_at	2.584962501	2.765534746	3.070389328	5.711494907	3.632268215	1.584962501	1.847996907	3.419538892	3.817623258	3.053111336	2.584962501	2.765534746	2.786596362	3.121015401	3.548436625	3.62058641	2.201633861	2.10433666	3.017921908	3.053111336	2.263034406
148344_at	4.399171094	1.263034406	4.626439137	5.675251386	5.165911939	4.008988783	1.963474124	4.812498225	5.346956889	4.590961241	3.897240426	2.608809243	1.378511623	3.548436625	3.277984747	3.510961919	3.121015401	5.116863758	4.485426827	4.812498225	4.478971805
148345_at	4.478971805	4.87774425	2.232660757	3.378511623	2.510961919	1.485426827	1.070389328	2.765534746	2.10433666	2.070389328	2.10433666	1.485426827	2.744161096	2.378511623	2.03562391	4.129283017	2.963474124	1.584962501	1.925999419	1.137503524	2.510961919
148346_at	4.10433666	4.672425342	5.03562391	4.112700133	3.292781749	3.459431619	3.392317423	4.40599236	4.121015401	4.517275693	2.925999419	4.666756592	4.614709844	3.523561956	3.887525271	2.655351829	4.145677455	3.711494907	3.392317423	3.321928095	4.590961241
148347_at	3.485426827	2.906890596	4.478971805	5.416164165	2.981852653	4.678071905	2.292781749	3.350497247	2.867896464	3.44625623	3.169925001	2.584962501	3.277984747	5.419538892	4.602884409	2.485426827	2.827819025	3.459431619	2.070389328	2.632268215	3.053111336
148348_at	0.847996907	1.263034406	1.070389328	3.786596362	3.40599236	1.485426827	0.925999419	1.321928095	1.5360529	2.5360529	1.070389328	2.03562391	1.263034406	1.432959407	1.722466024	2.459431619	1.722466024	2.632268215	2.765534746	2.963474124	2.070389328
148349_at	5.368069877	4.930737338	4.419538892	3.321928095	6.378511623	3	5.5360529	3.700439718	5.100136671	5.303780748	6.64096791	3.217230716	4.744161096	6.287250643	3.916476644	5.419538892	2.906890596	3.765534746	4.121015401	5.285402219	5.532940288
148350_at	2.560714954	2.378511623	3.40599236	2.169925001	4.906890596	1.137503524	1.807354922	3.10433666	2.887525271	3.523561956	2.292781749	2.807354922	3.700439718	3.678071905	2.459431619	2.350497247	2.827819025	2.632268215	1.137503524	3.169925001	3.087462841
148351_at	6.845490051	7.23935985	6.477353527	6.790511412	4.044394119	5.714245518	6.217230716	7.43629512	6.139551352	6.904484098	7.09592442	6.58345891	6.525129251	6.50779464	3.350497247	5.997744026	4.837943242	6.357552005	6.87774425	6.577428828	7.241268177
148352_at	5.590961241	4.842978832	5.686500527	6.055282436	5.705977902	6.729280846	7.38024459	7.083213368	6.981852653	5.491853096	6.053111336	5.652486495	5.177917792	5.632268215	5.783980414	6.44625623	5.947198584	6.705977902	5.781359714	6.14363831	6.613236955
148353_at	4.689299161	6.078951341	5.409390936	4.925999419	4.09592442	5.185866545	4.329123596	6.116863758	6.133399125	5.733354341	5.87282876	4.277984747	3.655351829	4.705977902	4.902073579	2.378511623	5.675251386	4.62058641	4.061776198	4.432959407	5.608809243
148354_at	0.485426827	5.9795681	2.510961919	2.169925001	4.802193217	1	0.765534746	4.217230716	2.5360529	1.070389328	1.485426827	0.678071905	3.847996907	1.321928095	2.786596362	0.678071905	4.008988783	1.321928095	0.765534746	0.765534746	0.584962501
148355_at	4.689299161	4	4.485426827	4.683696454	5.754887502	4.217230716	4.584962501	4.385431037	4.137503524	5.649615459	4.399171094	4.572889668	4.329123596	5.232660757	4.797012978	5.292781749	5.381975479	4.62058641	4.10433666	4.678071905	4.357552005
148356_at	0.925999419	2.292781749	2.786596362	3.632268215	3.897240426	1.847996907	2.722466024	3	3.711494907	2.722466024	2.867896464	2.070389328	2.350497247	2.5360529	3.10433666	1.765534746	3.485426827	3.797012978	4.053111336	2.786596362	3.572889668
148357_at	5.432959407	4.343407822	4.459431619	5.354028938	5.057450272	3.40599236	4.459431619	5.129283017	5.06608919	5.593951284	5.862947248	4.584962501	5	3.137503524	5.108524457	4.255500733	2.169925001	5.48864354	5.026800059	4.177917792	5.193771743
148358_at	1	5.43629512	2.292781749	4.292781749	1.263034406	1.137503524	0.137503524	1.070389328	3.485426827	3.584962501	3.201633861	-0.736965594	0	1.321928095	4.017921908	-0.152003093	2.510961919	-1	2.350497247	0.847996907	0.485426827
148359_at	3.817623258	6.426264755	4.224966365	3.722466024	4.070389328	3.847996907	3.459431619	4.862947248	5.686500527	4.459431619	4.087462841	3.185866545	3.655351829	3.700439718	3.64385619	3.906890596	6.483815777	4.765534746	3.596935142	2.700439718	5.346956889
148360_at	2.169925001	2.632268215	5.09592442	3.523561956	3.722466024	2.765534746	4.517275693	3.689299161	6.03562391	3.5360529	5.652486495	5.044394119	4.842978832	5.181897643	5.614709844	3.232660757	5.133399125	6.161887682	5.949534933	5.827819025	3.786596362
148361_at	7.780047576	7.232660757	7.828453874	7.637349411	6.910492832	7.146695948	7.218199944	8.553437306	7.997179481	8.206526016	8.205060111	7.338067798	7.615445725	7.733354341	6.840463234	7.207502459	7.831623937	7.678776174	7.355791547	7.362820526	8.152284842
148362_at	5.251719093	4.053111336	2.963474124	5.224966365	4.921245889	2.722466024	3.378511623	3.432959407	4.09592442	4	5.672425342	2.867896464	4.744161096	6.020146573	5.602884409	3.364572432	2.807354922	2.847996907	2.722466024	3.776103988	5.689299161
148363_at	4.201633861	6.181897643	4.008988783	5.074676686	2.700439718	3.485426827	3.321928095	6.078951341	6.249824549	4.263034406	4.292781749	5.557655155	6.118941073	4.517275693	6.422905743	5.462706751	4.412781525	4.121015401	6.201633861	4.614709844	6.689299161
148364_at	2	5.44625623	1	2.03562391	4.169925001	1.722466024	1.963474124	3.87774425	5.686500527	2.070389328	0.378511623	2.906890596	3.963474124	3.070389328	4.121015401	3.070389328	3.017921908	1.137503524	4.485426827	4.314696526	0.765534746
148365_at	7.050936965	7.499845887	6.736063628	6.769507291	6.008988783	6.478971805	7.004501392	7.533719071	6.992088609	6.976134473	7.492654371	6.985272714	7.126188211	7.166916252	6.887525271	6.6395216	7.025693274	7.21916852	7.142617655	7.30560579	7.474111514
