ID_REF	GSM572552	GSM572553	GSM572554	GSM572555	GSM572556	GSM572557	GSM572558	GSM572559	GSM572560	GSM572561	GSM572562	GSM572563	GSM572564	GSM572565	GSM572566
Pc21g09180_at	5.914086097	6.108524457	5.902073579	6.022367813	5.974988112	5.649615459	5.794415866	6.070389328	6.195741293	6.226893814	6.01346226	6.110613806	6.135452784	6.777419716	6.586464526
Pc21g09190_at	4.649615459	4.649615459	4.66106548	4.510961919	4.560714954	4.626439137	4.802193217	4.590961241	4.649615459	4.694880193	4.87282876	5.09592442	4.632268215	4.336283388	4.572889668
Pc21g09200_at	7.315602457	8.17292749	7.235535607	6.64385619	6.461070114	7.078951341	8.782670659	7.820178962	6.770829046	6.671010241	7.490249211	7.673132372	7.503030646	9.398529944	8.457380879
Pc21g09210_at	6.093813673	7.125155131	8.071998581	8.087993146	7.772149591	6.48703608	6.371558863	6.648177796	6.226893814	6.610286657	8.579693063	7.692092375	9.282625134	9.960146774	8.900263044
Pc21g09220_at	6.87036472	7.110613806	6.849248703	7.057450272	7.744833837	7.375039431	7.663913842	8.393175914	8.506605116	8.025139562	7.301953395	6.685099172	6.955359305	8.456559766	7.328226119
Pc21g09230_at	10.15101654	9.587214952	9.485628082	9.261389773	9.425006041	9.73809226	9.73437092	10.38694025	9.796526375	9.17292749	9.12593001	8.741129869	8.996332249	9.135965742	9.103025476
Pc21g09240_at	8.271929844	7.124121312	6.362820526	6.373300197	6.325530332	7.917670434	6.355791547	7.590212761	7.001126665	6.100136671	7.934870291	7.256444596	7.73809226	7.159871337	6.996614715
Pc21g09250_at	7.087462841	5.64096791	4.847996907	5.044394119	4.548436625	6.247927513	4.357552005	4.638073837	4.329123596	4.270528942	5.449561375	5.121015401	5.161887682	4.578938713	4.683696454
Pc21g09260_at	13.03651707	11.5703301	10.01402047	10.92703717	9.953759945	12.6022349	9.106955457	9.007307647	9.561860708	7.736740155	11.65060302	10.76652891	10.58308277	9.810732282	9.977279923
Pc21g09270_at	9.265849421	8.318768743	8.060155495	8.20310325	8.010108453	9.48984796	8.090641752	8.842978832	8.547665748	8.169423979	10.1382718	9.070657661	9.217473084	9.788718333	8.645658432
Pc21g09280_at	6.772149591	6.223036338	6.364572432	5.993221467	6.12722055	6.518849829	6.309248961	5.791814071	6.026800059	6.368069877	6.980710829	7.145677455	6.8008999	6.587964989	6.711494907
Pc21g09290_at	7.892998093	7.921245889	8.010108453	7.986410935	8.001126665	7.724513853	8.042753761	7.791162889	7.695576306	7.649615459	7.381975479	7.524345816	7.498250868	8.092228584	8.190812368
Pc21g09300_at	9.70269217	9.298291731	8.444600814	8.57251076	8.027353134	10.31061278	9.692441147	9.748360595	10.39016896	9.873905455	10.4314976	9.154058596	8.920055055	9.315376027	8.6463787
Pc21g09310_at	8.324630615	8.048759312	8.416586438	8.30833903	8.304693557	8.257387843	7.957102042	8.156335937	8.09011242	8.139551352	7.758223215	7.733354341	8.170926525	8.284477118	7.884475819
Pc21g09320_at	7.671010241	7.612499946	7.688600011	7.74819285	7.694183743	7.640244936	7.795715007	7.77016832	7.537606691	7.483009577	7.408542042	7.251719093	7.307428525	7.193771743	7.330020516
Pc21g09330_at	4.087462841	4.061776198	4.129283017	4.145677455	4.044394119	4.10433666	4.169925001	4.137503524	4.070389328	4.161887682	4.201633861	4.263034406	4.232660757	4.09592442	4.137503524
Pc21g09340_at	4.224966365	4.459431619	4.10433666	4.053111336	4.070389328	4.371558863	4.161887682	4.277984747	4.385431037	4.350497247	4.517275693	4.452858965	4.5360529	4.263034406	4.307428525
Pc21g09350_at	8.337175869	7.77807713	7.256444596	7.288173968	7.736063628	8.826866227	7.960001932	8.277054876	8.523561956	8.615077832	8.852997588	8.476948673	8.57251076	8.656424863	8.384136172
Pc21g09360_at	5.125155131	4.867896464	4.632268215	4.655351829	4.760220946	5.632268215	4.807354922	5.125155131	5.070389328	4.977279923	4.921245889	5.426264755	7.394891366	8.727920455	9.196233261
Pc21g09370_at	7.300123725	7.432959407	7.056366761	7.190812368	6.912889336	7.063934306	7.46760555	7.162894799	7.060695932	6.943686952	7.572889668	7.400879436	7.420381341	7.646018611	7.209453366
Pc21g09380_at	5.722466024	5.61176256	5.584962501	5.442943496	5.62058641	5.638073837	5.626439137	5.700439718	5.554588852	5.746850183	5.935459748	5.64096791	5.517275693	5.563768278	5.548436625
Pc21g09390_at	7.400879436	7.627898616	8.130827934	7.791162889	7.969818186	8.039467438	7.688600011	8.71630504	8.139039668	8.025693274	6.808642468	6.574404309	6.721099189	7.735386783	6.756222713
Pc21g09400_at	5.078951341	5.100136671	5.336283388	5.217230716	4.977279923	5.22881869	5.388878339	5.797012978	5.799605422	5.949534933	5.64385619	5.462706751	5.456149035	5.87036472	5.314696526
Pc21g09410_at	5.623515741	5.532940288	5.548436625	5.432959407	5.255500733	5.472487771	5.754887502	5.804776378	6.0725346	5.746850183	6.133399125	6.169925001	5.523561956	5.956521363	5.395748328
Pc21g09420_at	6.549977143	7.089582893	7.194756854	6.982993575	6.996614715	7.349612972	7.396604781	8.208965886	8.269126679	7.937226674	6.686500527	6.068240861	6.809928866	7.684397984	6.464341533
Pc21g09430_at	6.934280594	7.501439145	7.758223215	7.21916852	7.334496768	7.841092545	7.976707312	8.804131021	8.66498053	8.460251099	7.290940402	7.007868243	7.263973355	8.248402006	7.033423002
Pc21g09440_at	4.378511623	4.364572432	4.153805336	3.981852653	4.008988783	4.193771743	4.129283017	4.314696526	4.277984747	4.307428525	4.224966365	4.378511623	4.357552005	4.247927513	4.129283017
Pc21g09450_at	5.145677455	5.040015679	4.911691582	4.949534933	4.744161096	4.5360529	4.963474124	5.10433666	5.083213368	4.897240426	5.083213368	4.882643049	4.776103988	4.921245889	4.827819025
Pc21g09460_at	4.201633861	4.432959407	4.485426827	4.153805336	4.263034406	4.426264755	4.232660757	4.300123725	4.169925001	4.224966365	4.307428525	4.224966365	4.209453366	4.185866545	4.224966365
Pc21g09470_at	4.760220946	4.887525271	4.727920455	4.807354922	4.649615459	4.862947248	4.99095486	4.817623258	4.722466024	4.765534746	4.882643049	5.031218731	4.626439137	4.472487771	4.744161096
Pc21g09480_at	7.026800059	7.094869433	7.478162893	8.266786541	8.8008999	6.711494907	6.965784285	6.061776198	5.783980414	6.199672345	8.636624621	9.829405624	9.694009578	9.801546703	9.541871009
Pc21g09490_at	4.916476644	4.722466024	4.935459748	4.744161096	4.906890596	4.949534933	5.01346226	4.744161096	4.925999419	4.749534268	5.364572432	5.133399125	5.031218731	4.786596362	4.887525271
Pc21g09500_at	4.802193217	4.781359714	5.01346226	4.738767837	4.705977902	4.842978832	4.847996907	4.54225805	4.765534746	4.921245889	4.892391026	4.760220946	4.862947248	4.655351829	4.510961919
Pc21g09510_at	5.587964989	5.714245518	5.510961919	5.472487771	5.566815154	5.554588852	5.551516018	5.770829046	5.498250868	5.64385619	5.822730148	5.66106548	5.697662633	5.632268215	5.545350645
Pc21g09520_at	6.960001932	8.354469792	8.886611112	9.218684313	7.912290583	4.465974465	4.478971805	4.255500733	4.329123596	4.426264755	4.572889668	4.478971805	4.584962501	4.608809243	4.10433666
Pc21g09530_at	4.683696454	5.169925001	5.972692654	6.048759312	6.464341533	4.797012978	5.044394119	5.061776198	4.754887502	4.852997588	5.22881869	5.649615459	5.744161096	6.343407822	5.399171094
Pc21g09540_at	6.359310317	7.520422249	8.196725061	8.843921051	9.77626852	5.605849867	7.354028938	6.584962501	6.400879436	6.409390936	9.384136172	11.13699111	11.4152136	11.20518233	11.13635034
Pc21g09550_at	5.599912842	5.614709844	5.689299161	5.885086225	6.270528942	5.412781525	5.498250868	5.452858965	5.602884409	5.465974465	5.672425342	5.807354922	6.029011087	6.270528942	6.008988783
Pc21g09560_at	10.02375435	9.977279923	10.40087944	10.28424575	10.27496047	10.21674586	9.677895784	9.890720273	9.767853393	9.816343705	9.918863237	9.408329741	9.66106548	9.801869996	9.402798907
Pc21g09570_at	5.658211483	5.700439718	5.426264755	5.482202926	5.121015401	6.024585638	5.482202926	5.087462841	5.087462841	5.044394119	5.343407822	5.057450272	5.091699834	5.61176256	5.498250868
Pc21g09580_at	7.899659026	7.618385502	7.311067102	7.309248961	7.336283388	8.123086751	8.108524457	7.955940451	7.662490364	7.766860144	7.478162893	7.04220656	7.882031608	8.326878855	7.891783703
Pc21g09590_at	6.960001932	7.032321287	7.271463028	7.414473836	7.511752654	7.029011087	7.451211112	7.608069968	7.448735798	8.713214653	7.178913785	8.221103725	9.315376027	10.07012094	9.695576306
Pc21g09600_at	9.282393469	9.196479182	8.840148475	9.246740598	9.23146121	9.437960088	9.173177415	9.57799522	9.52767248	9.359090645	9.517275693	9.256444596	9.031218731	10.3586512	9.272863023
Pc21g09610_at	8.48984796	7.854245054	7.996049728	8.065550771	8.864495703	8.550362015	7.510961919	7.860466259	8.025139562	8.557272223	8.744161096	8.453270634	8.631540867	8.828453874	9.329572126
Pc21g09620_at	5.057450272	5.141596278	5.217230716	5.727920455	5.61176256	4.781359714	4.802193217	4.892391026	4.852997588	4.968090752	4.817623258	5.181897643	4.87774425	5.173926932	5.141596278
