ID_REF	GSM1133109	GSM1133110	GSM1133111	GSM1133112	GSM1133113	GSM1133114	GSM1133115	GSM1133116	GSM1133117	GSM1133118	GSM1133119	GSM1133120	GSM1133121	GSM1133122	GSM1133123
1452082_at	18.9	17.2	65.7	50.3	32.3	44.6	38.9	71.4	89.7	63.4	35.9	52.2	17.4	103.9	30.5
1452083_a_at	979.4	744.3	816.1	988.3	638.7	710.8	593	721.1	565.3	672.2	720.5	1146.2	1032.1	863.4	835.8
1452084_at	1192.7	1214.1	1205.4	1362.8	1532.5	933.3	851.6	1608.1	1071.7	919.6	1010.6	1910.4	1077.9	1837.8	1017.5
1452085_at	368.4	257.9	379.9	283.2	304.1	311.1	280.1	366.5	401.8	426.4	474.3	461.9	392	453.1	480.7
1452086_at	476.3	378.6	467.8	289.8	388.7	328.3	352	318.1	470.6	371.6	423.9	268.9	275.7	312.1	380.7
1452087_at	1569.1	1618.7	1481.1	1818.8	1030.2	1768.1	2069.8	2279.2	1580.4	1284.1	2585.3	5173.3	4190.7	4209.3	3296.4
1452088_at	46.9	85.9	81.9	78	29.2	44.2	77.8	93	80.3	74	13.3	60.6	50.7	51.3	64.3
1452089_at	7	3.8	9.5	1.7	1.3	1	3.2	1.6	1.4	2.3	1.8	2.7	5.1	7.4	35.5
1452090_a_at	17.1	14	10.6	8.2	28.7	12.7	13.1	1.3	10.2	0.9	15.3	21.1	8.9	1.2	3.9
1452091_a_at	928.5	903.4	864.4	926	1030.8	612.4	930.3	834	826.5	801.3	1343.1	1355.5	1639	1236.1	1459.9
1452092_at	330.5	361.2	351.3	293.5	472.6	438.9	421.5	329.8	314.8	205.6	249.2	436	454.8	393.9	352.5
1452093_at	1026.4	1080.5	1140.8	1306.6	1242.7	1356.9	1130.8	1210.1	1079.5	952.1	1369.9	1698.1	1494.3	1483.2	1592.1
1452094_at	857.5	520.5	636.7	721.7	446	926.6	523.2	725.4	630	503.7	396.9	439.3	451.4	424.6	531.9
1452095_a_at	559.8	510.6	531.1	605	435.9	486.9	653	635.9	450.5	492.5	711.7	957.7	909.1	785	787.1
1452096_s_at	764.5	891.6	897.5	780.1	960.2	754.9	766.9	924.3	805.7	815	622.8	765.2	776.1	839.7	669.4
1452097_a_at	368.5	251.5	198.8	351.5	290.5	387.8	356.4	317.7	250.9	233	371.3	406.5	375.8	460.6	518.5
1452098_at	128.7	309.4	267.2	243.1	215.2	148.3	294.3	216.7	149.3	196.2	130.9	165.3	184.9	201	129.3
1452099_at	900.9	1018.4	942.6	1036.5	1421.4	1060	1077.4	917.1	801.1	866.7	756.4	1312	1323.6	1215.5	901.4
1452100_at	784.9	1508.6	1240.5	1130.2	1190.3	1353.8	1622.2	1285.9	915.9	832.6	777	1630.6	1619	1533.8	977.7
1452101_at	1538.2	1348.4	1442.7	1252.9	1454.5	1107	1150.3	1376	1396.4	1548.3	1308.4	1270.5	1023.3	1126.3	1224.5
1452102_at	2297.2	2677.4	2646.2	2654	2687.3	2203.6	2705.1	2884.7	2469.6	2252.1	2476.2	2596.7	2769.8	2629.1	2587.7
1452103_at	191.2	200.6	268.9	283.3	171.1	229.7	310.3	286.7	235.1	181.6	250.8	331.1	257.8	291.8	157.3
1452104_at	90.2	22.5	20.2	21.2	35.4	50.4	31.5	17.8	27.1	23.5	3.4	23.1	29.5	29.9	18
1452105_a_at	350.8	491.7	415.9	446.6	481.9	319.8	422.6	378.7	305.5	172.6	278.6	537.3	430.5	370.3	277.7
1452106_at	39.8	27.7	34.7	48.2	48.6	53.7	88.5	44.9	50.7	49.4	8.5	37.6	32	13.3	68.9
1452107_s_at	44	10.2	11.7	20.2	34.9	2.2	43.2	2.4	21.6	7.5	13.4	17.9	13.4	2.1	35.2
1452108_at	78.7	45.1	32.8	36.7	84.6	95.3	42.8	87.8	94.1	50.6	54.9	15.8	31.5	51.9	43.4
1452109_at	377.9	365.6	239.9	252.4	269.3	436.1	327.1	313.3	174.2	183.7	203.7	291	340.6	204.1	164.8
1452110_at	591.8	549.6	561.9	520.5	682.1	668.1	518.7	533.8	592.1	599.4	402.4	334.8	418.4	367.9	499.2
1452111_at	1557.6	2008.3	1954.4	1640.4	1624.7	1363.4	1789.8	1904.4	1526	1427.7	1225.4	1761.2	1569.6	1735.6	1315.1
1452112_a_at	277.8	236.1	279.3	320.2	121.2	217.4	251.7	358.1	230.7	226.9	267.4	351.6	365	326.8	243.4
1452113_a_at	328.2	186.8	249.8	273.2	272.7	333.2	234.9	288	376.5	271.8	320.9	294.6	246.5	312.5	271.4
1452114_s_at	4	4.9	22.2	0.5	4.9	16.2	16.9	25.6	19.2	14.2	16	22.8	3.6	20.4	7.8
1452115_a_at	441.7	280.7	441.2	403.2	381.7	224.5	216.7	280.4	590.6	730.3	375.9	113	141.5	154.1	229.6
1452116_s_at	2243.7	1747.3	1720.1	1797.2	1911.7	2176	1694.2	1720.1	2125.6	1946.5	2463.8	1755.5	1807.4	1497.2	2556.6
1452117_a_at	5882.3	4682	4274.6	4219.2	4055.5	5465.1	5420.1	4950.5	5899.6	5298.2	5278.7	6496.4	5641.3	4367.2	6037.4
1452118_at	254.7	461.6	465.2	429.7	554.1	284.8	404.5	412.9	338.5	299.8	326.1	406.2	436	416.3	265
1452119_at	472	879.9	975.5	827.2	1061.4	581.7	778.7	641.2	573.9	577.9	373.2	604.8	581.9	717.4	417.1
1452120_at	828.3	1330.8	1139.2	1213.9	938.7	883.1	1083.1	1146.5	986.9	953.5	871.4	1064	1127.7	1059.7	1089.6
1452121_at	52	14.3	42.1	28.2	104.1	103.4	102.6	21.3	30.3	14.7	71.3	67.6	64.2	75.2	58.2
1452122_at	1015.3	1162	1215.3	983.6	1244.5	796.6	1163.9	984.9	1450.1	1407.7	802.8	701.1	676.4	649.2	1032.4
1452123_s_at	348.4	315.6	241	274.9	334.7	301.2	378.3	309.4	302.5	274.2	183.4	194.8	157.3	108.1	199.3
1452124_at	20.3	33.1	5.6	23.9	7.6	22.7	29.8	4.2	5.2	5.3	2.9	38.7	2	15	13.6
1452125_at	1776.9	3242.7	3088.8	3683.5	5744.5	4696.4	3622.1	1939.9	3347.3	3346.2	3464.4	1246.9	2298.1	2395.8	2091
