ID_REF	GSM1133080	GSM1133081	GSM1133082	GSM1133083	GSM1133084	GSM1133085	GSM1133086	GSM1133087	GSM1133088	GSM1133089	GSM1133090	GSM1133091	GSM1133092	GSM1133093
1438291_x_at	7197.5	7359	5144	6749.4	6265.8	6339.5	8825.3	6794.5	5867.7	6272	5719.2	7031.3	6082.8	6161
1438292_x_at	5910.7	6216.4	4895.3	5526.9	5863.5	7276.2	7452.4	6821.6	6461.5	5786.4	5753.6	6385.7	6242.3	6192.3
1438293_at	164.3	224.8	237.1	341.5	173.7	294.1	222	194.2	192.9	168.1	194.5	203	273.2	165.7
1438294_at	102	128.9	142.1	132	266	244.1	233.9	191.7	60.8	248.4	184.1	279.1	129.5	126.9
1438295_at	71.1	75.9	58.1	48.6	24.1	114.2	55	67.2	49.2	59	61.5	93	70.8	95.6
1438296_at	275.4	203.3	363.6	377.7	219.7	400.1	279.7	173.3	202.8	166.5	309	242.2	286.4	106.4
1438297_at	14.7	6.4	1.5	2.6	4.5	19.2	27.3	5.1	21.2	19.7	45.2	4.3	1.3	56.2
1438298_a_at	18.7	28.6	23.8	62.7	61.9	23.7	53.9	52.4	7.2	6.6	34.4	15	28.9	26.2
1438299_at	827.7	831.5	243.3	257.4	716.3	438.5	570.4	543.2	804.7	281.8	332.3	448	212.4	441.8
1438300_at	92.9	155.1	91.8	53.4	123.8	125.1	96.9	95.6	119.4	90.1	101.5	125.8	123.6	109.6
1438301_at	310.9	239.9	715.7	707.9	258.6	1059.5	549	508.9	189.6	611.8	949.2	428.6	600.4	219.2
1438302_at	135	130.5	59.5	65.9	143.9	119.4	56.8	98.6	113.1	36.6	59.5	128.3	75.7	135.5
1438303_at	4.2	5	7.8	4.1	3.2	3.8	18.4	7.6	2.4	17.5	3.1	5.2	5.8	4.2
1438304_at	29.2	11.7	23.9	9.6	29.4	31.7	41.6	24.2	34.8	18.5	17.6	78.2	12.1	1.9
1438305_at	3.9	51.2	36.6	41.7	44.4	20.5	38.4	53.9	4.2	28.3	31.2	27.4	24	30.6
1438306_at	43.5	62.5	21.8	117.5	72.3	77.9	81.2	124.4	93.4	87.7	91	38.6	64.4	55.7
1438307_at	232.3	287	178.1	159.8	256.3	234.3	245.9	260.7	281.3	170.5	143.6	238.3	181.8	237.7
1438308_at	42.8	55.9	2.8	2.1	11.8	5.5	6.1	49.4	28.5	6.6	1.6	3.6	3.8	3.4
1438309_at	33.1	35.1	26.2	28.7	4.1	1.4	18.9	34.1	21.4	3.1	17	1.6	14	35.7
1438310_at	338.7	328.2	213.4	268.1	262.7	130.5	181.6	160.6	242.6	179.2	181.5	359.9	135	243.5
1438311_at	4.2	5.4	8.2	25.3	57.2	26	4.9	29.4	26.3	35.3	35.9	67.7	11.8	61.7
1438312_s_at	247.3	299.2	79.3	135.6	354.2	272.8	244.2	328.2	394.2	124.1	155.5	295.4	139.5	323.8
1438313_at	26.5	19.8	20.8	13.7	69	31.5	25.5	36.2	5.8	29.9	24.3	13.7	9.5	4.7
1438314_at	60.7	37.9	28.7	3.2	65.6	60.2	3.6	18.8	84	17	7.2	33.9	7	13.9
1438315_x_at	1423.7	1407.1	1609	1460.1	1894.9	1385.5	1225.2	1507.1	1266.1	1753.5	1447.1	1190.2	1422	1440.9
1438316_a_at	176.9	168.6	176.1	151.2	99	107.7	193.1	98.9	144.9	98	115.1	175.7	97.9	100.5
1438317_a_at	833.3	751.7	577.5	703.3	754.3	552.6	716.9	728.7	653.1	575.8	490.7	603.7	787.5	768.8
1438318_x_at	3347.3	3108.2	2729.2	3428.1	3212.6	1597.5	2442.8	3103.3	2759.7	4966.2	4503.9	5592.9	5666.3	6666.8
1438319_x_at	794.4	1575.3	1109.6	771.8	1627.8	714.8	1101.1	2386.6	2007.1	867.5	1062.6	715.9	1345.4	984.4
1438320_s_at	14253.3	14093.6	15531	15751.9	15910	17712.5	19018.7	18950.4	17631.9	17073.3	15318.3	13766.3	16081.5	14458.7
1438321_x_at	629.3	632.9	722.3	715.6	540.6	791.1	877.4	645.6	645.6	847.7	768.3	588.6	964.9	618.4
1438322_x_at	1042	1082.6	845.5	849.9	981.3	505	788.8	1151.4	1064.3	746.6	690.7	819.2	749.6	1012.8
1438323_at	117	38.8	91.6	91.1	101	80	108.3	73	63.2	68.8	65.1	85.6	102.7	127.4
1438324_at	1.5	15.1	30.6	16.7	33.8	0.8	1	1	28.2	15.4	0.4	1.5	0.9	4.8
1438325_at	8.4	34.1	50.7	8.1	32.6	36.3	42.6	61.6	98.5	15.2	38.5	4.3	59.8	3.8
1438326_at	361.5	348.3	83.9	100.7	235.3	204.4	225.5	142.7	303.2	204.3	223.6	285.9	136.8	142.9
1438327_at	9.6	42.7	3.4	32.3	57.1	35.7	4.6	7.2	4.5	3.9	3.5	7.8	3.5	5.6
