ID_REF	GSM929282	GSM929283	GSM929284	GSM929285	GSM929286	GSM929287	GSM929288	GSM929289	GSM929290	GSM929291	GSM929292	GSM929293
1456465_at	2.64886	3.03841	3.5173	2.69636	2.6831	3.96544	3.00351	3.09358	3.52323	2.92449	2.73208	3.53357
1456466_x_at	6.24895	6.32901	6.7059	6.29278	6.37242	6.59401	6.38385	6.45323	6.62414	6.46278	6.53969	6.70317
1456469_x_at	3.35902	3.11272	4.0136	3.42908	3.06452	3.6831	3.33161	2.99316	3.34361	3.27903	2.96557	3.45116
1456470_x_at	2.22932	2.18726	2.62081	2.03126	2.11471	2.59347	2.05866	2.31065	2.78825	2.34357	2.29248	2.57798
1456471_x_at	2.32817	2.05762	1.98571	2.08752	2.08394	2.22407	2.37019	2.15057	1.90746	2.24595	2.06322	2.03949
1456473_x_at	2.33856	2.34287	2.25832	2.53258	2.54703	2.19363	2.39626	2.05098	1.96147	2.35011	2.51807	2.18728
1456474_at	0.899352	0.736321	0.987031	0.678957	0.841803	0.798743	0.828292	0.857311	0.821544	0.746067	0.697305	0.869677
1456481_at	2.4119	2.38965	2.69501	2.24691	2.33771	2.40419	2.48067	2.13923	2.61995	2.22565	2.12304	2.42651
1456486_at	1.29824	1.33007	1.09117	1.33519	1.3258	1.12511	1.38409	1.35599	1.12368	1.24614	1.25445	1.20419
1456488_at	2.32328	2.20928	2.32214	2.2219	1.99647	2.04602	2.5112	2.12622	2.10161	2.40218	2.46874	2.21458
1456492_at	2.54303	2.32213	2.41014	2.34109	2.35377	2.26448	2.9096	2.67185	2.09825	2.43694	2.58541	2.11418
1456493_at	1.79724	1.69766	1.77601	1.58498	1.7771	1.942	1.57057	1.9016	1.83491	1.6743	1.70546	1.83423
1456494_a_at	1.69042	1.60107	1.62087	1.64669	1.58185	1.51435	1.36239	1.61671	1.37089	1.41293	1.58717	1.38374
1456495_s_at	1.8542	1.79799	1.97347	1.8566	1.45631	1.67019	1.80483	1.65318	1.61004	1.88408	1.68311	1.55386
1456496_at	1.0329	1.03969	1.04247	1.01397	1.01663	1.01347	1.07898	1.02992	1.03009	1.0081	1.04181	0.971178
1456497_x_at	11.2946	11.2152	11.1819	11.2853	11.0242	11.083	11.3532	11.3516	11.1986	11.4039	11.2142	11.0721
1456510_x_at	4.18291	3.98861	4.95486	4.32459	4.60649	4.76147	3.9981	5.0166	5.33297	4.7954	4.65728	4.74117
1456511_x_at	1.69319	1.83653	1.82045	1.7856	1.79954	1.81932	1.83149	1.87684	1.81209	2.00635	1.70979	2.01894
1456515_s_at	1.61766	1.48911	1.67055	1.63739	1.55583	1.54164	1.65317	1.55019	1.59298	1.6065	1.45785	1.727
1456516_x_at	6.26622	6.06128	6.28789	6.6386	6.97276	6.37049	6.20608	6.27844	6.68915	6.00374	6.94342	6.60106
1456521_at	6.39636	6.54671	6.04249	6.77644	6.55564	6.20881	6.24657	6.3964	6.17702	6.38794	6.67347	6.20215
1456525_at	2.09736	2.04593	2.2131	2.24213	1.95914	2.03568	1.93283	2.1972	2.19843	2.2965	2.00642	2.20793
1456528_x_at	6.81911	6.62351	6.80232	6.71401	6.81564	6.82205	6.74312	6.91282	6.74384	6.79131	6.72704	6.78123
1456529_at	1.6746	1.56048	1.41665	1.47653	1.56773	1.47537	1.54983	1.52829	1.53531	1.51477	1.58844	1.68928
1456530_x_at	8.68575	7.96837	7.74701	8.1402	7.89591	7.42524	7.37967	7.6504	7.44286	7.65354	7.66862	7.51269
1456534_at	1.59367	1.49307	1.66707	1.65761	1.56766	1.73805	1.73635	1.69281	1.86194	1.8223	1.71489	1.6264
1456540_s_at	4.22603	4.74131	4.70309	4.47935	4.72869	4.78472	4.25217	4.74497	5.03085	4.32029	4.79539	4.78509
